food_item,year,consumption,emission
Beans_and_legumes,1990.0,25.098932,19.246312838376
Beans_and_legumes,1995.0,25.970915,19.91496509847
Beans_and_legumes,2000.0,26.27334,20.14687003212
Beans_and_legumes,2005.0,26.383993,20.231720744274
Beans_and_legumes,2010.0,27.216255,20.86991422659
Beans_and_legumes,2015.0,26.328943,20.189507413374
Beans_and_legumes,2018.0,26.086248,20.003404518864
Cheese,1990.0,8.595623,77.4599852953145
Cheese,1995.0,8.3102741,74.88854613400716
Cheese,2000.0,8.3450098,75.20156903080269
Cheese,2005.0,8.8339119,79.60734037243185
Cheese,2010.0,9.0028629,81.12985269941835
Cheese,2015.0,8.4996128,76.59478347338718
Cheese,2018.0,8.3982649,75.68148063964134
Eggs,1990.0,12.56324,39.0086089352
Eggs,1995.0,14.695969,45.63068982562
Eggs,2000.0,16.743795,51.9891485991
Eggs,2005.0,17.991831,55.86427541838
Eggs,2010.0,20.054089,62.26754526322
Eggs,2015.0,20.2805,62.97054689
Eggs,2018.0,20.965443,65.09728120614
Fruits,1990.0,73.951759,28.84118601
Fruits,1995.0,76.698715,29.91249885
Fruits,2000.0,80.305771,31.31925069
Fruits,2005.0,83.329742,32.49859938
Fruits,2010.0,83.711075,32.647319249999995
Fruits,2015.0,80.087791,31.23423849
Fruits,2018.0,80.479057,31.38683223
Fruit_juices,1990.0,17.719437,11.517634049999998
Fruit_juices,1995.0,17.767639,11.54896535
Fruit_juices,2000.0,17.65716,11.477154
Fruit_juices,2005.0,17.648258,11.4713677
Fruit_juices,2010.0,17.60314,11.442041
Fruit_juices,2015.0,15.875271,10.31892615
Fruit_juices,2018.0,15.69972,10.204818
Milk,1990.0,69.931892,81.46715758540002
Milk,1995.0,74.804466,87.1434626667
Milk,2000.0,79.032455,92.06885845225
Milk,2005.0,84.847786,98.8434283007
Milk,2010.0,92.618881,107.89636542095
Milk,2015.0,86.351517,100.59519972915
Milk,2018.0,88.272163,102.83265628685
Non_starchy_vegetables,1990.0,112.61567,57.4441271103
Non_starchy_vegetables,1995.0,121.60713,62.0305809417
Non_starchy_vegetables,2000.0,144.66031,73.7897775279
Non_starchy_vegetables,2005.0,158.00319,80.59584718709999
Non_starchy_vegetables,2010.0,172.23758,87.8566671822
Non_starchy_vegetables,2015.0,178.66119,91.1332864071
Non_starchy_vegetables,2018.0,181.9352,92.803326168
Nuts,1990.0,2.8868775,5.350336677075
Nuts,1995.0,3.3013783,6.118543444739
Nuts,2000.0,4.0390821,7.485752028393
Nuts,2005.0,4.9033971,9.087612947343
Nuts,2010.0,6.8509679,12.697104338106998
Nuts,2015.0,6.9769216,12.930538108928
Nuts,2018.0,8.040616,14.90191485128
Other_starchy_vegetables,1990.0,34.659847,16.220808396
Other_starchy_vegetables,1995.0,34.378544,16.089158591999997
Other_starchy_vegetables,2000.0,32.453239,15.188115852
Other_starchy_vegetables,2005.0,31.501148,14.742537264
Other_starchy_vegetables,2010.0,30.45709,14.25391812
Other_starchy_vegetables,2015.0,28.153814,13.175984952
Other_starchy_vegetables,2018.0,27.813473,13.016705364
Potatoes,1990.0,39.272861,5.946696612619999
Potatoes,1995.0,39.53447,5.9863094474
Potatoes,2000.0,43.671318,6.612710971559999
Potatoes,2005.0,43.958443,6.656187439059999
Potatoes,2010.0,45.983368,6.962801582559999
Potatoes,2015.0,48.212025,7.300264825499999
Potatoes,2018.0,47.24474,7.1537985308
refined_grains,1990.0,289.46365,570.0986586749999
refined_grains,1995.0,280.65402,552.74809239
refined_grains,2000.0,288.75607,568.705079865
refined_grains,2005.0,291.25989,573.636353355
refined_grains,2010.0,296.43817,583.834975815
refined_grains,2015.0,294.59888,580.21249416
refined_grains,2018.0,292.56033,576.197569935
seafoods,1990.0,20.500124,58.44236850291999
seafoods,1995.0,22.042818,62.84032683894
seafoods,2000.0,23.408976,66.73501105007999
seafoods,2005.0,25.656742,73.14300979586
seafoods,2010.0,28.502771,81.25655464993
seafoods,2015.0,28.281727,80.62639578340999
seafoods,2018.0,28.388988,80.93217866004
Total_processed_meats,1990.0,14.909018,204.2535466
Total_processed_meats,1995.0,14.811054,202.9114398
Total_processed_meats,2000.0,15.196136,208.1870632
Total_processed_meats,2005.0,16.100962,220.5831794
Total_processed_meats,2010.0,16.847332,230.80844840000003
Total_processed_meats,2015.0,16.901436,231.5496732
Total_processed_meats,2018.0,17.300306,237.0141922
Unprocessed_red_meats,1990.0,37.616142,646.3415792673782
Unprocessed_red_meats,1995.0,38.474655,661.093029542145
Unprocessed_red_meats,2000.0,39.417549,677.2943613278911
Unprocessed_red_meats,2005.0,42.359104,727.8378036671361
Unprocessed_red_meats,2010.0,48.934803,840.825139700877
Unprocessed_red_meats,2015.0,49.843689,856.442127020151
Unprocessed_red_meats,2018.0,51.018414,876.626908641426
whole_grains,1990.0,42.070984,28.57671588200001
whole_grains,1995.0,43.44767,29.5118298475
whole_grains,2000.0,43.706444,29.687602087
whole_grains,2005.0,45.802109,31.11108253825
whole_grains,2010.0,48.529686,32.9637892155
whole_grains,2015.0,47.794235,32.46423412375
whole_grains,2018.0,48.889793,33.20839189525
Yoghurt,1990.0,21.676453,78.44469899717
Yoghurt,1995.0,21.727598,78.62978712622
Yoghurt,2000.0,21.950716,79.43722662523999
Yoghurt,2005.0,22.575714,81.69902563746
Yoghurt,2010.0,22.788971,82.47077926219
Yoghurt,2015.0,20.21129,73.14243526810002
Yoghurt,2018.0,19.993135,72.35295632015
