index,iso3,year,median,emissions
803,AFG,1990,0.761011109423681,6.857898414754731
1631,AFG,1995,0.612498127617979,5.519564545664266
2459,AFG,2000,0.680659783852134,6.133807502760213
3287,AFG,2005,0.583395425286175,5.257303753785022
4115,AFG,2010,0.594569801033103,5.358002328052571
4943,AFG,2015,0.556592859251944,5.015770781609737
5771,AFG,2018,0.565691466648069,5.097763441724273
18191,ARE,1990,23.4234128956273,211.0815258488385
19019,ARE,1995,26.0685495579868,234.91833755759586
19847,ARE,2000,27.5647110590121,248.40108893801766
20675,ARE,2005,18.2126691011897,164.1245876845207
21503,ARE,2010,20.7742427949052,187.20836656222008
22331,ARE,2015,19.7980988263743,178.4117851569498
23159,ARE,2018,20.0666142431696,180.8315283490988
93539,BHR,1990,15.3546125903676,138.36903566677194
94367,BHR,1995,16.3610716713694,147.43880357245317
95195,BHR,2000,17.3681494832019,156.51414720906715
96023,BHR,2005,17.0452909788374,153.60468794118844
96851,BHR,2010,18.0722367877574,162.85907325543826
97679,BHR,2015,18.0432326800464,162.59770095504797
98507,BHR,2018,18.2505577618527,164.46602368023795
255827,DJI,1990,1.51810764480508,13.680520404781134
256655,DJI,1995,1.36082028067622,12.263115649761017
257483,DJI,2000,2.09098697331083,18.843057705689407
258311,DJI,2005,1.47234137260224,13.268094828199501
259139,DJI,2010,1.94307014703702,17.51009612883815
259967,DJI,2015,1.40747779921364,12.683572747498369
260795,DJI,2018,1.41766886382044,12.77541015295302
290603,EGY,1990,4.62884446284931,41.71311655090102
291431,EGY,1995,5.09471779761457,45.911362758348254
292259,EGY,2000,6.1405178283121,55.33565405168093
293087,EGY,2005,7.21671747831471,65.03389338395792
293915,EGY,2010,6.95398510818413,62.666264472485445
294743,EGY,2015,5.94521911152867,53.575707654515966
295571,EGY,2018,5.8937881555115,53.11223443136345
452891,IRN,1990,8.34834487963124,75.23162330600701
453719,IRN,1995,9.64274361176521,86.89617708615431
454547,IRN,2000,10.2285273025916,92.1750028417333
455375,IRN,2005,9.96329809038998,89.78487348438185
456203,IRN,2010,10.7206691951109,96.60996977289737
457031,IRN,2015,10.8357158745802,97.64672000030576
457859,IRN,2018,10.7881629691882,97.21819406886206
458687,IRQ,1990,34.7425805778056,313.08490154560064
459515,IRQ,1995,21.7135029837557,195.67256751854796
460343,IRQ,2000,26.5757036166419,239.4885875471409
461171,IRQ,2005,21.6800638910475,195.37122907810382
