index,iso3,year,median,emissions
827,AFG,1990,3.68676485393935,2.3963971550605776
1655,AFG,1995,4.21088221620982,2.737073440536383
2483,AFG,2000,4.82135862959098,3.1338831092341373
3311,AFG,2005,5.34939494899757,3.47710671684842
4139,AFG,2010,5.70291730419031,3.706896247723701
4967,AFG,2015,3.76339524232838,2.446206907513447
5795,AFG,2018,3.95343897215079,2.569735331898013
18215,ARE,1990,21.6994420865776,14.104637356275441
19043,ARE,1995,23.5415311232543,15.301995230115292
19871,ARE,2000,25.351305397903,16.478348508636948
20699,ARE,2005,29.9072172080848,19.439691185255118
21527,ARE,2010,28.8706775275157,18.765940392885206
22355,ARE,2015,23.0082093821746,14.95533609841349
23183,ARE,2018,24.4934753758448,15.92075899429912
93563,BHR,1990,26.1500032573542,16.99750211728023
94391,BHR,1995,26.2785038106295,17.081027476909174
95219,BHR,2000,26.6326913134449,17.311249353739186
96047,BHR,2005,26.62403796295,17.3056246759175
96875,BHR,2010,26.2403988512522,17.05625925331393
97703,BHR,2015,25.184120014746,16.3696780095849
98531,BHR,2018,25.3723854045122,16.49205051293293
255851,DJI,1990,30.0369924655064,19.524045102579162
256679,DJI,1995,31.1035209398429,20.21728861089788
257507,DJI,2000,31.961535391287,20.774998004336553
258335,DJI,2005,28.9386441913039,18.810118724347536
259163,DJI,2010,30.5080160259415,19.830210416861977
259991,DJI,2015,20.4166561115579,13.270826472512635
260819,DJI,2018,22.2636707751646,14.471386003856988
290627,EGY,1990,20.4594571824765,13.298647168609724
291455,EGY,1995,20.1700726439669,13.110547218578485
292283,EGY,2000,20.403430520114,13.2622298380741
293111,EGY,2005,20.4453269546218,13.289462520504172
293939,EGY,2010,20.5902141722673,13.383639211973746
294767,EGY,2015,18.2933388104968,11.890670226822918
295595,EGY,2018,18.5235687343096,12.04031967730124
452915,IRN,1990,4.77249402874565,3.1021211186846727
453743,IRN,1995,4.84851061936804,3.151531902589226
454571,IRN,2000,4.98950312906923,3.243177033895
455399,IRN,2005,4.9767380088057,3.2348797057237055
456227,IRN,2010,5.29839506280668,3.443956790824342
457055,IRN,2015,4.80350391364179,3.1222775438671633
457883,IRN,2018,4.82938542976216,3.139100529345404
458711,IRQ,1990,26.1979154913925,17.028645069405126
459539,IRQ,1995,27.032595857216,17.5711873071904
460367,IRQ,2000,29.4528686113751,19.144364597393814
461195,IRQ,2005,33.7366935193066,21.928850787549287
462023,IRQ,2010,30.6369780809236,19.91403575260034
462851,IRQ,2015,27.3519434611178,17.778763249726566
463679,IRQ,2018,26.7361510379543,17.378498174670295
487691,JOR,1990,33.1949678627238,21.576729110770472
488519,JOR,1995,34.7151133920006,22.564823704800393
489347,JOR,2000,37.9771824765172,24.68516860973618
490175,JOR,2005,38.1063137885203,24.769103962538196
491003,JOR,2010,39.4606428305163,25.649417839835593
491831,JOR,2015,35.5926108479283,23.135197051153394
492659,JOR,2018,36.7096664207254,23.86128317347151
534059,KWT,1990,31.1406062104072,20.24139403676468
534887,KWT,1995,25.5457742378114,16.60475325457741
