index,iso3,year,median,emissions
827,AFG,1990,70.2802481762859,81.87297511296426
1655,AFG,1995,74.4190012753537,86.6944155357233
2483,AFG,2000,81.6599259126237,95.12973069191099
3311,AFG,2005,74.3462905066305,86.6097111256992
4139,AFG,2010,73.1121660461227,85.17201783543064
4967,AFG,2015,75.1544807233395,87.55121231865436
5795,AFG,2018,69.7851930935144,81.2962606942896
18215,ARE,1990,195.309970817835,227.5263505042369
19043,ARE,1995,166.832881505003,194.35196530925325
19871,ARE,2000,163.549949308036,190.52751344639654
20699,ARE,2005,118.741206508594,138.3275685221866
21527,ARE,2010,126.657445955025,147.54959166530637
22355,ARE,2015,128.503068608218,149.69964977514357
23183,ARE,2018,129.185734039889,150.4949208697687
93563,BHR,1990,113.775222473157,132.54244542010426
94391,BHR,1995,116.623076786043,135.8600533019008
95219,BHR,2000,125.911936027253,146.6811098749484
96047,BHR,2005,116.439379630542,135.64605530059993
96875,BHR,2010,121.002222371542,140.96153895172785
97703,BHR,2015,129.558110638845,150.92872098872246
98531,BHR,2018,127.639692965304,148.6938603199309
255851,DJI,1990,48.9258316133464,56.99614753796789
256679,DJI,1995,59.702403701367,69.55031519190749
257507,DJI,2000,77.9601802170798,90.8197119438871
258335,DJI,2005,65.341237635501,76.11927478347691
259163,DJI,2010,42.6049529955391,49.63263999215328
259991,DJI,2015,70.8564202575017,82.5441867789766
260819,DJI,2018,48.9497060427269,57.023960054474706
290627,EGY,1990,47.4852845628779,55.31798225152461
291455,EGY,1995,49.5864627238852,57.76574975019007
292283,EGY,2000,53.8229733875704,62.70107284785014
293111,EGY,2005,55.6577299036153,64.83847245121665
293939,EGY,2010,58.4616764117758,68.10492993589821
294767,EGY,2015,51.6788299874463,60.20325299387557
295595,EGY,2018,50.9279414684646,59.32850541368784
452915,IRN,1990,92.6434159991051,107.92494746815748
453743,IRN,1995,69.3531035188952,80.79289794433696
454571,IRN,2000,100.048534561531,116.55154033745553
455399,IRN,2005,124.911084060606,145.51516737640296
456227,IRN,2010,72.3031132553189,84.22951178678376
457055,IRN,2015,36.5643497521116,42.59563924372242
457883,IRN,2018,38.4887884822601,44.8375141424089
458711,IRQ,1990,180.669104692619,210.47047351166648
459539,IRQ,1995,61.7520567528584,71.9380585142424
460367,IRQ,2000,161.064910435043,187.63256741130337
461195,IRQ,2005,101.109511047249,117.78752489449272
462023,IRQ,2010,111.068383880236,129.38911380128093
462851,IRQ,2015,90.0662721059929,104.92270368987643
463679,IRQ,2018,88.1325924751237,102.67006360389536
487691,JOR,1990,117.325275160478,136.67807929819884
488519,JOR,1995,118.472775139024,138.014859398206
489347,JOR,2000,122.29845912871,142.47158996199073
490175,JOR,2005,121.513701481593,141.55738654098178
491003,JOR,2010,122.994667115802,143.28263745655354
491831,JOR,2015,117.825169915709,137.2604316933052
492659,JOR,2018,118.08122532899,137.5587234470069
534059,KWT,1990,97.3555688001546,113.4143698737401
534887,KWT,1995,174.107407133785,202.82642394050282
535715,KWT,2000,159.331967894853,185.613775999109
536543,KWT,2005,120.924744224425,140.8712807842439
537371,KWT,2010,129.633072022773,151.0160472529294
538199,KWT,2015,239.292171751942,278.7634154824249
539027,KWT,2018,229.498092628935,267.3538030080778
545651,LBN,1990,77.5946499862164,90.3938875014428
546479,LBN,1995,96.76483016679488,112.7261889028077
547307,LBN,2000,100.654423531652,117.25737069319801
548135,LBN,2005,98.5337561932532,114.7868992773303
548963,LBN,2010,83.8828738346302,97.71935387365247
549791,LBN,2015,93.3057661904093,108.69655232351731
550619,LBN,2018,90.9062876550133,105.90127980370774
551447,LBR,1990,29.5965250693202,34.47847187950457
552275,LBR,1995,42.059401153474,48.99709937373954
553103,LBR,2000,38.426322184055,44.76474402831488
553931,LBR,2005,49.1300272481129,57.23402524268913
554759,LBR,2010,37.6320916737066,43.8395051952845
555587,LBR,2015,37.3983315796635,43.567186373728994
556415,LBR,2018,34.6147114435448,40.32440809615751
597815,MAR,1990,101.399023021999,118.12479186947775
598643,MAR,1995,101.142024690027,117.82540166264697
599471,MAR,2000,102.176551138332,119.03057324859986
600299,MAR,2005,111.156150165087,129.4913571348181
601127,MAR,2010,129.825250028213,151.23992502036674
601955,MAR,2015,130.476183816475,151.99823033700255
602783,MAR,2018,133.215727380982,155.189661612475
742715,OMN,1990,101.546452117395,118.29653939415931
743543,OMN,1995,114.859957257078,133.80610720663302
744371,OMN,2000,133.46251880899,155.47716128653292
745199,OMN,2005,123.763810159969,144.1786506458559
746027,OMN,2010,158.923809265891,185.13829160429972
746855,OMN,2015,161.12486010811,187.70240578294275
747683,OMN,2018,139.888643400773,162.9632751297305
748511,PAK,1990,66.322830719659,77.26278164686676
749339,PAK,1995,69.424613575672,80.8762035849791
750167,PAK,2000,73.4592708510311,85.5763775779087
750995,PAK,2005,79.2700232117854,92.3456135405694
751823,PAK,2010,80.3435951117101,93.59627112538669
752651,PAK,2015,71.7443160700831,83.57854100584332
753479,PAK,2018,71.778520940833,83.61838797002342
794879,PSE,1990,113.941132830239,132.73572269058693
795707,PSE,1995,117.656198147227,137.06358803161208
796535,PSE,2000,128.664580578189,149.88780314456127
797363,PSE,2005,123.017750080527,143.30952795630992
798191,PSE,2010,133.871118791041,155.9531598356232
799019,PSE,2015,139.163856646461,162.11893480029474
799847,PSE,2018,137.497571856467,160.17779633419124
800675,QAT,1990,107.233054216772,124.92114650982855
801503,QAT,1995,110.18147086037,128.35590447878803
802331,QAT,2000,118.081656094055,137.55922526676937
803159,QAT,2005,112.310917062082,130.83660283147245
803987,QAT,2010,113.13345972592,131.7948239077105
804815,QAT,2015,118.394166521763,137.92328428952783
805643,QAT,2018,117.426894356333,136.79646058041013
823859,SAU,1990,128.599656117275,149.81216939381952
824687,SAU,1995,92.1251481331819,107.32119131775026
825515,SAU,2000,115.185690987716,134.18557071613975
826343,SAU,2005,121.618177376923,141.67909573524645
827171,SAU,2010,106.042512556629,123.53422500284498
827999,SAU,2015,82.5855952718519,96.20808921194387
828827,SAU,2018,84.5326146024076,98.47626938107474
829655,SDN,1990,75.5178121528508,87.97447526746353
