index,iso3,year,median,emissions
803,AFG,1990,152.388311435731,77.73175378025202
1631,AFG,1995,109.805102131865,56.01048454644301
2459,AFG,2000,120.567152120598,61.50009862519583
3287,AFG,2005,153.583084917632,78.34119578563491
4115,AFG,2010,146.581142936333,74.7695752003941
4943,AFG,2015,108.333095538854,55.25962870341403
5771,AFG,2018,96.95942882183772,49.4580350477312
18191,ARE,1990,139.363867093113,71.088114965526
19019,ARE,1995,145.991676217364,74.46889412171518
19847,ARE,2000,150.4626899181,76.74951350032364
20675,ARE,2005,140.356641013207,71.59451901442675
21503,ARE,2010,128.833371897209,65.71661467104734
22331,ARE,2015,121.416665924737,61.933427121549094
23159,ARE,2018,120.812365414523,61.625179474294036
93539,BHR,1990,164.154632665477,83.73363657633315
94367,BHR,1995,169.284922192794,86.3505459613223
95195,BHR,2000,168.469180018156,85.93444403546118
96023,BHR,2005,174.160591176511,88.83757595322649
96851,BHR,2010,179.934357209823,91.7827162691586
97679,BHR,2015,179.231246200145,91.42406637423196
98507,BHR,2018,182.059179831474,92.86656704023657
255827,DJI,1990,99.87334112937232,50.94439257668152
256655,DJI,1995,71.5158762145356,36.47953329827246
257483,DJI,2000,58.6356272997068,29.909447129307438
258311,DJI,2005,127.359846057306,64.9649838753712
259139,DJI,2010,123.6926645012,63.094391235417106
259967,DJI,2015,126.726782682766,64.6420645786521
260795,DJI,2018,104.910182379637,53.513634930029035
290603,EGY,1990,133.264284834666,67.97677905131478
291431,EGY,1995,136.999528432197,69.88208945797938
292259,EGY,2000,140.186354749832,71.5076576943418
293087,EGY,2005,143.981358784294,73.44345130228052
293915,EGY,2010,145.882445610113,74.41317668126253
294743,EGY,2015,140.129219392049,71.47851351969027
295571,EGY,2018,140.300039169609,71.56564698002585
452891,IRN,1990,129.129812058285,65.8678258328106
453719,IRN,1995,116.137408048856,59.24053047164095
454547,IRN,2000,141.815071749793,72.3384499488519
455375,IRN,2005,183.394036532789,93.54746409501033
456203,IRN,2010,187.91973348973,95.85597685577636
457031,IRN,2015,196.969495228127,100.47216982091528
457859,IRN,2018,205.186641444487,104.66365393441838
458687,IRQ,1990,154.201265401407,78.6565234686037
459515,IRQ,1995,130.192845168478,66.41006839198893
460343,IRQ,2000,131.775802107566,67.21751889704832
461171,IRQ,2005,142.157461076877,72.5130993207042
461999,IRQ,2010,147.128541486689,75.04879772694518
462827,IRQ,2015,92.2874430251577,47.07490181270269
463655,IRQ,2018,109.024147490104,55.61212739322715
487667,JOR,1990,106.686916279929,54.419929125228975
488495,JOR,1995,111.436614343054,56.842702610248416
489323,JOR,2000,113.896836760255,58.09763746303847
490151,JOR,2005,115.175147855793,58.74969116976145
490979,JOR,2010,116.081314945502,59.21191794055111
491807,JOR,2015,115.212672421273,58.76883207536714
492635,JOR,2018,117.106154311576,59.7346782527918
