Country,year,emissions
AFG,1990,1871.0523036122704
AFG,1995,1585.5197773963462
AFG,2000,1512.3070488632602
AFG,2005,1404.5114390262208
AFG,2010,1359.4480798610912
AFG,2015,1058.7466034053266
AFG,2018,1026.8564535123962
ARE,1990,4244.4335014771
ARE,1995,4996.269271316967
ARE,2000,3632.3827660187585
ARE,2005,3182.4141085853057
ARE,2010,2591.4041663982393
ARE,2015,2654.315022949262
ARE,2018,2684.3082187451455
BHR,1990,2433.264088037741
BHR,1995,2712.0780179375374
BHR,2000,2761.5743786703433
BHR,2005,2816.234365848283
BHR,2010,2900.3145878975383
BHR,2015,2957.2530509534827
BHR,2018,2868.4709487694363
DJI,1990,1299.7372453421563
DJI,1995,1571.517615554438
DJI,2000,1931.9798331589384
DJI,2005,2206.2753622403643
DJI,2010,1774.9427805171304
DJI,2015,2020.0723763974331
DJI,2018,1875.547888348829
EGY,1990,1159.63550389772
EGY,1995,1318.6162324672866
EGY,2000,1478.3880571250197
EGY,2005,1504.0083889337918
EGY,2010,1773.5374105769192
EGY,2015,1781.7779163098382
EGY,2018,1514.0558992564538
IRN,1990,2128.5434822932098
IRN,1995,2299.990752067325
IRN,2000,2286.3114127479894
IRN,2005,2418.6035947244686
IRN,2010,2190.3241384486228
IRN,2015,2013.8010588906614
IRN,2018,2006.4511535247416
IRQ,1990,5953.433133358444
IRQ,1995,2213.6603220964857
IRQ,2000,2532.5010935746545
IRQ,2005,2279.581020410249
IRQ,2010,3443.107659693453
IRQ,2015,3305.024701163559
IRQ,2018,3187.390519472554
JOR,1990,2468.128099240374
JOR,1995,2587.3999325037926
JOR,2000,2740.9070711332365
JOR,2005,2806.7531013869047
JOR,2010,2857.2977854889505
JOR,2015,2884.0462345905385
JOR,2018,2975.9104956051697
KWT,1990,1446.0015073166355
KWT,1995,2808.9312761318038
KWT,2000,2616.250370209739
KWT,2005,3037.707073453077
KWT,2010,2770.484665252337
KWT,2015,2878.327723913025
KWT,2018,2835.840085663074
LBN,1990,2270.08884249025
LBN,1995,2386.6927661220057
LBN,2000,3024.0895687225375
LBN,2005,3019.011248400901
LBN,2010,3047.0315579597363
LBN,2015,2434.7461935455935
LBN,2018,2322.833056205615
LBR,1990,1991.483941733965
LBR,1995,1843.5363909869936
LBR,2000,1907.9789046607843
LBR,2005,1768.4545271305437
LBR,2010,1965.4645930524887
LBR,2015,2140.2153864204934
LBR,2018,2084.4754376030246
MAR,1990,1735.0700375972463
MAR,1995,1380.88771569448
MAR,2000,1667.3442959607692
MAR,2005,1697.2651464407113
MAR,2010,2122.796155264201
MAR,2015,2506.9079420686667
MAR,2018,2696.722471096822
OMN,1990,1889.851165544551
OMN,1995,2131.138841113273
OMN,2000,2338.6911524923544
OMN,2005,2762.2490258046946
OMN,2010,3349.585354656572
OMN,2015,2992.2555140262584
OMN,2018,2749.762457756354
PAK,1990,1451.7667899587027
PAK,1995,1616.4794185958567
PAK,2000,1399.6965371882563
PAK,2005,1376.3170904167664
PAK,2010,1583.8888972185957
PAK,2015,1534.991493376843
PAK,2018,1579.501568062429
PSE,1990,2269.571806749344
PSE,1995,2442.349032664005
PSE,2000,2527.645341380005
PSE,2005,2618.41116416375
PSE,2010,2797.3473459885968
PSE,2015,2867.191881622215
PSE,2018,2777.3913901076803
QAT,1990,2364.9636339798835
QAT,1995,2633.370211827976
QAT,2000,2723.1595576813147
QAT,2005,2817.3926177067433
QAT,2010,2809.4863752175806
QAT,2015,2835.9903320245153
QAT,2018,2752.078222072567
SAU,1990,2540.374121872782
SAU,1995,2750.711853227266
SAU,2000,3029.382386806975
SAU,2005,2998.4276716445083
SAU,2010,3580.8417586096894
SAU,2015,3592.0358240834576
SAU,2018,3229.3886177886966
SDN,1990,1436.9732401166948
SDN,1995,1389.9117306029939
SDN,2000,1426.069326163718
SDN,2005,1510.545417116931
SDN,2010,1596.4291743057022
SDN,2015,1562.9252605250242
SDN,2018,1567.582552966647
SYR,1990,2181.2086889052534
SYR,1995,2422.759089127362
SYR,2000,2487.291235487196
SYR,2005,2596.266003692889
SYR,2010,2669.0944939191454
SYR,2015,2746.255105031474
SYR,2018,2655.0830008479647
TUN,1990,1616.2004936764083
TUN,1995,1719.7683893031826
TUN,2000,1843.1404865992404
TUN,2005,1858.523705593564
TUN,2010,1938.8143238364187
TUN,2015,1914.8866691041012
TUN,2018,1870.0879978747016
YEM,1990,1180.0252760451835
YEM,1995,947.9066066695472
YEM,2000,1147.748680731947
YEM,2005,1441.4813053384423
YEM,2010,1412.0785527248352
YEM,2015,1614.756137293058
YEM,2018,1532.7931723640831
AFG,2020,158.3455037623602
ARE,2020,486.6905272532599
BHR,2020,663.5529187486421
DJI,2020,389.1638796747604
EGY,2020,508.7700038928432
IRN,2020,274.6491729924417
IRQ,2020,926.4941147244914
JOR,2020,969.3163225071054
KWT,2020,461.9891772733985
LBN,2020,331.48305984587046
LBR,2020,416.118423793358
MAR,2020,435.7658729571652
OMN,2020,734.779446712939
PAK,2020,496.78067384955546
PSE,2020,661.7338544768048
QAT,2020,610.1691773781582
SAU,2020,607.4866795496454
SDN,2020,299.62062855380617
SYR,2020,624.4674647924887
TUN,2020,663.621538317893
YEM,2020,374.4938251255557
