Country,year,emissions
AFG,1990,1871.8625425273203
AFG,1995,1606.647325999768
AFG,2000,1543.927357405731
AFG,2005,1431.479074796329
AFG,2010,1389.7987461755913
AFG,2015,1086.7715741371942
AFG,2018,1049.6414745659947
ARE,1990,4525.64746499572
ARE,1995,5240.9269141667155
ARE,2000,3781.8751023414065
ARE,2005,3321.064027902151
ARE,2010,2696.9200407786348
ARE,2015,2757.6904167007433
ARE,2018,2785.2492697277144
BHR,1990,2500.013362659359
BHR,1995,2777.1403998051464
BHR,2000,2823.7158546260553
BHR,2005,2920.4521081244025
BHR,2010,3000.645426422719
BHR,2015,3056.667304431232
BHR,2018,2976.7397347931856
DJI,1990,1271.3879553767958
DJI,1995,1573.4421961528915
DJI,2000,1936.7410321792806
DJI,2005,2226.863288159662
DJI,2010,1730.6911199499286
DJI,2015,2002.514789960013
DJI,2018,1878.0950442795715
EGY,1990,1110.5223081398533
EGY,1995,1268.118097589463
EGY,2000,1426.5929635796765
EGY,2005,1444.3899088972673
EGY,2010,1715.3160551032631
EGY,2015,1727.9835188037698
EGY,2018,1464.607130306767
IRN,1990,2136.3144487972945
IRN,1995,2317.5945533014537
IRN,2000,2291.971355884
IRN,2005,2415.7772935571275
IRN,2010,2178.589203270823
IRN,2015,2000.2297277717607
IRN,2018,1992.0604889455742
IRQ,1990,6103.631733681667
IRQ,1995,2263.019464714797
IRQ,2000,2581.5535844197375
IRQ,2005,2338.6202848065723
IRQ,2010,3555.7806293095646
IRQ,2015,3427.7624671336257
IRQ,2018,3296.0993325981776
JOR,1990,2478.8306952294365
JOR,1995,2580.578714347364
JOR,2000,2749.3581821540783
JOR,2005,2809.037889429036
JOR,2010,2858.1465491876875
JOR,2015,2906.7919559990028
JOR,2018,2993.8919821635745
KWT,1990,1435.9506854824463
KWT,1995,2855.912881366856
KWT,2000,2655.483308865265
KWT,2005,3115.7961083265777
KWT,2010,2820.101563545123
KWT,2015,2912.5527340634026
KWT,2018,2879.261686306231
LBN,1990,2735.1272661799358
LBN,1995,2869.4634393906426
LBN,2000,3817.832639628443
LBN,2005,3763.28145625907
LBN,2010,3821.210913227046
LBN,2015,2933.0658225885013
LBN,2018,2792.463982417036
LBR,1990,2060.787506425419
LBR,1995,1947.9945370929977
LBR,2000,2001.8680503138196
LBR,2005,1838.5832586492618
LBR,2010,2032.9029644796722
LBR,2015,2223.6751018505597
LBR,2018,2171.3721791903254
MAR,1990,1781.2141756982323
MAR,1995,1427.3490828950105
MAR,2000,1706.5054364451125
MAR,2005,1739.7423336338757
MAR,2010,2180.097276575236
MAR,2015,2587.123479899823
MAR,2018,2787.2814755724003
OMN,1990,1958.7058658638737
OMN,1995,2238.1585210254607
OMN,2000,2394.8597680259704
OMN,2005,2813.6363494262832
OMN,2010,3483.8003314338025
OMN,2015,3148.1560273442224
OMN,2018,2902.2981258037175
PAK,1990,1495.3420241011806
PAK,1995,1649.6106289134489
PAK,2000,1439.842581030514
PAK,2005,1402.9787649533137
PAK,2010,1612.2903922737944
PAK,2015,1561.0327705740783
PAK,2018,1605.1138396156591
PSE,1990,2307.5030546839694
PSE,1995,2489.1814616620554
PSE,2000,2570.453227131193
PSE,2005,2661.7246749745964
PSE,2010,2852.152217936758
PSE,2015,2922.571234569538
PSE,2018,2832.8871413973784
QAT,1990,2489.074104389176
QAT,1995,2750.5703737621593
QAT,2000,2808.0217596811963
QAT,2005,2916.2453933133056
QAT,2010,2966.8206410342946
QAT,2015,3017.1656125163977
QAT,2018,2919.115327896317
SAU,1990,2704.4877495115825
SAU,1995,2872.360821015314
SAU,2000,3147.8751961578673
SAU,2005,3117.7276516883626
SAU,2010,3696.093953808782
SAU,2015,3708.589337811636
SAU,2018,3334.823653229045
SDN,1990,1392.0612078478557
SDN,1995,1346.7384848649638
SDN,2000,1380.7997562706323
SDN,2005,1460.7200296967285
SDN,2010,1548.2773956371927
SDN,2015,1527.3483572536188
SDN,2018,1532.4883883414664
SYR,1990,2217.5777362794443
SYR,1995,2467.724770641416
SYR,2000,2537.1116644129443
SYR,2005,2640.7336841173233
SYR,2010,2720.665672542154
SYR,2015,2809.5964698475036
SYR,2018,2718.0354653466215
TUN,1990,1587.7375856331491
TUN,1995,1686.514414873061
TUN,2000,1805.42188538295
TUN,2005,1824.2000407388464
TUN,2010,1898.3070540090694
TUN,2015,1871.2857302039015
TUN,2018,1830.748931120308
YEM,1990,1166.6994676712677
YEM,1995,941.7447791751965
YEM,2000,1144.60086742065
YEM,2005,1445.8826147942866
YEM,2010,1425.5248970720443
YEM,2015,1633.34880437623
YEM,2018,1548.6144913915275
AFG,2020,144.4446732179727
ARE,2020,503.7022838103218
BHR,2020,680.4340274359505
DJI,2020,370.8618745796604
EGY,2020,496.9689250108687
IRN,2020,287.5943074539492
IRQ,2020,969.0056374290964
JOR,2020,920.1147381555056
KWT,2020,437.4410265070055
LBN,2020,474.71225563018857
LBR,2020,440.11667487531
MAR,2020,478.4143905107293
OMN,2020,768.7246686460421
PAK,2020,463.7897398856747
PSE,2020,682.4337956877814
QAT,2020,643.2174523218744
SAU,2020,619.5186841878295
SDN,2020,282.73874409143025
SYR,2020,649.5421303165646
TUN,2020,655.3661408130127
YEM,2020,358.6651561210667
