index,iso3,year,median,emissions
0,AFG,1990,347.782582461248,684.9577961574279
1,AFG,1995,364.572888429939,718.0263037627648
2,AFG,2000,365.430498370737,719.7153665411665
3,AFG,2005,366.435085741095,721.6939013670866
4,AFG,2010,326.179333766036,642.4101978522078
5,AFG,2015,225.640602357046,444.3991663422021
6,AFG,2018,223.168905247219,439.5311588843978
7,ARE,1990,221.12364514241,435.5030191079765
8,ARE,1995,283.40109299919,558.1584526619047
9,ARE,2000,258.723493063731,509.5559195890182
10,ARE,2005,333.18636120184,656.2105383870238
11,ARE,2010,339.006714962418,667.6737251184823
12,ARE,2015,330.190680282722,650.3105448168209
13,ARE,2018,337.642298589219,664.9865070714668
14,BHR,1990,378.257747578955,744.9786338567518
15,BHR,1995,412.94830944344,813.3016954488551
16,BHR,2000,439.24359122539,865.0902529184056
17,BHR,2005,450.873555779551,887.9954681078257
18,BHR,2010,462.778945783262,911.4431337201344
19,BHR,2015,473.171183482335,931.9106458684588
20,BHR,2018,451.577089076351,889.3810769358734
21,DJI,1990,220.097359223377,433.481748990441
22,DJI,1995,237.763113614366,468.27445226349386
23,DJI,2000,232.996793051306,458.8871839145472
24,DJI,2005,230.115925940985,453.2133161407699
25,DJI,2010,241.655910662916,475.94131605061307
26,DJI,2015,228.522292239187,450.07465456507884
27,DJI,2018,233.979453715673,460.82253409301796
28,EGY,1990,209.649538305609,412.90476569289694
29,EGY,1995,217.266290650307,427.90595943577966
30,EGY,2000,221.271517320584,435.7942533628902
31,EGY,2005,219.730145956175,432.75852246068666
32,EGY,2010,217.94833825935,429.24925220178983
33,EGY,2015,214.115513983491,421.7005047904856
34,EGY,2018,211.003022307649,415.5704524349147
35,IRN,1990,447.553500831867,881.456619888362
36,IRN,1995,536.880189464014,1057.3855331493758
37,IRN,2000,479.59963981979,944.5714906250764
38,IRN,2005,479.553154210638,944.4799372178516
39,IRN,2010,465.091479211653,915.9976683073506
40,IRN,2015,455.311146201336,896.7353024435313
41,IRN,2018,458.262044059318,902.5470957748267
42,IRQ,1990,344.504737453157,678.5020804139928
43,IRQ,1995,249.621455208463,491.6294560330679
44,IRQ,2000,366.764612783379,722.342904876865
45,IRQ,2005,308.973962800237,608.5242197350668
46,IRQ,2010,329.551312074139,649.0513091300168
47,IRQ,2015,380.434940606564,749.2666155246278
48,IRQ,2018,353.658453764146,696.5303246884855
49,JOR,1990,322.011408978682,634.2014699835142
50,JOR,1995,328.630089894227,647.2369620466801
51,JOR,2000,326.611804335404,643.2619486385781
52,JOR,2005,325.681008596238,641.4287464302907
53,JOR,2010,322.182920098262,634.539261133527
54,JOR,2015,323.72103495384,637.5685783415878
55,JOR,2018,322.578671342455,635.3186932089651
56,KWT,1990,253.933520047985,500.1220677345065
57,KWT,1995,305.123974819627,600.9416684072554
58,KWT,2000,312.938459560685,616.3322961047691
59,KWT,2005,328.371151844222,646.7269835571954
60,KWT,2010,357.692142224109,704.4746741103827
61,KWT,2015,276.811806197308,545.1808523055981
62,KWT,2018,283.120053945321,557.6049462453096
63,LBN,1990,463.449426002322,912.7636445115733
64,LBN,1995,460.897615226313,907.7378531882234
65,LBN,2000,461.2059953003,908.3452077439408
66,LBN,2005,468.559554666272,922.8280429152227
67,LBN,2010,474.258085606494,934.0512996019899
68,LBN,2015,460.690756648805,907.3304452198214
69,LBN,2018,454.123353425741,894.3959445719969
70,LBR,1990,393.845498276706,775.6787088559724
71,LBR,1995,143.322498217509,282.27366023938396
72,LBR,2000,234.365313165197,461.5824842788555
73,LBR,2005,246.748875155804,485.9719096193559
74,LBR,2010,337.388537340023,664.4867242911753
75,LBR,2015,355.542486260008,700.2409266890858
76,LBR,2018,347.80221107638,684.9964547149303
77,MAR,1990,305.537308325016,601.7557287461191
78,MAR,1995,162.731240780706,320.49917871760044
79,MAR,2000,239.898389138257,472.4798774077971
80,MAR,2005,244.811302583005,482.15586043722834
81,MAR,2010,332.646479005907,655.1472404021338
82,MAR,2015,477.890478108139,941.2052966339797
83,MAR,2018,551.406359523804,1085.994825082132
84,OMN,1990,297.500012368698,585.9262743601507
