index,iso3,year,median,emissions
0,AFG,1990,332.412985483836,654.6873749104151
1,AFG,1995,348.945738866342,687.2486326972606
2,AFG,2000,346.376342264658,682.1882060902439
3,AFG,2005,350.290026767756,689.8962077190954
4,AFG,2010,310.528224329193,611.5853378163456
5,AFG,2015,212.42550624941,418.372034558213
6,AFG,2018,210.358575800387,414.3012150388622
7,ARE,1990,212.155097730172,417.83946497957373
8,ARE,1995,277.194017379885,545.9336172296835
9,ARE,2000,254.518960609746,501.27509292089474
10,ARE,2005,327.426730951021,644.8669466080358
11,ARE,2010,333.181224794335,656.2004222324427
12,ARE,2015,321.422074408999,633.0407755485236
13,ARE,2018,328.360750284599,646.7064976855178
14,BHR,1990,372.231300078869,733.1095455053326
15,BHR,1995,406.059984949063,799.7351403571795
16,BHR,2000,432.606093832556,852.017701803219
17,BHR,2005,440.286031265916,867.1433385782216
18,BHR,2010,454.88248187191,895.8910480467267
19,BHR,2015,464.008122685476,913.8639976290449
20,BHR,2018,442.368167052218,871.2441050093433
21,DJI,1990,222.450405754306,438.11607413310566
22,DJI,1995,239.794156845413,472.2745919070409
23,DJI,2000,234.428900986209,461.70772049233864
24,DJI,2005,232.381075898299,457.6745289816999
25,DJI,2010,244.18140519944,480.9152775402971
26,DJI,2015,229.298829687697,451.60404506991927
27,DJI,2018,233.952826697306,460.77009218034414
28,EGY,1990,213.64719439864,420.77814936812155
29,EGY,1995,221.204814892029,435.6628829298511
30,EGY,2000,225.131434143227,443.3963595450856
31,EGY,2005,223.621258591069,440.42206879511036
32,EGY,2010,221.805379474647,436.84569487531724
33,EGY,2015,218.099950371712,429.5478522570868
34,EGY,2018,214.858843092923,423.16449147151184
35,IRN,1990,436.290201669293,859.2735521876725
36,IRN,1995,523.333021073707,1030.7043850046657
37,IRN,2000,467.741669751098,921.2172185747875
38,IRN,2005,467.426264220234,920.5960273817508
39,IRN,2010,453.805750751029,893.7704261041515
40,IRN,2015,444.449935735891,875.3441484318374
41,IRN,2018,447.226822065037,880.8132260570903
42,IRQ,1990,339.149789312119,667.9555100502184
43,IRQ,1995,244.357836831462,481.2627596395644
44,IRQ,2000,362.214791610321,713.3820320765273
45,IRQ,2005,304.721924992024,600.1498312717913
46,IRQ,2010,324.21211646011,638.5357633681866
47,IRQ,2015,375.134078320407,738.8265672520416
48,IRQ,2018,348.987237896353,687.3303650368672
49,JOR,1990,311.26802723089,613.042379631238
50,JOR,1995,318.577611619115,627.4386060838469
51,JOR,2000,317.19809467088,624.7216474542981
52,JOR,2005,316.651002016586,623.6441484716662
53,JOR,2010,313.668281486853,617.769680388357
54,JOR,2015,315.147697901418,620.6833910168427
55,JOR,2018,314.273742031244,618.9621349305352
56,KWT,1990,250.060706864274,492.49456216918765
57,KWT,1995,299.759991107064,590.3773024853626
58,KWT,2000,308.139996247822,606.8817226100855
59,KWT,2005,324.178050902616,638.4686712527023
60,KWT,2010,353.503655196285,696.2254489090833
61,KWT,2015,272.614226777124,536.9137196375457
