index,iso3,year,median,emissions,income_group
0,AFG,1990,80.0471590956903,61.38160244343905,Low income
1,AFG,1995,68.4249480469378,52.46948181145675,Low income
2,AFG,2000,40.3599739191785,30.948754480756616,Low income
3,AFG,2005,57.5733684632493,44.1482952582519,Low income
4,AFG,2010,100.818201215147,77.30921141939659,Low income
5,AFG,2015,101.416160973407,77.767737725306,Low income
6,AFG,2018,100.309429600345,76.91907618727735,Low income
7,ARE,1990,12.5969439370026,9.65956335588446,High income
8,ARE,1995,23.0954422533854,17.710000837856484,High income
9,ARE,2000,14.481840238446,11.104935767964683,High income
10,ARE,2005,28.2892547520386,21.69270975044873,High income
11,ARE,2010,34.8944279554377,26.757675455932823,High income
12,ARE,2015,43.7110601891393,33.51842775211542,High income
13,ARE,2018,38.8011317621649,29.753406255599767,High income
14,BHR,1990,32.8887589340163,25.21969234826451,High income
15,BHR,1995,32.2955366262291,24.764798804651747,High income
16,BHR,2000,32.2353806620886,24.71867012854145,High income
17,BHR,2005,34.5302660771918,26.47842957278006,High income
18,BHR,2010,37.5919639093091,28.826194581008583,High income
19,BHR,2015,37.1133320679238,28.45917106966119,High income
20,BHR,2018,37.1456730519838,28.48397071837611,High income
21,DJI,1990,70.3606085772419,53.95378114798348,Middle income
22,DJI,1995,46.0699356798449,35.32725593814731,Middle income
23,DJI,2000,52.5277254128344,40.27920534561885,Middle income
24,DJI,2005,42.1788328988282,32.34348828581364,Middle income
25,DJI,2010,233.171277804981,178.7999329038599,Middle income
26,DJI,2015,203.192295004268,155.81150927058275,Middle income
27,DJI,2018,200.455771316454,153.7130936493406,Middle income
28,EGY,1990,16.4208090768418,12.591771974685674,Middle income
29,EGY,1995,19.4723720217209,14.931765368951975,Middle income
30,EGY,2000,20.6335773983006,15.822198553410066,Middle income
31,EGY,2005,27.1164110049594,20.79335205400096,Middle income
32,EGY,2010,21.3902523755474,16.402430546112505,Middle income
33,EGY,2015,9.48101295308344,7.270211390657536,Middle income
34,EGY,2018,9.0286292366471,6.923315413987257,Middle income
35,IRN,1990,13.4124688402645,10.284922531153944,Middle income
36,IRN,1995,14.7215267891329,11.288731729389312,Middle income
37,IRN,2000,15.4311315829186,11.832869458150476,Middle income
38,IRN,2005,15.5393601068434,11.915861038409442,Middle income
39,IRN,2010,15.9371098206145,12.22086267842397,Middle income
40,IRN,2015,15.7222964828772,12.05613994440693,Middle income
