index,iso3,year,median,emissions,income_group
0,AFG,1990,3.75758178524425,2.4424281604087628,Low income
1,AFG,1995,4.3241114742808,2.81067245828252,Low income
2,AFG,2000,4.98663944069523,3.2413156364519,Low income
3,AFG,2005,5.53961445905639,3.600749398386653,Low income
4,AFG,2010,5.87589181822311,3.8193296818450215,Low income
5,AFG,2015,3.89889103451207,2.534279172432845,Low income
6,AFG,2018,4.07660673342918,2.6497943767289667,Low income
7,ARE,1990,22.5990661925656,14.68939302516764,High income
8,ARE,1995,24.8019389633412,16.121260326171782,High income
9,ARE,2000,26.7791158915637,17.406425329516402,High income
10,ARE,2005,31.6989673411688,20.60432877175972,High income
11,ARE,2010,30.7501803098656,19.98761720141264,High income
12,ARE,2015,24.4902418276169,15.918657187950984,High income
13,ARE,2018,25.9523171225935,16.869006129685776,High income
14,BHR,1990,27.2243332758489,17.695816629301785,High income
15,BHR,1995,27.5983545330469,17.938930446480484,High income
16,BHR,2000,27.7503466928336,18.03772535034184,High income
17,BHR,2005,27.9059540934744,18.13887016075836,High income
18,BHR,2010,27.3538624886999,17.780010617654934,High income
19,BHR,2015,26.0262793493472,16.91708157707568,High income
20,BHR,2018,26.5119668192081,17.232778432485265,High income
21,DJI,1990,31.0690110157046,20.19485716020799,Middle income
22,DJI,1995,32.2426972117573,20.957753187642243,Middle income
23,DJI,2000,33.0221031755521,21.464367064108863,Middle income
24,DJI,2005,30.1136902633819,19.57389867119824,Middle income
25,DJI,2010,31.8242363985547,20.68575365906056,Middle income
26,DJI,2015,21.1400226099652,13.74101469647738,Middle income
27,DJI,2018,22.9478082992845,14.916075394534923,Middle income
28,EGY,1990,21.4641732296615,13.951712599279976,Middle income
29,EGY,1995,21.1394579426511,13.740647662723214,Middle income
30,EGY,2000,21.3956906451498,13.90719891934737,Middle income
31,EGY,2005,21.4466605823536,13.94032937852984,Middle income
32,EGY,2010,21.6099382610751,14.046459869698817,Middle income
33,EGY,2015,19.2261766710766,12.49701483619979,Middle income
34,EGY,2018,19.4479485754249,12.641166574026183,Middle income
35,IRN,1990,4.88082176277453,3.172534145803444,Middle income
36,IRN,1995,4.95339223613569,3.2197049534881987,Middle income
37,IRN,2000,5.09945848073184,3.314648012475696,Middle income
38,IRN,2005,5.09717709160942,3.313165109546123,Middle income
39,IRN,2010,5.4278694760414,3.52811515942691,Middle income
