index,iso3,year,median,emissions,income_group
0,AFG,1990,153.458701012408,78.27774879941919,Low income
1,AFG,1995,110.330415712904,56.2784417509952,Low income
2,AFG,2000,120.759934927162,61.59843520699607,Low income
3,AFG,2005,154.652594855179,78.88674210967825,Low income
4,AFG,2010,148.348582939626,75.67112867167381,Low income
5,AFG,2015,108.804933876661,55.500308721146006,Low income
6,AFG,2018,98.0801235807033,50.02969023728094,Low income
7,ARE,1990,139.549914744916,71.1830160122342,High income
8,ARE,1995,147.189911105415,75.08010175576115,High income
9,ARE,2000,151.704600964847,77.3829999061588,High income
10,ARE,2005,142.157428597104,72.51308275309678,High income
11,ARE,2010,130.154452121367,66.39048448258809,High income
12,ARE,2015,123.659175304057,63.07730873084643,High income
13,ARE,2018,123.284746613244,62.88631639994963,High income
14,BHR,1990,167.316644409459,85.34654714682094,High income
15,BHR,1995,173.975503523995,88.7431645925546,High income
16,BHR,2000,173.72468835692,88.61522628398133,High income
17,BHR,2005,177.969499738996,90.78046212186447,High income
18,BHR,2010,183.704802799117,93.70598285980158,High income
19,BHR,2015,183.500307505125,93.6016718552892,High income
20,BHR,2018,185.169865404579,94.45329664422172,High income
21,DJI,1990,102.017872781717,52.038296727226026,Middle income
22,DJI,1995,72.8115268473689,37.1404317295744,Middle income
23,DJI,2000,59.9609125463426,30.58546188076389,Middle income
24,DJI,2005,129.93506874727,66.27857921729496,Middle income
25,DJI,2010,126.613807920556,64.5844372821964,Middle income
26,DJI,2015,128.670912175954,65.63374559183237,Middle income
27,DJI,2018,106.357402228044,54.25184730250296,Middle income
28,EGY,1990,140.739245809377,71.7896818949051,Middle income
29,EGY,1995,144.376069033351,73.64478905322201,Middle income
30,EGY,2000,147.667716766447,75.32382564539694,Middle income
31,EGY,2005,151.57999839995,77.3194413838305,Middle income
32,EGY,2010,153.534419979791,78.31637228749159,Middle income
33,EGY,2015,147.495697757713,75.23608046923182,Middle income
34,EGY,2018,147.664619468386,75.322245744629,Middle income
35,IRN,1990,142.529792675211,72.70302194569838,Middle income
36,IRN,1995,128.285092131197,65.43694264520227,Middle income
37,IRN,2000,156.825910183366,79.99532852543317,Middle income
38,IRN,2005,202.60926972194,103.34896239246436,Middle income
39,IRN,2010,208.286257678589,106.24473717927148,Middle income
40,IRN,2015,218.147670493693,111.27494524212786,Middle income
41,IRN,2018,227.334486941509,115.96104844399431,Middle income
43,IRQ,1995,138.525234496601,70.6603368643712,Middle income
44,IRQ,2000,140.307852289339,71.56963237426893,Middle income
45,IRQ,2005,151.253841028834,77.15307177039793,Middle income
46,IRQ,2010,156.604312627662,79.8822938282441,Middle income
47,IRQ,2015,98.14514253734808,50.06285575687588,Middle income
48,IRQ,2018,115.951795148414,59.1458511872545,Middle income
49,JOR,1990,105.944601127513,54.04128158913311,Middle income
50,JOR,1995,110.670872676274,56.4521054434406,Middle income
