Country,year,emissions,income_group
AFG,1990,1871.0523036122704,Low income
AFG,1995,1585.5197773963462,Low income
AFG,2000,1512.3070488632602,Low income
AFG,2005,1404.5114390262208,Low income
AFG,2010,1359.4480798610912,Low income
AFG,2015,1058.7466034053266,Low income
AFG,2018,1026.8564535123962,Low income
ARE,1990,4244.4335014771,High income
ARE,1995,4996.269271316967,High income
ARE,2000,3632.38276601876,High income
ARE,2005,3182.4141085853057,High income
ARE,2010,2591.40416639824,High income
ARE,2015,2654.315022949262,High income
ARE,2018,2684.308218745145,High income
BHR,1990,2433.264088037741,High income
BHR,1995,2712.0780179375374,High income
BHR,2000,2761.574378670344,High income
BHR,2005,2816.234365848283,High income
BHR,2010,2900.3145878975383,High income
BHR,2015,2957.2530509534827,High income
BHR,2018,2868.4709487694363,High income
DJI,1990,1299.7372453421565,Middle income
DJI,1995,1571.517615554438,Middle income
DJI,2000,1931.9798331589384,Middle income
DJI,2005,2206.2753622403643,Middle income
DJI,2010,1774.9427805171304,Middle income
DJI,2015,2020.072376397433,Middle income
DJI,2018,1875.547888348829,Middle income
EGY,1990,1159.63550389772,Middle income
EGY,1995,1318.6162324672866,Middle income
EGY,2000,1478.3880571250197,Middle income
EGY,2005,1504.0083889337918,Middle income
EGY,2010,1773.5374105769192,Middle income
EGY,2015,1781.7779163098382,Middle income
EGY,2018,1514.0558992564538,Middle income
IRN,1990,2128.5434822932098,Middle income
IRN,1995,2299.990752067325,Middle income
IRN,2000,2286.3114127479894,Middle income
IRN,2005,2418.6035947244686,Middle income
IRN,2010,2190.3241384486228,Middle income
IRN,2015,2013.801058890661,Middle income
IRN,2018,2006.4511535247416,Middle income
IRQ,1995,2213.6603220964857,Middle income
IRQ,2000,2532.5010935746545,Middle income
IRQ,2005,2279.581020410249,Middle income
IRQ,2010,3443.107659693453,Middle income
IRQ,2015,3305.024701163559,Middle income
IRQ,2018,3187.390519472554,Middle income
JOR,1990,2468.128099240374,Middle income
JOR,1995,2587.399932503793,Middle income
JOR,2000,2740.9070711332365,Middle income
JOR,2005,2806.7531013869047,Middle income
JOR,2010,2857.2977854889505,Middle income
JOR,2015,2884.0462345905385,Middle income
JOR,2018,2975.9104956051697,Middle income
KWT,1990,1446.0015073166355,High income
KWT,1995,2808.931276131804,High income
KWT,2000,2616.250370209739,High income
KWT,2005,3037.707073453077,High income
KWT,2010,2770.484665252337,High income
KWT,2015,2878.327723913025,High income
KWT,2018,2835.840085663074,High income
LBN,1990,2270.08884249025,Middle income
LBN,1995,2386.6927661220057,Middle income
LBN,2000,3024.089568722537,Middle income
LBN,2005,3019.011248400901,Middle income
LBN,2010,3047.0315579597363,Middle income
LBN,2015,2434.746193545593,Middle income
LBN,2018,2322.833056205615,Middle income
LBR,1990,1991.483941733965,Low income
LBR,1995,1843.5363909869936,Low income
LBR,2000,1907.9789046607843,Low income
LBR,2005,1768.4545271305435,Low income
LBR,2010,1965.464593052489,Low income
LBR,2015,2140.2153864204934,Low income
LBR,2018,2084.4754376030246,Low income
MAR,1990,1735.0700375972465,Middle income
MAR,1995,1380.88771569448,Middle income
MAR,2000,1667.3442959607692,Middle income
MAR,2005,1697.2651464407113,Middle income
MAR,2010,2122.796155264201,Middle income
MAR,2015,2506.9079420686667,Middle income
MAR,2018,2696.722471096822,Middle income
OMN,1990,1889.851165544551,High income
OMN,1995,2131.138841113273,High income
OMN,2000,2338.6911524923544,High income
OMN,2005,2762.2490258046946,High income
OMN,2010,3349.585354656572,High income
OMN,2015,2992.2555140262584,High income
OMN,2018,2749.762457756354,High income
PAK,1990,1451.7667899587027,Middle income
PAK,1995,1616.4794185958567,Middle income
PAK,2000,1399.6965371882563,Middle income
PAK,2005,1376.3170904167664,Middle income
PAK,2010,1583.8888972185955,Middle income
PAK,2015,1534.991493376843,Middle income
PAK,2018,1579.501568062429,Middle income
PSE,1990,2269.571806749344,Middle income
PSE,1995,2442.349032664005,Middle income
PSE,2000,2527.645341380005,Middle income
PSE,2005,2618.41116416375,Middle income
PSE,2010,2797.3473459885968,Middle income
PSE,2015,2867.191881622215,Middle income
PSE,2018,2777.3913901076803,Middle income
QAT,1990,2364.9636339798835,High income
QAT,1995,2633.370211827976,High income
QAT,2000,2723.1595576813147,High income
QAT,2005,2817.392617706744,High income
QAT,2010,2809.4863752175806,High income
QAT,2015,2835.990332024516,High income
QAT,2018,2752.078222072567,High income
SAU,1990,2540.374121872782,High income
SAU,1995,2750.711853227266,High income
SAU,2000,3029.382386806975,High income
SAU,2005,2998.4276716445083,High income
SAU,2010,3580.8417586096894,High income
SAU,2015,3592.0358240834576,High income
SAU,2018,3229.3886177886966,High income
SDN,1990,1436.9732401166948,Low income
SDN,1995,1389.911730602994,Low income
SDN,2000,1426.069326163718,Low income
SDN,2005,1510.545417116931,Low income
SDN,2010,1596.4291743057022,Low income
SDN,2015,1562.9252605250242,Low income
SDN,2018,1567.582552966647,Low income
SYR,1990,2181.208688905253,Low income
SYR,1995,2422.759089127362,Low income
SYR,2000,2487.291235487196,Low income
SYR,2005,2596.266003692889,Low income
SYR,2010,2669.0944939191454,Low income
SYR,2015,2746.255105031474,Low income
SYR,2018,2655.0830008479647,Low income
TUN,1990,1616.2004936764083,Middle income
TUN,1995,1719.7683893031826,Middle income
TUN,2000,1843.1404865992404,Middle income
TUN,2005,1858.523705593564,Middle income
TUN,2010,1938.814323836419,Middle income
TUN,2015,1914.8866691041007,Middle income
TUN,2018,1870.0879978747016,Middle income
YEM,1990,1180.0252760451835,Low income
YEM,1995,947.9066066695472,Low income
YEM,2000,1147.748680731947,Low income
YEM,2005,1441.4813053384423,Low income
YEM,2010,1412.0785527248352,Low income
YEM,2015,1614.756137293058,Low income
YEM,2018,1532.7931723640831,Low income
EMR,1990,1938.631348041819,
EMR,1995,1987.6072025821309,
EMR,2000,2197.4090235938647,
EMR,2005,2362.6870717359807,
EMR,2010,2478.113609044482,
EMR,2015,2311.132523738824,
EMR,2018,2337.316758632166,
AFG,2020,158.3455037623602,Low income
ARE,2020,486.6905272532599,High income
BHR,2020,663.5529187486421,High income
DJI,2020,389.1638796747604,Middle income
EGY,2020,508.7700038928432,Middle income
IRN,2020,274.6491729924417,Middle income
IRQ,2020,926.4941147244914,Middle income
JOR,2020,969.3163225071054,Middle income
KWT,2020,461.9891772733985,High income
LBN,2020,331.48305984587046,Middle income
LBR,2020,416.118423793358,Low income
MAR,2020,435.7658729571652,Middle income
OMN,2020,734.779446712939,High income
PAK,2020,496.78067384955546,Middle income
PSE,2020,661.7338544768048,Middle income
QAT,2020,610.1691773781582,High income
SAU,2020,607.4866795496454,High income
SDN,2020,299.62062855380617,Low income
SYR,2020,624.4674647924887,Low income
TUN,2020,663.621538317893,Middle income
YEM,2020,374.4938251255557,Low income
EMR,2020,496.78067384955546,
