Country,year,emissions,income_group
AFG,1990,1871.8625425273203,Low income
AFG,1995,1606.647325999768,Low income
AFG,2000,1543.927357405731,Low income
AFG,2005,1431.479074796329,Low income
AFG,2010,1389.7987461755913,Low income
AFG,2015,1086.7715741371942,Low income
AFG,2018,1049.6414745659947,Low income
ARE,1990,4525.64746499572,High income
ARE,1995,5240.926914166716,High income
ARE,2000,3781.875102341407,High income
ARE,2005,3321.064027902151,High income
ARE,2010,2696.9200407786348,High income
ARE,2015,2757.690416700744,High income
ARE,2018,2785.2492697277144,High income
BHR,1990,2500.013362659359,High income
BHR,1995,2777.1403998051464,High income
BHR,2000,2823.715854626056,High income
BHR,2005,2920.4521081244025,High income
BHR,2010,3000.645426422719,High income
BHR,2015,3056.667304431232,High income
BHR,2018,2976.7397347931856,High income
DJI,1990,1271.3879553767958,Middle income
DJI,1995,1573.4421961528917,Middle income
DJI,2000,1936.7410321792809,Middle income
DJI,2005,2226.863288159662,Middle income
DJI,2010,1730.6911199499286,Middle income
DJI,2015,2002.514789960013,Middle income
DJI,2018,1878.0950442795715,Middle income
EGY,1990,1110.5223081398533,Middle income
EGY,1995,1268.118097589463,Middle income
EGY,2000,1426.5929635796765,Middle income
EGY,2005,1444.389908897267,Middle income
EGY,2010,1715.3160551032631,Middle income
EGY,2015,1727.9835188037698,Middle income
EGY,2018,1464.607130306767,Middle income
IRN,1990,2136.3144487972945,Middle income
IRN,1995,2317.5945533014537,Middle income
IRN,2000,2291.971355884,Middle income
IRN,2005,2415.7772935571275,Middle income
IRN,2010,2178.589203270823,Middle income
IRN,2015,2000.2297277717607,Middle income
IRN,2018,1992.0604889455744,Middle income
IRQ,1995,2263.019464714797,Middle income
IRQ,2000,2581.553584419737,Middle income
IRQ,2005,2338.6202848065723,Middle income
IRQ,2010,3555.7806293095646,Middle income
IRQ,2015,3427.7624671336257,Middle income
IRQ,2018,3296.0993325981776,Middle income
JOR,1990,2478.8306952294365,Middle income
JOR,1995,2580.578714347364,Middle income
JOR,2000,2749.3581821540783,Middle income
JOR,2005,2809.037889429036,Middle income
JOR,2010,2858.1465491876875,Middle income
JOR,2015,2906.7919559990028,Middle income
JOR,2018,2993.8919821635745,Middle income
KWT,1990,1435.9506854824465,High income
KWT,1995,2855.912881366856,High income
KWT,2000,2655.483308865265,High income
KWT,2005,3115.7961083265777,High income
KWT,2010,2820.101563545123,High income
