index,iso3,year,median,emissions,income_group
0,AFG,1990,5.95815778287089,18.499960752658456,Low income
1,AFG,1995,3.59965127618195,11.17684521951943,Low income
2,AFG,2000,3.22892214059277,10.02573866809774,Low income
3,AFG,2005,4.2791561397295,13.286694230737304,Low income
4,AFG,2010,5.54359314976834,17.2127458581677,Low income
5,AFG,2015,9.09596502538589,28.24278948452268,Low income
6,AFG,2018,7.89465859836003,24.51275705473593,Low income
7,ARE,1990,43.3503822054261,134.60206974020394,High income
8,ARE,1995,41.909156455813,130.12709261217023,High income
9,ARE,2000,37.5321864733936,116.53668835615768,High income
10,ARE,2005,30.9481676876722,96.09344170686842,High income
11,ARE,2010,15.2611909630626,47.38569271649011,High income
12,ARE,2015,25.3558368664418,78.72936635356446,High income
13,ARE,2018,30.1888820012891,93.73587483636264,High income
14,BHR,1990,22.02348205277,68.3824713042098,High income
15,BHR,1995,23.5728270983281,73.19315668376679,High income
16,BHR,2000,25.8559948588924,80.28234691696373,High income
17,BHR,2005,25.9777559405746,80.66041264036532,High income
18,BHR,2010,24.6984950676043,76.68833321500999,High income
19,BHR,2015,27.3499924559193,84.9211795757803,High income
20,BHR,2018,31.676388023577,98.35455128544612,High income
21,DJI,1990,7.58868692925651,23.56272114160288,Lower middle income
22,DJI,1995,8.08330987694425,25.09851550171436,Lower middle income
23,DJI,2000,2.52971627055034,7.854718425733394,Lower middle income
24,DJI,2005,7.03018008426322,21.828568558035613,Lower middle income
25,DJI,2010,2.7428509770863,8.51649742683342,Lower middle income
26,DJI,2015,15.3514994112989,47.66609864209485,Lower middle income
27,DJI,2018,28.6838090420596,89.06265339941422,Lower middle income
28,EGY,1990,14.9772838276788,46.50416673926612,Lower middle income
29,EGY,1995,15.4510792229332,47.97529196562313,Lower middle income
30,EGY,2000,15.8020519930369,49.06505539733971,Lower middle income
31,EGY,2005,16.8192108022095,52.22331315664446,Lower middle income
32,EGY,2010,17.2399431772803,53.52967876659178,Lower middle income
33,EGY,2015,19.2610024390633,59.80502735324277,Lower middle income
34,EGY,2018,19.6528322430506,61.02165105802725,Lower middle income
35,IRN,1990,12.2578830116779,38.06048159359964,Upper middle income
36,IRN,1995,14.5313103987936,45.11942816204616,Upper middle income
37,IRN,2000,15.2930501815162,47.484614952604176,Upper middle income
38,IRN,2005,16.9980869055544,52.778719880008296,Upper middle income
39,IRN,2010,15.3695677931326,47.72220060632086,Upper middle income
40,IRN,2015,15.0453397156019,46.71547891014959,Upper middle income
41,IRN,2018,14.5409957916761,45.14950111323845,Upper middle income
43,IRQ,1995,7.06410957499258,21.93391894816046,Upper middle income
44,IRQ,2000,11.8102125581776,36.67047378889029,Upper middle income
45,IRQ,2005,15.297633878055,47.49884723868321,Upper middle income
46,IRQ,2010,97.171312668854,301.71498241053825,Upper middle income
47,IRQ,2015,87.0242129057192,270.208440588,Upper middle income
48,IRQ,2018,107.366177192422,333.3698328589265,Upper middle income
49,JOR,1990,28.5480254698536,88.64104812338603,Lower middle income
50,JOR,1995,30.0222097211979,93.21836074012506,Lower middle income
51,JOR,2000,29.2818608309656,90.91959224293156,Lower middle income
52,JOR,2005,26.605921764662,82.61085496084023,Lower middle income
53,JOR,2010,29.597063734865,91.89829095548112,Lower middle income
54,JOR,2015,23.7421674767243,73.71895517187941,Lower middle income
55,JOR,2018,24.740618051191,76.81912423658703,Lower middle income
56,KWT,1990,10.8715000187938,33.75579012835437,High income
57,KWT,1995,28.0369271260604,87.05409798787502,High income
58,KWT,2000,29.4407069891223,91.41280638708496,High income
59,KWT,2005,34.0487076392325,105.72055624566411,High income
60,KWT,2010,26.6915929698383,82.87686233948853,High income
61,KWT,2015,25.1143547944311,77.97956934961269,High income
62,KWT,2018,44.3396411735836,137.6736990511536,High income
63,LBN,1990,62.8615059112943,195.1837186244506,Lower middle income
64,LBN,1995,32.634674695114,101.33001223483508,Lower middle income
65,LBN,2000,51.0035839722798,158.36510816224933,Lower middle income
66,LBN,2005,37.6946334941655,117.04108310671398,Lower middle income
67,LBN,2010,26.4057882616475,81.98944443665026,Lower middle income
68,LBN,2015,16.2761108824935,50.53699876792467,Lower middle income
69,LBN,2018,20.653542883542,64.12883758254023,Lower middle income
70,LBR,1990,7.25453449611897,22.52518451975948,Low income
71,LBR,1995,7.41665047129829,23.028551380371763,Low income
72,LBR,2000,6.71098345968183,20.83746942264289,Low income
73,LBR,2005,11.3164212535522,35.13726166385451,Low income
74,LBR,2010,8.48013406112034,26.330646657097432,Low income
75,LBR,2015,9.33563819794182,28.9869698918454,Low income
76,LBR,2018,8.11687333113627,25.202729355711494,Low income
77,MAR,1990,22.0315000819205,68.4073671243615,Lower middle income
78,MAR,1995,23.0011699804401,71.4181727658669,Lower middle income
79,MAR,2000,26.4035379503798,81.98245726517027,Lower middle income
80,MAR,2005,24.5063665509263,76.09177801329514,Lower middle income
81,MAR,2010,22.8252444996411,70.87192766649562,Lower middle income
82,MAR,2015,25.5170194124735,79.22983493534197,Lower middle income
83,MAR,2018,32.5010930201915,100.9152438058342,Lower middle income
84,OMN,1990,21.842293213127,67.81988358089508,High income
85,OMN,1995,21.996019859288,68.29720174269205,High income
86,OMN,2000,24.0243402650982,74.5950960363246,High income
87,OMN,2005,26.0613544861342,80.91998445235697,High income
88,OMN,2010,25.3397389105733,78.67938252255188,High income
89,OMN,2015,33.5419280935123,104.1470158917938,High income
90,OMN,2018,36.4866190179118,113.2902223182358,High income
91,PAK,1990,5.73033876173476,17.792587248411195,Lower middle income
92,PAK,1995,6.36074012907734,19.74997088598256,Lower middle income
93,PAK,2000,7.27549333424018,22.59026129294908,Lower middle income
94,PAK,2005,8.24009719779324,25.585336997204056,Lower middle income
95,PAK,2010,10.6155909758471,32.96119766818573,Lower middle income
96,PAK,2015,10.5722050055241,32.82648509805222,Lower middle income
97,PAK,2018,12.0516158315617,37.42002612468245,Lower middle income
98,PSE,1990,20.4632055538671,63.537843980646265,Lower middle income
99,PSE,1995,21.6389891617547,67.18862856746512,Lower middle income
100,PSE,2000,24.2851823084725,75.40500536416094,Lower middle income
101,PSE,2005,24.3857419893904,75.7172411622174,Lower middle income
102,PSE,2010,23.4329334178987,72.7587896039071,Lower middle income
103,PSE,2015,26.3151510913239,81.70801783553888,Lower middle income
104,PSE,2018,30.3699731806076,94.298159326323,Lower middle income
105,QAT,1990,22.0269087594342,68.393111159868,High income
106,QAT,1995,23.5088546032566,72.99452336601968,High income
107,QAT,2000,25.9060159332704,80.43766135248593,High income
108,QAT,2005,25.9813824747717,80.67167295651663,High income
109,QAT,2010,24.2395169460176,75.26321532704573,High income
110,QAT,2015,26.5516942238012,82.44247953101825,High income
111,QAT,2018,30.3642822043183,94.28048895876424,High income
112,SAU,1990,23.6325862855853,73.37870776501666,High income
113,SAU,1995,24.3700025663083,75.66837056833594,High income
114,SAU,2000,19.5837641312603,60.8071959522806,High income
115,SAU,2005,22.7836056578057,70.74263989537354,High income
116,SAU,2010,23.4753709069624,72.89055715870012,High income
117,SAU,2015,34.9807911417699,108.6146568793727,High income
118,SAU,2018,42.6332123876754,132.37527179948438,High income
119,SDN,1990,4.15616116062278,12.90479728051052,Low income
120,SDN,1995,4.62034658584181,14.346083742107105,Low income
121,SDN,2000,7.43688720611528,23.091386037243826,Low income
122,SDN,2005,7.43461870731057,23.08434239382517,Low income
123,SDN,2010,6.20598316027105,19.269453592978405,Low income
124,SDN,2015,6.64890845111242,20.64472776253504,Low income
125,SDN,2018,7.69137221099051,23.88155688768132,Low income
126,SYR,1990,20.3279926501171,63.118010618760586,Low income
127,SYR,1995,21.8398425286918,67.81227425473746,Low income
128,SYR,2000,24.1706463688431,75.04937356233046,Low income
129,SYR,2005,24.2620617420793,75.33321646792137,Low income
130,SYR,2010,22.7779800202876,70.72517240339259,Low income
131,SYR,2015,25.8145794339234,80.15375285074347,Low income
132,SYR,2018,29.9008635960913,92.84158344859156,Low income
133,TUN,1990,28.6998833239795,89.11256372328987,Lower middle income
134,TUN,1995,30.3086382796558,94.10771568556568,Lower middle income
135,TUN,2000,33.5437837294212,104.15277760417824,Lower middle income
136,TUN,2005,33.6782237719202,104.5702112473368,Lower middle income
137,TUN,2010,33.954324794071,105.42749939909456,Lower middle income
138,TUN,2015,34.3822310349312,106.75613971884069,Lower middle income
139,TUN,2018,32.2947544705737,100.27456673604192,Lower middle income
140,YEM,1990,5.66447853344794,17.588092556785185,Low income
141,YEM,1995,3.89630117145808,12.097937211353909,Low income
142,YEM,2000,5.96429713123493,18.51902330654184,Low income
143,YEM,2005,8.15711061060442,25.32766530371451,Low income
144,YEM,2010,9.59211273794379,29.783318209060702,Low income
145,YEM,2015,9.37283314286858,29.10245945194408,Low income
146,YEM,2018,6.84596896311013,21.25659671107769,Low income
147,EMR,1990,20.4632055538671,63.537843980646265,
148,EMR,1995,21.8398425286918,67.81227425473746,
149,EMR,2000,24.0243402650982,74.5950960363246,
150,EMR,2005,24.2620617420793,75.33321646792137,
151,EMR,2010,22.8252444996411,70.87192766649562,
152,EMR,2015,25.1143547944311,77.97956934961269,
153,EMR,2018,29.9008635960913,92.84158344859156,
