index,iso3,year,median,emissions,income_group
0,AFG,1990,50.904866951278,23.823477733198104,Low income
1,AFG,1995,62.0767951562515,29.051940133125704,Low income
2,AFG,2000,65.025859160194,30.4321020869708,Low income
3,AFG,2005,53.914887139855,25.232167181452137,Low income
4,AFG,2010,52.9439886969144,24.77778671015594,Low income
5,AFG,2015,43.5283193040237,20.37125343428309,Low income
6,AFG,2018,46.4780337104602,21.75171977649537,Low income
7,ARE,1990,21.5724838980254,10.095922464275889,High income
8,ARE,1995,26.3677483446768,12.340106225308745,High income
9,ARE,2000,19.9472788886578,9.33532651989185,High income
10,ARE,2005,36.9768106768186,17.305147396751106,High income
11,ARE,2010,65.9378057772006,30.85889310372988,High income
12,ARE,2015,66.573474119372,31.156385887866094,High income
13,ARE,2018,61.5788809864602,28.81891630166337,High income
14,BHR,1990,24.440148038182,11.437989281869177,High income
15,BHR,1995,28.2605087886528,13.22591811308951,High income
16,BHR,2000,28.2174899096281,13.205785277705951,High income
17,BHR,2005,34.8047939594443,16.28864357301993,High income
18,BHR,2010,34.7912837947015,16.2823208159203,High income
19,BHR,2015,33.441844064598,15.650783022231863,High income
20,BHR,2018,33.6249623528252,15.736482381122194,High income
21,DJI,1990,61.9858276627248,29.009367346155205,Lower middle income
22,DJI,1995,62.6324761948174,29.311998859174544,Lower middle income
23,DJI,2000,55.5156396778904,25.981319369252702,Lower middle income
24,DJI,2005,43.1259063604185,20.18292417667585,Lower middle income
25,DJI,2010,77.3858437236231,36.21657486265561,Lower middle income
26,DJI,2015,31.8740178142252,14.917040337057394,Lower middle income
27,DJI,2018,26.2666727547025,12.29280284920077,Lower middle income
28,EGY,1990,21.1561429212369,9.901074887138869,Lower middle income
29,EGY,1995,27.1350136162457,12.699186372402988,Lower middle income
30,EGY,2000,30.426192805553,14.239458232998803,Lower middle income
31,EGY,2005,45.4625343754513,21.27646608771121,Lower middle income
32,EGY,2010,40.3067793294561,18.863572726185453,Lower middle income
33,EGY,2015,29.4524727325504,13.783757238833587,Lower middle income
34,EGY,2018,30.2677560596289,14.165309835906326,Lower middle income
35,IRN,1990,9.47754959250398,4.435493209291862,Upper middle income
36,IRN,1995,10.068124920876,4.711882462969968,Upper middle income
37,IRN,2000,11.3214678854105,5.298446970372114,Upper middle income
38,IRN,2005,11.3185484653653,5.29708068179096,Upper middle income
39,IRN,2010,10.6640223577934,4.990762463447311,Upper middle income
40,IRN,2015,9.160021073053008,4.286889862188807,Upper middle income
41,IRN,2018,9.80696467142914,4.589659466228838,Upper middle income
43,IRQ,1995,54.6055501571631,25.555397473552333,Upper middle income
44,IRQ,2000,43.1590835638498,20.198451107881706,Upper middle income
45,IRQ,2005,39.0280611744815,18.265132629657344,Upper middle income
46,IRQ,2010,39.2147261064554,18.352491817821125,Upper middle income
47,IRQ,2015,36.5977115069373,17.12772898524666,Upper middle income
48,IRQ,2018,38.2932292429693,17.921231285709634,Upper middle income
49,JOR,1990,24.3187197284302,11.381160832905334,Lower middle income
50,JOR,1995,26.3972872196176,12.353930418781037,Lower middle income
51,JOR,2000,28.5858535376639,13.378179455626706,Lower middle income
52,JOR,2005,34.6533510037768,16.21776826976754,Lower middle income
53,JOR,2010,31.2799883167466,14.63903453223741,Lower middle income
54,JOR,2015,23.7081827247236,11.095429515170643,Lower middle income
55,JOR,2018,23.3620300618159,10.933430068929844,Lower middle income
56,KWT,1990,15.0846158844307,7.059600233913568,High income
57,KWT,1995,13.9781980773126,6.541796700182297,High income
58,KWT,2000,12.3778614999703,5.792839181986101,High income
59,KWT,2005,27.5135181052119,12.876326473239171,High income
60,KWT,2010,12.1990406784155,5.709151037498454,High income
61,KWT,2015,17.8786628060851,8.367214193247825,High income
62,KWT,2018,21.4972938561517,10.060733524678994,High income
63,LBN,1990,15.9790396758578,7.478190568301451,Lower middle income
64,LBN,1995,19.6710190859946,9.206036932245471,Lower middle income
65,LBN,2000,19.3886315707975,9.07387957513323,Lower middle income
66,LBN,2005,20.10013711795,9.4068641712006,Lower middle income
67,LBN,2010,19.4645028251168,9.109387322154662,Lower middle income
68,LBN,2015,18.0551004374341,8.449787004719159,Lower middle income
69,LBN,2018,18.1400024068365,8.489521126399483,Lower middle income
70,LBR,1990,57.7259525006723,27.01574577031464,Low income
71,LBR,1995,33.8270533486758,15.831060967180274,Low income
72,LBR,2000,40.7193379879803,19.05665017837478,Low income
73,LBR,2005,38.4984455803752,18.0172725316156,Low income
74,LBR,2010,36.2647939911575,16.97192358786171,Low income
75,LBR,2015,35.5376697068932,16.631629422826016,Low income
76,LBR,2018,34.3071582794312,16.0557500747738,Low income
77,MAR,1990,55.7037678196326,26.06936333958805,Lower middle income
78,MAR,1995,38.514420710818,18.024748892662824,Lower middle income
79,MAR,2000,39.3265565711048,18.404828475277046,Lower middle income
80,MAR,2005,37.6772837719213,17.63296880525917,Lower middle income
81,MAR,2010,34.1615027398183,15.987583282234963,Lower middle income
82,MAR,2015,39.2714950856725,18.37905970009473,Lower middle income
83,MAR,2018,38.0593299521901,17.811766417624966,Lower middle income
84,OMN,1990,16.1348364729657,7.551103469347947,High income
85,OMN,1995,16.1945618244344,7.579054933835299,High income
86,OMN,2000,21.9514332520666,10.273270761967169,High income
87,OMN,2005,42.052509302786,19.680574353703847,High income
88,OMN,2010,23.0084113896006,10.76793653033308,High income
89,OMN,2015,25.371836808129,11.874019626204372,High income
90,OMN,2018,19.7970080502177,9.264999767501884,High income
91,PAK,1990,17.8042089174465,8.332369773364961,Lower middle income
