Country,year,emissions,income_group
AFG,1990,1875.2637177077395,Low income
AFG,1995,1601.2056433713835,Low income
AFG,2000,1535.0294649257432,Low income
AFG,2005,1423.2866048260855,Low income
AFG,2010,1380.2669185877571,Low income
AFG,2015,1080.032647372964,Low income
AFG,2018,1045.8949131493994,Low income
ARE,1990,4431.173757662147,High income
ARE,1995,5160.176558873598,High income
ARE,2000,3738.531665462648,High income
ARE,2005,3288.079883488196,High income
ARE,2010,2678.2084047872568,High income
ARE,2015,2732.322657754935,High income
ARE,2018,2761.0302636393035,High income
BHR,1990,2475.747256825792,High income
BHR,1995,2757.345766224247,High income
BHR,2000,2805.837563538899,High income
BHR,2005,2886.028873692067,High income
BHR,2010,2969.36763727635,High income
BHR,2015,3026.49983854878,High income
BHR,2018,2941.448622087981,High income
DJI,1990,1291.001864431856,Lower middle income
DJI,1995,1580.595729891416,Lower middle income
DJI,2000,1941.132384462372,Lower middle income
DJI,2005,2218.654198210417,Lower middle income
DJI,2010,1756.9848814712286,Lower middle income
DJI,2015,2018.7834449568093,Lower middle income
DJI,2018,1883.1195540173487,Lower middle income
EGY,1990,1135.6285118660303,Lower middle income
EGY,1995,1294.989303323979,Lower middle income
EGY,2000,1454.3267210974104,Lower middle income
EGY,2005,1475.310668145101,Lower middle income
EGY,2010,1746.711279201455,Lower middle income
EGY,2015,1756.2465601448923,Lower middle income
EGY,2018,1490.5228677816322,Lower middle income
IRN,1990,2133.085358746827,Upper middle income
IRN,1995,2309.132415905789,Upper middle income
IRN,2000,2288.921244692775,Upper middle income
IRN,2005,2417.4630746895214,Upper middle income
IRN,2010,2184.90680236854,Upper middle income
IRN,2015,2007.807115303622,Upper middle income
IRN,2018,2000.0955489506816,Upper middle income
IRQ,1995,2248.2864642589893,Upper middle income
IRQ,2000,2561.378335568357,Upper middle income
IRQ,2005,2313.694234865067,Upper middle income
IRQ,2010,3506.4486933861435,Upper middle income
IRQ,2015,3371.4627933782804,Upper middle income
IRQ,2018,3250.953961085192,Upper middle income
JOR,1990,2476.813850632828,Lower middle income
JOR,1995,2587.6056328180166,Lower middle income
JOR,2000,2750.706758535064,Lower middle income
JOR,2005,2810.654368839759,Lower middle income
JOR,2010,2861.393221269059,Lower middle income
JOR,2015,2902.351343624277,Lower middle income
JOR,2018,2990.65189277239,Lower middle income
KWT,1990,1445.5339340327762,High income
KWT,1995,2845.630397691108,High income
KWT,2000,2650.790637271586,High income
KWT,2005,3085.914659369858,High income
KWT,2010,2804.319161566524,High income
KWT,2015,2907.5320909680213,High income
KWT,2018,2870.6271057341182,High income
LBN,1990,2502.1497070468563,Lower middle income
LBN,1995,2629.327953656981,Lower middle income
LBN,2000,3423.6306859892675,Lower middle income
LBN,2005,3401.527968137121,Lower middle income
LBN,2010,3443.820929191881,Lower middle income
LBN,2015,2689.1644603980308,Lower middle income
LBN,2018,2562.581091262893,Lower middle income
LBR,1990,2031.4978345118984,Low income
LBR,1995,1900.4880615321244,Low income
LBR,2000,1959.2987865053487,Low income
LBR,2005,1805.534240557973,Low income
LBR,2010,2004.1999133412453,Low income
LBR,2015,2181.967636402469,Low income
LBR,2018,2128.9263747396462,Low income
MAR,1990,1760.592982198282,Lower middle income
MAR,1995,1404.8610090774316,Lower middle income
MAR,2000,1690.866357519133,Lower middle income
MAR,2005,1720.8703275743196,Lower middle income
MAR,2010,2155.542617810728,Lower middle income
MAR,2015,2549.945105557934,Lower middle income
