Food,mean_co2,median_co2,no
['MILK' 'SKIMMED MILK'],1164.95,1164.95,2.0
['CHEESE' 'MOZZARELLA'],9011.5615,9011.5615,2.0
['YOGURT'],3618.89,3618.89,1.0
"['APPLES' 'BANANAS' 'BLUEBERRIES' 'CHERRIES' 'CHINESE ORANGE' 'CITRUS'
 'DRIED FRUIT' 'GRAPES' 'KIWIS' 'MANDERIN ORANGES' 'MELONS' 'NECTARINE'
 'ORANGES' 'PEACH' 'PEARS' 'POMEGRANATE' 'RAISINS' 'RASPBERRIES'
 'STRAWBERRIES' 'TANGERINES']",925.6577500000001,390.0,20.0
['LEMON JUICE' 'ORANGE JUICE' 'PEAR JUICE'],647.0966666666667,650.0,3.0
"['BROCCOLI' 'CABBAGE' 'CARROTS' 'CAULIFLOWER' 'CUCUMBERS' 'EGGPLANT'
 'GREEN BEANS' 'LETTUCE' 'MUSHROOMS' 'ONIONS' 'PEPPERS' 'SPINACH'
 'TOMATOES' 'VEGETABLES' 'ZUCCHINI']",832.8677333333333,510.09,15.0
['POTATOES'],151.42,151.42,1.0
['BEETROOT' 'FAVA BEANS'],468.0,468.0,2.0
['BEANS' 'DRY LEGUMES' 'LEGUMES' 'PEAS' 'SOYBEAN' 'SOYBEAN OIL'],1077.6943333333334,766.818,6.0
['ALMONDS' 'CASHEW NUT' 'PEANUT' 'PISTACHIO' 'WALNUTS'],2042.73,1853.33,5.0
['EGGS'],3104.98,3104.98,1.0
['HAMBURGER' 'SAUSAGE'],13700.0,13700.0,2.0
['BEEF MEAT' 'COW MEAT' 'LAMB MEAT' 'MINCEAD MEAT' 'VEAL MEAT'],15301.901600000001,17182.559,5.0
"['CODFISH' 'DIAMOND FISH' 'FISH' 'FISH FILLET' 'HERRING' 'SALMON'
 'SARDINE' 'SHRIMPS' 'SOLE' 'TROUT' 'TUNA' 'TURBOT' 'WHITING']",5050.516538461538,2850.83,13.0
"['BISCUITS' 'BREAD' 'CAKES' 'CORNETTI alla crema' ""CORNETTI all'albicocca""
 'CRACKER GRAN PAVESI' 'HOTDOG BAGUETTE' 'MOONCAKE' 'PAN GOCCIOLI'
 'PARADISE CAKE' 'PASTA' 'PLUMCAKE allo YOGURT'
 'PLUMCAKE con GOCCE DI CIOCCOLATO' 'PLUMCAKE INTEGRALE' 'RICE' 'ROLLS'
 'SACCOTTINI al cioccolato' 'SACCOTTINI alla crema'
 ""SACCOTTINI all'albicocca"" 'SFOGLIA DI GRANO non salati'
 'SFOGLIA DI GRANO salati' 'VANILLA DANISH PASTRY']",1958.4280909090912,1969.5,22.0
['POULTRY MEAT'],2860.012,2860.012,1.0
['BUTTER' 'CREAM'],7162.7325,7162.7325,2.0
['CANE SUGAR' 'HONEY' 'SUGAR'],739.0533333333333,355.66,3.0
['CHOCOLATE'],3600.0,3600.0,1.0
['OLIVE OIL'],3038.44,3038.44,1.0
['SOYBEAN OIL'],1585.45,1585.45,1.0
['SUNFLOWER OIL'],815.33,815.33,1.0
['MARGARINE'],1360.0,1360.0,1.0
['WHOLE WHEAT PASTA' 'FLOUR'],679.25,679.25,2.0
