Food,mean_co2,median_co2,no,gdd,gdd_2,name
['MILK' 'SKIMMED MILK'],1164.95,1164.95,2,v57,v57,Milk
['CHEESE' 'MOZZARELLA'],9011.5615,9011.5615,2,v13,v13,Cheese
['YOGURT'],3618.89,3618.89,1,v14,v14,Yoghurt
"['APPLES' 'BANANAS' 'BLUEBERRIES' 'CHERRIES' 'CHINESE ORANGE' 'CITRUS'
 'DRIED FRUIT' 'GRAPES' 'KIWIS' 'MANDERIN ORANGES' 'MELONS' 'NECTARINE'
 'ORANGES' 'PEACH' 'PEARS' 'POMEGRANATE' 'RAISINS' 'RASPBERRIES'
 'STRAWBERRIES' 'TANGERINES']",925.65775,390,20,v01,v01,Fruits
['LEMON JUICE' 'ORANGE JUICE' 'PEAR JUICE'],647.0966667,650,3,v16,v16,Fruit_juices
"['BROCCOLI' 'CABBAGE' 'CARROTS' 'CAULIFLOWER' 'CUCUMBERS' 'EGGPLANT'
 'GREEN BEANS' 'LETTUCE' 'MUSHROOMS' 'ONIONS' 'PEPPERS' 'SPINACH'
 'TOMATOES' 'VEGETABLES' 'ZUCCHINI']",832.8677333,510.09,15,v02,v02,Non_starchy_vegetables
['POTATOES'],151.42,151.42,1,v03,v03,Potatoes
['BEETROOT' 'FAVA BEANS'],468,468,2,v04,v04,Other_starchy_vegetables
['BEANS' 'DRY LEGUMES' 'LEGUMES' 'PEAS' 'SOYBEAN' 'SOYBEAN OIL'],1077.694333,766.818,6,v05,v05,Beans_and_legumes
['ALMONDS' 'CASHEW NUT' 'PEANUT' 'PISTACHIO' 'WALNUTS'],2042.73,1853.33,5,v06,v06,Nuts
['EGGS'],3104.98,3104.98,1,v12,v12,Eggs
['HAMBURGER' 'SAUSAGE'],13700,13700,2,v09,v09,Total_processed_meats
['BEEF MEAT' 'COW MEAT' 'LAMB MEAT' 'MINCEAD MEAT' 'VEAL MEAT'],15301.9016,17182.559,5,v10,v10,Unprocessed_red_meats
"['CODFISH' 'DIAMOND FISH' 'FISH' 'FISH FILLET' 'HERRING' 'SALMON'
 'SARDINE' 'SHRIMPS' 'SOLE' 'TROUT' 'TUNA' 'TURBOT' 'WHITING']",5050.516538,2850.83,13,v11,v11,seafoods
"['BISCUITS' 'BREAD' 'CAKES' 'CORNETTI alla crema' ""CORNETTI all'albicocca""
 'CRACKER GRAN PAVESI' 'HOTDOG BAGUETTE' 'MOONCAKE' 'PAN GOCCIOLI'
 'PARADISE CAKE' 'PASTA' 'PLUMCAKE allo YOGURT'
 'PLUMCAKE con GOCCE DI CIOCCOLATO' 'PLUMCAKE INTEGRALE' 'RICE' 'ROLLS'
 'SACCOTTINI al cioccolato' 'SACCOTTINI alla crema'
 ""SACCOTTINI all'albicocca"" 'SFOGLIA DI GRANO non salati'
 'SFOGLIA DI GRANO salati' 'VANILLA DANISH PASTRY']",1958.428091,1969.5,22,v07,v07,refined_grains
['POULTRY MEAT'],2860.012,2860.012,1,,,
['BUTTER' 'CREAM'],7162.7325,7162.7325,2,v27,,saturated_fat
['CANE SUGAR' 'HONEY' 'SUGAR'],739.0533333,355.66,3,v35,,Added_sugars
['CHOCOLATE'],3600,3600,1,,,
['OLIVE OIL'],3038.44,3038.44,1,v28,,Monounsaturated fatty acids
['SOYBEAN OIL'],1585.45,1585.45,1,v31,,Plant omega-3 fat
['SUNFLOWER OIL'],815.33,815.33,1,v29,,Total omega-6 fat
['MARGARINE'],1360,1360,1,,,
['WHOLE WHEAT PASTA' 'FLOUR'],679.25,679.25,2,v08,v08,whole_grains
