iso3,1990,1995,2000,2005,2010,2015,2018
AFG,3.0,3.0,2.0,2.0,3.0,3.0,3.0
ARE,1.0,1.0,1.0,2.0,2.0,2.0,3.0
BHR,1.0,1.0,1.0,2.0,2.0,2.0,2.0
DJI,2.0,2.0,2.0,1.0,3.0,3.0,3.0
EGY,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRQ,2.0,2.0,1.0,1.0,1.0,1.0,2.0
JOR,1.0,2.0,1.0,1.0,1.0,1.0,1.0
KWT,2.0,1.0,2.0,1.0,2.0,2.0,2.0
LBN,4.0,4.0,4.0,3.0,3.0,3.0,3.0
LBR,3.0,3.0,3.0,3.0,2.0,3.0,2.0
MAR,3.0,1.0,1.0,1.0,2.0,1.0,2.0
OMN,2.0,2.0,3.0,1.0,1.0,2.0,3.0
PAK,1.0,1.0,1.0,1.0,1.0,2.0,1.0
PSE,2.0,2.0,2.0,1.0,2.0,2.0,2.0
QAT,1.0,1.0,1.0,2.0,2.0,2.0,2.0
SAU,2.0,1.0,1.0,1.0,2.0,2.0,2.0
SDN,3.0,2.0,2.0,2.0,2.0,2.0,3.0
SYR,2.0,2.0,2.0,2.0,3.0,3.0,3.0
TUN,2.0,1.0,1.0,1.0,1.0,1.0,1.0
YEM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
