iso3,female,year,median,score
AFG,1,1990,0.0026328749728232,1
AFG,1,1995,0.0001288550110833,1
AFG,1,2000,0.0003086768147116,1
AFG,1,2005,1.97162584945852,1
AFG,1,2010,13.0843211183642,0
AFG,1,2015,9.96319702706879,0
AFG,1,2018,13.9369421859354,0
AFG,1,2020,13.1087097899511,0
ARE,1,1990,12.7271165069358,0
ARE,1,1995,14.986856811302,0
ARE,1,2000,13.3421572078397,0
ARE,1,2005,15.7983879758698,0
ARE,1,2010,12.9880547793835,0
ARE,1,2015,11.2614398332894,0
ARE,1,2018,8.51783516057125,0
ARE,1,2020,7.91316452114291,0
BHR,1,1990,9.79655148626774,0
BHR,1,1995,9.42396586638603,0
BHR,1,2000,11.4545515480975,0
BHR,1,2005,12.6212503169399,0
BHR,1,2010,13.7762668156034,0
BHR,1,2015,12.4448684294665,0
BHR,1,2018,11.3031959988976,0
BHR,1,2020,11.302071487956,0
DJI,1,1990,13.6495109376623,0
DJI,1,1995,12.4087472286163,0
DJI,1,2000,8.63027850624433,0
DJI,1,2005,8.68580465321402,0
DJI,1,2010,13.3967424186037,0
DJI,1,2015,18.3065463180408,0
DJI,1,2018,21.8704426133497,0
DJI,1,2020,21.1837952679136,0
EGY,1,1990,16.5032459231151,0
EGY,1,1995,12.8366685417427,0
EGY,1,2000,13.7761390777436,0
EGY,1,2005,9.87638095377283,0
EGY,1,2010,12.920414767798,0
EGY,1,2015,11.7001480010776,0
EGY,1,2018,10.4579781288182,0
EGY,1,2020,10.6078309609784,0
IRN,1,1990,8.83064996057723,0
IRN,1,1995,9.05083236570771,0
IRN,1,2000,9.00501055466788,0
IRN,1,2005,9.89013925878019,0
IRN,1,2010,12.2046833798754,0
IRN,1,2015,11.2189590439677,0
IRN,1,2018,11.8946863492286,0
IRN,1,2020,11.8528063440663,0
IRQ,1,1990,13.1086934822624,0
IRQ,1,1995,0.757321926712636,1
IRQ,1,2000,2.17920135837618,1
IRQ,1,2005,8.76011700638001,0
IRQ,1,2010,4.11007338720352,0
IRQ,1,2015,8.58971770062216,0
IRQ,1,2018,4.17667437544848,0
IRQ,1,2020,4.20678877686371,0
JOR,1,1990,25.2215067200431,0
JOR,1,1995,16.0065615835062,0
JOR,1,2000,23.9806439231169,0
JOR,1,2005,29.7779236373332,0
JOR,1,2010,28.4359392781317,0
JOR,1,2015,28.7884070886323,0
JOR,1,2018,25.8148941758977,0
JOR,1,2020,25.8553519622156,0
KWT,1,1990,5.73805734063432,0
KWT,1,1995,16.4861145906916,0
KWT,1,2000,15.3451966539389,0
KWT,1,2005,15.9041647631469,0
KWT,1,2010,10.785167041062,0
KWT,1,2015,15.6501106463614,0
KWT,1,2018,11.7342126062742,0
KWT,1,2020,12.5347317409621,0
LBN,1,1990,12.8812783457237,0
LBN,1,1995,15.3357879346948,0
LBN,1,2000,15.6922204035867,0
LBN,1,2005,7.76990805334263,0
LBN,1,2010,20.5888170462702,0
LBN,1,2015,11.0038164887362,0
LBN,1,2018,11.5423853920222,0
LBN,1,2020,10.9942267413731,0
LBR,1,1990,0.0341084465297926,1
LBR,1,1995,0.310704338349464,1
LBR,1,2000,0.0547151516880237,1
LBR,1,2005,0.276889597736393,1
LBR,1,2010,3.80683132101951,0
LBR,1,2015,0.9430307321601,1
LBR,1,2018,6.21594091835691,0
LBR,1,2020,4.38376253695301,0
MAR,1,1990,8.49551588929642,0
MAR,1,1995,11.7247362336849,0
MAR,1,2000,14.4143598096612,0
MAR,1,2005,13.9758178316371,0
MAR,1,2010,14.1460693999412,0
MAR,1,2015,14.1853303202379,0
MAR,1,2018,13.3299560218863,0
MAR,1,2020,13.4051148308149,0
OMN,1,1990,4.7016299067909,0
OMN,1,1995,4.31583358559884,0
OMN,1,2000,6.62377766461343,0
OMN,1,2005,13.6143522689015,0
OMN,1,2010,14.2118347906114,0
OMN,1,2015,13.1912631019014,0
OMN,1,2018,11.8944549652494,0
OMN,1,2020,12.0310026538324,0
PAK,1,1990,18.0426486169734,0
PAK,1,1995,19.4173737639331,0
PAK,1,2000,15.9449768621125,0
PAK,1,2005,18.2083836785626,0
PAK,1,2010,17.4178309770241,0
PAK,1,2015,13.7635201138442,0
PAK,1,2018,16.8614225161078,0
PAK,1,2020,16.3900664226877,0
PSE,1,1990,10.5007362918262,0
PSE,1,1995,10.2998588222664,0
PSE,1,2000,12.5257859891885,0
PSE,1,2005,13.9305921921369,0
PSE,1,2010,15.5794883913466,0
PSE,1,2015,14.6469212804189,0
PSE,1,2018,13.4114758482262,0
PSE,1,2020,13.3028760789391,0
QAT,1,1990,10.0738837744793,0
