iso3,female,year,median,score
AFG,0,1990,0.0010886368842135,1
AFG,0,1995,5.12150402082425e-05,1
AFG,0,2000,0.0001231239638708,1
AFG,0,2005,1.05321025119042,1
AFG,0,2010,8.48626194766442,0
AFG,0,2015,6.10123345544815,0
AFG,0,2018,9.36614800602085,0
AFG,0,2020,8.48705774454273,0
ARE,0,1990,10.7766025552825,0
ARE,0,1995,12.7034418155623,0
ARE,0,2000,11.3209222198187,0
ARE,0,2005,13.6092150042594,0
ARE,0,2010,11.0046905282921,0
ARE,0,2015,9.67428014853543,0
ARE,0,2018,7.23554160762979,0
ARE,0,2020,6.7603208049383,0
BHR,0,1990,8.89411328424948,0
BHR,0,1995,8.50641627058519,0
BHR,0,2000,10.4185057920968,0
BHR,0,2005,11.5263356096068,0
BHR,0,2010,12.4851641216958,0
BHR,0,2015,11.2237343652422,0
BHR,0,2018,10.1658583932217,0
BHR,0,2020,9.9749334949348,0
DJI,0,1990,12.7774772663634,0
DJI,0,1995,11.5746205733319,0
DJI,0,2000,8.02276270171382,0
DJI,0,2005,8.0062978254381,0
DJI,0,2010,12.8084284392853,0
DJI,0,2015,17.6387027913235,0
DJI,0,2018,21.1685788428597,0
DJI,0,2020,20.4346536909601,0
EGY,0,1990,16.3583606429163,0
EGY,0,1995,12.7663247073639,0
EGY,0,2000,13.5897005906336,0
EGY,0,2005,9.76345520709195,0
EGY,0,2010,12.717169310049,0
EGY,0,2015,11.5122369274393,0
EGY,0,2018,10.1643603547375,0
EGY,0,2020,10.4693162612894,0
IRN,0,1990,8.51756246872292,0
IRN,0,1995,8.75329597925509,0
IRN,0,2000,8.74021456684061,0
IRN,0,2005,9.55349497619178,0
IRN,0,2010,11.9390374537791,0
IRN,0,2015,10.8212069128548,0
IRN,0,2018,11.5281999650853,0
IRN,0,2020,11.5142278155035,0
IRQ,0,1990,12.8917131439155,0
IRQ,0,1995,0.723020071133144,1
IRQ,0,2000,2.10384982226734,1
IRQ,0,2005,8.58655596224852,0
IRQ,0,2010,3.98731485310149,0
IRQ,0,2015,8.44072368321522,0
IRQ,0,2018,4.06729404638692,0
IRQ,0,2020,4.07415433133602,0
JOR,0,1990,24.6621274536918,0
JOR,0,1995,15.4182227322215,0
JOR,0,2000,23.3319799589264,0
JOR,0,2005,29.4438159096806,0
JOR,0,2010,28.002128318656,0
JOR,0,2015,28.3872010972232,0
JOR,0,2018,25.3220378771365,0
JOR,0,2020,25.392479970382,0
KWT,0,1990,5.08893322815417,0
KWT,0,1995,15.1890068775207,0
KWT,0,2000,13.953115459055,0
KWT,0,2005,14.6108719546056,0
KWT,0,2010,9.77824631849531,0
KWT,0,2015,14.5302655613491,0
KWT,0,2018,10.6639622183474,0
KWT,0,2020,11.3525851554334,0
LBN,0,1990,13.3075778729343,0
