iso3,female,year,v57_type,v57_type_desc,median,score
AFG,1,1990,1,1: Foods & Beverages,83.50228579588202,0
AFG,1,1995,1,1: Foods & Beverages,87.40509883136862,0
AFG,1,2000,1,1: Foods & Beverages,95.90503171210669,0
AFG,1,2005,1,1: Foods & Beverages,88.7728920669642,0
AFG,1,2010,1,1: Foods & Beverages,88.24653607287576,0
AFG,1,2015,1,1: Foods & Beverages,87.85895845848293,0
AFG,1,2018,1,1: Foods & Beverages,82.26746915564036,0
ARE,1,1990,1,1: Foods & Beverages,302.72004154125744,0
ARE,1,1995,1,1: Foods & Beverages,280.2233594073913,0
ARE,1,2000,1,1: Foods & Beverages,281.7389413026307,0
ARE,1,2005,1,1: Foods & Beverages,215.20543062404778,0
ARE,1,2010,1,1: Foods & Beverages,230.0697601990075,0
ARE,1,2015,1,1: Foods & Beverages,225.8838708312752,0
ARE,1,2018,1,1: Foods & Beverages,228.64391498925042,0
BHR,1,1990,1,1: Foods & Beverages,200.2180218951071,0
BHR,1,1995,1,1: Foods & Beverages,206.09900897536508,0
BHR,1,2000,1,1: Foods & Beverages,217.4736081581365,0
BHR,1,2005,1,1: Foods & Beverages,206.0289382298912,0
BHR,1,2010,1,1: Foods & Beverages,214.76748460774212,0
BHR,1,2015,1,1: Foods & Beverages,223.5886536761729,0
BHR,1,2018,1,1: Foods & Beverages,223.4142227521785,0
DJI,1,1990,1,1: Foods & Beverages,62.72956834502914,0
DJI,1,1995,1,1: Foods & Beverages,73.57807081621152,0
DJI,1,2000,1,1: Foods & Beverages,95.19707654097586,0
DJI,1,2005,1,1: Foods & Beverages,81.1025490223884,0
DJI,1,2010,1,1: Foods & Beverages,60.39817750854226,0
DJI,1,2015,1,1: Foods & Beverages,85.29669462775253,0
DJI,1,2018,1,1: Foods & Beverages,62.94507400412713,0
EGY,1,1990,1,1: Foods & Beverages,71.69387923268444,0
EGY,1,1995,1,1: Foods & Beverages,75.00129395809816,0
EGY,1,2000,1,1: Foods & Beverages,81.578182540115,0
EGY,1,2005,1,1: Foods & Beverages,85.47105686006866,0
EGY,1,2010,1,1: Foods & Beverages,88.2165420016208,0
EGY,1,2015,1,1: Foods & Beverages,78.4865578290018,0
EGY,1,2018,1,1: Foods & Beverages,77.54534624083908,0
IRN,1,1990,1,1: Foods & Beverages,181.0348524815185,0
IRN,1,1995,1,1: Foods & Beverages,159.45850050374239,0
IRN,1,2000,1,1: Foods & Beverages,194.6137156384949,0
IRN,1,2005,1,1: Foods & Beverages,223.6371906060682,0
IRN,1,2010,1,1: Foods & Beverages,167.73070138438823,0
IRN,1,2015,1,1: Foods & Beverages,124.81735685144339,0
IRN,1,2018,1,1: Foods & Beverages,126.1947353630885,0
IRQ,1,1990,1,1: Foods & Beverages,278.6685082539547,0
IRQ,1,1995,1,1: Foods & Beverages,136.1832897883734,0
IRQ,1,2000,1,1: Foods & Beverages,247.0704495795994,0
IRQ,1,2005,1,1: Foods & Beverages,176.9571287431903,0
IRQ,1,2010,1,1: Foods & Beverages,200.0265085438277,0
IRQ,1,2015,1,1: Foods & Beverages,166.0299433792481,0
IRQ,1,2018,1,1: Foods & Beverages,164.4663539563849,0
JOR,1,1990,1,1: Foods & Beverages,161.1747132212434,0
JOR,1,1995,1,1: Foods & Beverages,166.9145266513625,0
JOR,1,2000,1,1: Foods & Beverages,172.20055786735853,0
JOR,1,2005,1,1: Foods & Beverages,176.26714085769532,0
JOR,1,2010,1,1: Foods & Beverages,178.7295743537369,0
JOR,1,2015,1,1: Foods & Beverages,169.7722813938998,0
JOR,1,2018,1,1: Foods & Beverages,170.44160010682168,0
KWT,1,1990,1,1: Foods & Beverages,184.79065048289328,0
KWT,1,1995,1,1: Foods & Beverages,278.3257916745731,0
KWT,1,2000,1,1: Foods & Beverages,263.3928278665809,0
KWT,1,2005,1,1: Foods & Beverages,212.8171710192123,0
KWT,1,2010,1,1: Foods & Beverages,224.7475718923539,0
KWT,1,2015,1,1: Foods & Beverages,352.3188653131669,0
KWT,1,2018,1,1: Foods & Beverages,343.9174567227182,0
LBN,1,1990,1,1: Foods & Beverages,164.30406436841187,0
LBN,1,1995,1,1: Foods & Beverages,186.5326702916505,0
LBN,1,2000,1,1: Foods & Beverages,195.4312591015574,0
LBN,1,2005,1,1: Foods & Beverages,192.5505954909606,0
LBN,1,2010,1,1: Foods & Beverages,177.8898592018146,0
LBN,1,2015,1,1: Foods & Beverages,185.5599448963348,0
LBN,1,2018,1,1: Foods & Beverages,182.8993810009684,0
LBR,1,1990,1,1: Foods & Beverages,35.84377787572026,0
LBR,1,1995,1,1: Foods & Beverages,47.76594505698696,0
LBR,1,2000,1,1: Foods & Beverages,44.510189686160146,0
LBR,1,2005,1,1: Foods & Beverages,55.35317375154215,0
LBR,1,2010,1,1: Foods & Beverages,44.581743897445314,0
LBR,1,2015,1,1: Foods & Beverages,43.48214610115279,0
LBR,1,2018,1,1: Foods & Beverages,40.7643706775254,0
MAR,1,1990,1,1: Foods & Beverages,153.3012062986196,0
MAR,1,1995,1,1: Foods & Beverages,152.28690806868545,0
MAR,1,2000,1,1: Foods & Beverages,164.71794032497823,0
MAR,1,2005,1,1: Foods & Beverages,171.70749633449213,0
MAR,1,2010,1,1: Foods & Beverages,201.13873112984385,0
MAR,1,2015,1,1: Foods & Beverages,195.8975335737577,0
MAR,1,2018,1,1: Foods & Beverages,198.83280794666769,0
OMN,1,1990,1,1: Foods & Beverages,168.36390227994679,0
OMN,1,1995,1,1: Foods & Beverages,192.9625312751138,0
OMN,1,2000,1,1: Foods & Beverages,215.56101946281763,0
OMN,1,2005,1,1: Foods & Beverages,214.1858569219854,0
OMN,1,2010,1,1: Foods & Beverages,260.2063731290425,0
OMN,1,2015,1,1: Foods & Beverages,255.89632184526573,0
OMN,1,2018,1,1: Foods & Beverages,232.37512108401313,0
PAK,1,1990,1,1: Foods & Beverages,73.23897495677582,0
PAK,1,1995,1,1: Foods & Beverages,76.69390112770805,0
PAK,1,2000,1,1: Foods & Beverages,81.16526143158976,0
PAK,1,2005,1,1: Foods & Beverages,87.70413048077398,0
PAK,1,2010,1,1: Foods & Beverages,88.85454369998038,0
PAK,1,2015,1,1: Foods & Beverages,78.74226412556418,0
PAK,1,2018,1,1: Foods & Beverages,78.75447554381911,0
PSE,1,1990,1,1: Foods & Beverages,189.53216006751381,0
PSE,1,1995,1,1: Foods & Beverages,195.4700213336247,0
PSE,1,2000,1,1: Foods & Beverages,210.6015637557842,0
PSE,1,2005,1,1: Foods & Beverages,205.2115088102143,0
PSE,1,2010,1,1: Foods & Beverages,220.2804959767123,0
PSE,1,2015,1,1: Foods & Beverages,223.32175494983508,0
PSE,1,2018,1,1: Foods & Beverages,222.1340530188254,0
QAT,1,1990,1,1: Foods & Beverages,195.1530637656806,0
QAT,1,1995,1,1: Foods & Beverages,200.14819008848892,0
QAT,1,2000,1,1: Foods & Beverages,213.05022861434293,0
QAT,1,2005,1,1: Foods & Beverages,206.77577653845572,0
QAT,1,2010,1,1: Foods & Beverages,211.4600356301108,0
QAT,1,2015,1,1: Foods & Beverages,214.4152102222117,0
QAT,1,2018,1,1: Foods & Beverages,212.86905227899177,0
SAU,1,1990,1,1: Foods & Beverages,209.0255684943299,0
SAU,1,1995,1,1: Foods & Beverages,169.1061617824248,0
SAU,1,2000,1,1: Foods & Beverages,195.99326430664001,0
SAU,1,2005,1,1: Foods & Beverages,212.2595804257517,0
SAU,1,2010,1,1: Foods & Beverages,205.7642379705097,0
SAU,1,2015,1,1: Foods & Beverages,176.36633477824853,0
SAU,1,2018,1,1: Foods & Beverages,178.91518016597797,0
SDN,1,1990,1,1: Foods & Beverages,85.74764472775833,0
SDN,1,1995,1,1: Foods & Beverages,89.09911575560898,0
SDN,1,2000,1,1: Foods & Beverages,92.04667368658764,0
SDN,1,2005,1,1: Foods & Beverages,103.66079807849317,0
SDN,1,2010,1,1: Foods & Beverages,104.00274370093076,0
SDN,1,2015,1,1: Foods & Beverages,96.77611058877919,0
SDN,1,2018,1,1: Foods & Beverages,94.8412267643723,0
SYR,1,1990,1,1: Foods & Beverages,182.14747283344678,0
SYR,1,1995,1,1: Foods & Beverages,186.1959791820119,0
SYR,1,2000,1,1: Foods & Beverages,196.18950052700822,0
SYR,1,2005,1,1: Foods & Beverages,194.5773296525883,0
SYR,1,2010,1,1: Foods & Beverages,206.8465879193182,0
SYR,1,2015,1,1: Foods & Beverages,206.89948851196007,0
SYR,1,2018,1,1: Foods & Beverages,206.1504839830277,0
TUN,1,1990,1,1: Foods & Beverages,124.67158664727225,0
TUN,1,1995,1,1: Foods & Beverages,145.4542819131715,0
TUN,1,2000,1,1: Foods & Beverages,187.634470869373,0
TUN,1,2005,1,1: Foods & Beverages,174.36238517747432,0
TUN,1,2010,1,1: Foods & Beverages,214.33670811166317,0
TUN,1,2015,1,1: Foods & Beverages,241.99949256413194,0
TUN,1,2018,1,1: Foods & Beverages,237.65008418378844,0
YEM,1,1990,1,1: Foods & Beverages,108.68197912563126,0
YEM,1,1995,1,1: Foods & Beverages,68.47402993210135,0
YEM,1,2000,1,1: Foods & Beverages,92.60457631062322,0
YEM,1,2005,1,1: Foods & Beverages,106.26324086400776,0
YEM,1,2010,1,1: Foods & Beverages,93.303781722889,0
YEM,1,2015,1,1: Foods & Beverages,86.60798497873856,0
YEM,1,2018,1,1: Foods & Beverages,129.2923148666827,0
