iso3,female,year,median,score
AFG,1,1990,78.1598157393825,0
AFG,1,1995,61.4286787945584,0
AFG,1,2000,54.7597523556196,0
AFG,1,2005,50.1298410276121,0
AFG,1,2010,62.1349632611632,0
AFG,1,2015,84.7408577352552,0
AFG,1,2018,67.0453246556686,0
ARE,1,1990,127.42215656855,0
ARE,1,1995,126.3349319881,0
ARE,1,2000,120.128216059424,0
ARE,1,2005,89.7191787166591,0
ARE,1,2010,96.1313495689441,0
ARE,1,2015,129.636749836656,0
ARE,1,2018,116.159582794822,0
BHR,1,1990,103.326398733774,0
BHR,1,1995,113.169326795736,0
BHR,1,2000,112.167728150133,0
BHR,1,2005,111.173856871238,0
BHR,1,2010,115.828580430612,0
BHR,1,2015,130.641322655105,0
BHR,1,2018,126.843447764672,0
DJI,1,1990,34.0221742908757,0
DJI,1,1995,35.1107577843652,0
DJI,1,2000,40.5993752827702,0
DJI,1,2005,81.7858000849727,0
DJI,1,2010,94.17030331337692,0
DJI,1,2015,217.499853859603,0
DJI,1,2018,146.53189770192,0
EGY,1,1990,90.7174809244078,0
EGY,1,1995,93.72951116008612,0
EGY,1,2000,96.82284963429352,0
EGY,1,2005,99.494951842383,0
EGY,1,2010,100.838375378569,0
EGY,1,2015,94.6277387109329,0
EGY,1,2018,94.3573739307985,0
IRN,1,1990,157.701239203152,0
IRN,1,1995,168.990255489671,0
IRN,1,2000,180.192709488381,0
IRN,1,2005,188.417889863463,0
IRN,1,2010,193.232465512186,0
IRN,1,2015,181.93601956914,0
IRN,1,2018,181.79166774063,0
IRQ,1,1990,108.163217179939,0
IRQ,1,1995,108.768176063302,0
IRQ,1,2000,112.10090096815,0
IRQ,1,2005,114.854205838261,0
IRQ,1,2010,116.451861235718,0
IRQ,1,2015,112.271195995065,0
IRQ,1,2018,110.783592677436,0
JOR,1,1990,162.356422027947,0
JOR,1,1995,171.593712147874,0
JOR,1,2000,173.524949357856,0
JOR,1,2005,177.322126374477,0
JOR,1,2010,180.932454242325,0
JOR,1,2015,177.638887962678,0
JOR,1,2018,179.624771982324,0
KWT,1,1990,54.0885384696536,0
KWT,1,1995,56.4017547907533,0
KWT,1,2000,56.5968839169596,0
KWT,1,2005,56.5067219768415,0
KWT,1,2010,57.855057201095,0
KWT,1,2015,58.9221249450727,0
KWT,1,2018,58.7195047206308,0
LBN,1,1990,479.78003474749,1
LBN,1,1995,466.436569520014,1
LBN,1,2000,377.366113538844,1
LBN,1,2005,307.850522364598,0
LBN,1,2010,182.37590680512,0
LBN,1,2015,250.251722852416,0
LBN,1,2018,228.472658352381,0
LBR,1,1990,55.0734483675735,0
LBR,1,1995,67.8582200007327,0
LBR,1,2000,62.1868010196564,0
LBR,1,2005,58.6040224047584,0
LBR,1,2010,55.2796805488977,0
LBR,1,2015,50.5671163941054,0
LBR,1,2018,48.871927296153,0
MAR,1,1990,61.0044833152112,0
MAR,1,1995,60.1737827654034,0
MAR,1,2000,82.495060891582,0
MAR,1,2005,83.7675070367248,0
MAR,1,2010,99.9268824998906,0
MAR,1,2015,98.2565982968016,0
MAR,1,2018,107.877551196782,0
OMN,1,1990,89.8602519215092,0
OMN,1,1995,97.3214098364958,0
OMN,1,2000,109.689838999195,0
OMN,1,2005,122.684093136831,0
OMN,1,2010,137.681535445758,0
OMN,1,2015,127.046336285853,0
OMN,1,2018,125.621769027126,0
PAK,1,1990,33.0046152028111,0
PAK,1,1995,34.126895973827,0
PAK,1,2000,35.3611031236351,0
PAK,1,2005,38.2904762568727,0
PAK,1,2010,38.5377330871361,0
PAK,1,2015,34.4434787638486,0
PAK,1,2018,34.446149723505,0
PSE,1,1990,89.8119955448741,0
PSE,1,1995,96.9656225079848,0
PSE,1,2000,97.98392859464488,0
PSE,1,2005,99.20503762031828,0
PSE,1,2010,104.711107591271,0
PSE,1,2015,116.871417925651,0
PSE,1,2018,113.371031585123,0
QAT,1,1990,106.423805064847,0
QAT,1,1995,117.991176456474,0
QAT,1,2000,117.789817123193,0
QAT,1,2005,118.615869992644,0
QAT,1,2010,121.600542928854,0
QAT,1,2015,131.509742883524,0
QAT,1,2018,128.80165631312,0
SAU,1,1990,87.2874734071085,0
SAU,1,1995,92.6222052849795,0
SAU,1,2000,94.0682413254252,0
SAU,1,2005,107.548796851113,0
SAU,1,2010,85.7234292097392,0
SAU,1,2015,122.984182157975,0
SAU,1,2018,155.081419560052,0
SDN,1,1990,78.6910084570219,0
SDN,1,1995,80.6689641718126,0
SDN,1,2000,73.5398546793054,0
SDN,1,2005,78.9879887785761,0
SDN,1,2010,79.1744506891575,0
SDN,1,2015,96.3827730293922,0
SDN,1,2018,83.6446232310758,0
SYR,1,1990,89.5431205771456,0
SYR,1,1995,96.1317349330707,0
SYR,1,2000,96.3215680827618,0
SYR,1,2005,99.8260604293495,0
SYR,1,2010,104.794236371313,0
SYR,1,2015,111.786320433531,0
SYR,1,2018,108.902994663075,0
TUN,1,1990,63.7339145276322,0
TUN,1,1995,66.6962466823709,0
TUN,1,2000,70.107977933883,0
TUN,1,2005,72.486194647558,0
TUN,1,2010,74.1502001253099,0
TUN,1,2015,70.3161200507778,0
TUN,1,2018,70.2271320499146,0
YEM,1,1990,12.1068109359474,0
YEM,1,1995,11.6792087533389,0
YEM,1,2000,21.6438538978706,0
YEM,1,2005,32.3760173912653,0
YEM,1,2010,50.7329555816456,0
YEM,1,2015,47.5547098291962,0
YEM,1,2018,41.4267829924091,0
