iso3,female,year,median,score
AFG,0,1990,74.9394277989168,0
AFG,0,1995,58.8192778782561,0
AFG,0,2000,52.5336998024055,0
AFG,0,2005,48.1750055788339,0
AFG,0,2010,59.7958685064959,0
AFG,0,2015,81.2978826402669,0
AFG,0,2018,64.3106927835214,0
ARE,0,1990,118.440015378629,0
ARE,0,1995,115.834638894066,0
ARE,0,2000,109.953212926144,0
ARE,0,2005,81.3507259219112,0
ARE,0,2010,87.3335071141883,0
ARE,0,2015,116.082656257844,0
ARE,0,2018,103.748335679953,0
BHR,0,1990,93.9236640562024,0
BHR,0,1995,102.587008796557,0
BHR,0,2000,101.128115643609,0
BHR,0,2005,100.863595995745,0
BHR,0,2010,105.400708461028,0
BHR,0,2015,118.849698612297,0
BHR,0,2018,115.319315249049,0
DJI,0,1990,33.3647851527455,0
DJI,0,1995,34.5530860331889,0
DJI,0,2000,39.6701606423945,0
DJI,0,2005,80.3752416677309,0
DJI,0,2010,92.0161885249931,0
DJI,0,2015,216.031667079195,0
DJI,0,2018,145.225624575442,0
EGY,0,1990,79.0627326736181,0
EGY,0,1995,81.9029395794343,0
EGY,0,2000,84.7014473698463,0
EGY,0,2005,87.0984252308386,0
EGY,0,2010,88.321433754831,0
EGY,0,2015,82.7660623124212,0
EGY,0,2018,82.5607763929483,0
IRN,0,1990,135.545345970805,0
IRN,0,1995,145.146925083201,0
IRN,0,2000,154.617711901582,0
IRN,0,2005,161.66207667784,0
IRN,0,2010,165.243364747286,0
IRN,0,2015,155.787092148858,0
IRN,0,2018,155.527549524376,0
IRQ,0,1990,93.0800210382445,0
IRQ,0,1995,93.5996095850973,0
IRQ,0,2000,96.6640219920518,0
IRQ,0,2005,99.0722603048812,0
IRQ,0,2010,100.207664520676,0
IRQ,0,2015,96.7484067814882,0
IRQ,0,2018,95.5429065480104,0
JOR,0,1990,148.242448252173,0
JOR,0,1995,156.71344681131,0
JOR,0,2000,157.8831169291,0
JOR,0,2005,161.018706881965,0
JOR,0,2010,163.967802542552,0
JOR,0,2015,160.719404221695,0
JOR,0,2018,162.312443017843,0
KWT,0,1990,51.7139731941589,0
KWT,0,1995,53.8058357769154,0
KWT,0,2000,53.8737394098742,0
KWT,0,2005,53.9933655108146,0
KWT,0,2010,54.7490401901902,0
KWT,0,2015,55.7682804708817,0
KWT,0,2018,55.7190672776601,0
LBN,0,1990,476.567542555701,1
LBN,0,1995,462.940664260029,1
LBN,0,2000,371.355717185699,1
LBN,0,2005,306.47871926644,0
LBN,0,2010,180.79131658893,0
LBN,0,2015,246.150250681979,0
LBN,0,2018,225.439431623995,0
LBR,0,1990,56.691950057598,0
LBR,0,1995,70.0376050421673,0
LBR,0,2000,64.1102895147151,0
LBR,0,2005,60.3604142761303,0
LBR,0,2010,56.9734769235281,0
LBR,0,2015,52.0930658748089,0
LBR,0,2018,50.399293754803,0
MAR,0,1990,47.6002091341094,0
MAR,0,1995,46.9267300498378,0
MAR,0,2000,64.314240553418,0
MAR,0,2005,65.3664294764023,0
MAR,0,2010,77.9084697754147,0
MAR,0,2015,76.7221116521104,0
MAR,0,2018,84.2859225987775,0
OMN,0,1990,82.2889004456307,0
OMN,0,1995,90.8290382331476,0
OMN,0,2000,99.72163700544408,0
OMN,0,2005,111.316875322727,0
OMN,0,2010,126.791687249693,0
OMN,0,2015,119.004163838716,0
OMN,0,2018,118.07579972468,0
PAK,0,1990,32.0532418907488,0
PAK,0,1995,33.1473920317325,0
PAK,0,2000,34.2824421223687,0
PAK,0,2005,37.0697724091702,0
PAK,0,2010,37.3252336382674,0
PAK,0,2015,33.3620644332168,0
PAK,0,2018,33.3774309452869,0
PSE,0,1990,78.3488292826447,0
PSE,0,1995,84.6741068816847,0
PSE,0,2000,85.6051966557669,0
PSE,0,2005,86.6809979417093,0
PSE,0,2010,91.48939952230772,0
PSE,0,2015,102.079168600889,0
PSE,0,2018,98.9521675630197,0
QAT,0,1990,101.874164083055,0
QAT,0,1995,111.299694729891,0
QAT,0,2000,110.100547474305,0
QAT,0,2005,110.844973672867,0
QAT,0,2010,114.52808075466,0
QAT,0,2015,124.329037377991,0
QAT,0,2018,121.297451599139,0
SAU,0,1990,79.829890417928,0
SAU,0,1995,83.780990436155,0
SAU,0,2000,84.3281229532163,0
SAU,0,2005,96.6144997751495,0
SAU,0,2010,77.1146249696598,0
SAU,0,2015,110.578187097046,0
SAU,0,2018,139.896543987118,0
SDN,0,1990,76.2424138872218,0
SDN,0,1995,78.1903976686561,0
SDN,0,2000,71.3237142654189,0
SDN,0,2005,76.661699200985,0
SDN,0,2010,76.7243996956685,0
SDN,0,2015,93.3614868848928,0
SDN,0,2018,81.0406790879935,0
SYR,0,1990,77.3974816992989,0
SYR,0,1995,83.1234627667921,0
SYR,0,2000,83.2996909064538,0
SYR,0,2005,86.5964758323661,0
SYR,0,2010,90.6659989863637,0
SYR,0,2015,96.8316317376805,0
SYR,0,2018,94.1746300448133,0
TUN,0,1990,52.4133758598381,0
TUN,0,1995,54.8915796472818,0
TUN,0,2000,57.6093605879058,0
TUN,0,2005,59.4569957163882,0
TUN,0,2010,60.7126174413729,0
TUN,0,2015,57.4094441194868,0
TUN,0,2018,57.3621009373147,0
YEM,0,1990,10.7275939912521,0
YEM,0,1995,10.5003415885317,0
YEM,0,2000,19.4203826039022,0
YEM,0,2005,29.0344203552925,0
YEM,0,2010,45.5190148728654,0
YEM,0,2015,42.6518380757021,0
YEM,0,2018,37.1502093906369,0
