iso3,female,year,v09_type,v09_type_desc,median,score
AFG,0,1990,1,1: Foods & Beverages,31.50947150782149,1
AFG,0,1995,1,1: Foods & Beverages,91.79366287780796,1
AFG,0,2000,1,1: Foods & Beverages,35.3260180761456,1
AFG,0,2005,1,1: Foods & Beverages,61.755816897241225,1
AFG,0,2010,1,1: Foods & Beverages,47.00820720481408,1
AFG,0,2015,1,1: Foods & Beverages,60.76381831285736,1
AFG,0,2018,1,1: Foods & Beverages,44.12991760117221,1
ARE,0,1990,1,1: Foods & Beverages,166.9075416893602,1
ARE,0,1995,1,1: Foods & Beverages,129.6080890425028,1
ARE,0,2000,1,1: Foods & Beverages,164.8581423371774,1
ARE,0,2005,1,1: Foods & Beverages,187.58715177437858,0
ARE,0,2010,1,1: Foods & Beverages,66.7467904904397,1
ARE,0,2015,1,1: Foods & Beverages,41.01884580986592,1
ARE,0,2018,1,1: Foods & Beverages,109.7540337683613,1
BHR,0,1990,1,1: Foods & Beverages,47.654914495628304,1
BHR,0,1995,1,1: Foods & Beverages,86.3358946510571,1
BHR,0,2000,1,1: Foods & Beverages,25.42894702152687,1
BHR,0,2005,1,1: Foods & Beverages,61.5022543214602,1
BHR,0,2010,1,1: Foods & Beverages,66.5866303621854,1
BHR,0,2015,1,1: Foods & Beverages,48.2822526557734,1
BHR,0,2018,1,1: Foods & Beverages,76.4463451265629,1
DJI,0,1990,1,1: Foods & Beverages,46.64549371373836,1
DJI,0,1995,1,1: Foods & Beverages,109.19549522971079,1
DJI,0,2000,1,1: Foods & Beverages,50.04174367495782,1
DJI,0,2005,1,1: Foods & Beverages,206.7692998462254,0
DJI,0,2010,1,1: Foods & Beverages,88.3429060099282,1
DJI,0,2015,1,1: Foods & Beverages,74.28360839035591,1
DJI,0,2018,1,1: Foods & Beverages,74.9099503686571,1
EGY,0,1990,1,1: Foods & Beverages,25.238208301330918,1
EGY,0,1995,1,1: Foods & Beverages,27.30553584588679,1
EGY,0,2000,1,1: Foods & Beverages,56.69802987464555,1
EGY,0,2005,1,1: Foods & Beverages,78.42726326451057,1
EGY,0,2010,1,1: Foods & Beverages,38.19763580541529,1
EGY,0,2015,1,1: Foods & Beverages,25.58554317025832,1
EGY,0,2018,1,1: Foods & Beverages,134.3368903404231,1
IRN,0,1990,1,1: Foods & Beverages,65.80615640835481,1
IRN,0,1995,1,1: Foods & Beverages,142.83875855873998,1
IRN,0,2000,1,1: Foods & Beverages,63.9039555107211,1
IRN,0,2005,1,1: Foods & Beverages,41.01516911514969,1
IRN,0,2010,1,1: Foods & Beverages,61.12130659342076,1
IRN,0,2015,1,1: Foods & Beverages,25.24267303195097,1
IRN,0,2018,1,1: Foods & Beverages,27.761163133049898,1
