iso3,female,year,varnum,v06_type,v06_type_desc,median,upperci_95,lowerci_95,serving,s_lowerci_95,s_upperci_95,score
AFG,1,1990,6,1,1: Foods & Beverages,1.0766379951039249,20.3838556812733,2.70838045006182,0.27587083,0.096624345,0.72721565,0
AFG,1,1995,6,1,1: Foods & Beverages,0.8253316431937125,10.6844395057737,1.39597553604367,0.14098147,0.049820684,0.38131475,0
AFG,1,2000,6,1,1: Foods & Beverages,0.4914660840275707,6.91512778456469,0.884009257360835,0.087834977,0.031560488,0.24688068,0
AFG,1,2005,6,1,1: Foods & Beverages,0.661826782714494,6.5365693252218,0.892671508447062,0.086000949,0.031847004,0.23319905,0
AFG,1,2010,6,1,1: Foods & Beverages,1.5271155242681664,34.2472107215971,5.48849539237585,0.51800853,0.1956683,1.2209345,0
AFG,1,2015,6,1,1: Foods & Beverages,1.12291966495574,8.38829949042825,1.10684800545544,0.1084482,0.039417665,0.29872862,0
AFG,1,2018,6,1,1: Foods & Beverages,2.1234643994221036,63.6254819952141,11.7508622840661,1.116383,0.41818014,2.2642519,0
ARE,1,1990,6,1,1: Foods & Beverages,0.41836595309788494,16.4452071685342,4.22271334064776,0.2918753,0.15054236,0.5862819,0
ARE,1,1995,6,1,1: Foods & Beverages,0.548673583542705,17.0081702416309,4.5195759301553,0.3163633,0.1607246,0.60484242,0
ARE,1,2000,6,1,1: Foods & Beverages,0.2949686084672568,8.50526511473107,2.14076002509048,0.1494032,0.076075338,0.30224824,0
ARE,1,2005,6,1,1: Foods & Beverages,0.745304431176586,24.8544826521894,6.68688007841299,0.45962131,0.23737593,0.88230324,0
ARE,1,2010,6,1,1: Foods & Beverages,2.1545833150416662,74.3214381347878,28.765761640076,1.7941055,1.0207864,2.6373825,0
ARE,1,2015,6,1,1: Foods & Beverages,2.2304437175017395,73.5950482146774,28.9485865003645,1.7806144,1.0265456,2.6097534,0
ARE,1,2018,6,1,1: Foods & Beverages,1.4431549548992169,50.4141590935325,15.739491566018,1.047289,0.55794019,1.7871025,0
BHR,1,1990,6,1,1: Foods & Beverages,0.5042919823771235,9.93756604063611,2.5156179808285,0.17478018,0.08952377,0.35365003,0
BHR,1,1995,6,1,1: Foods & Beverages,0.5504091471866078,12.9079471384585,3.2518630683336,0.22632217,0.11556017,0.45870459,0
BHR,1,2000,6,1,1: Foods & Beverages,0.6379217962647846,17.9082599004724,4.49599346450367,0.31399801,0.15977234,0.63639873,0
BHR,1,2005,6,1,1: Foods & Beverages,0.6725174361779913,17.8938001446005,4.71707302501232,0.32535559,0.16750969,0.63543326,0
BHR,1,2010,6,1,1: Foods & Beverages,0.9756329421344804,30.820210173273,8.5266298858994,0.59567124,0.30247003,1.093303,0
BHR,1,2015,6,1,1: Foods & Beverages,1.095059491189288,36.8383507851459,10.6293360992682,0.71904689,0.3770605,1.3067878,0
BHR,1,2018,6,1,1: Foods & Beverages,1.0867504769036773,36.676528698686,10.3723898834623,0.71022069,0.36781523,1.3005861,0
DJI,1,1990,6,1,1: Foods & Beverages,0.7063829235630155,0.172757440370263,0.0383583559568662,0.0027718882,0.0013674994,0.0061589107,0
