iso3,female,year,varnum,v06_type,v06_type_desc,median,upperci_95,lowerci_95,serving,s_lowerci_95,s_upperci_95,score
AFG,0,1990,6,1,1: Foods & Beverages,1.121749415140584,20.2081586511178,2.71207397698882,0.27200091,0.096756116,0.7209475,0
AFG,0,1995,6,1,1: Foods & Beverages,0.8699034283946699,10.539810405367,1.38085342711913,0.13737956,0.04926341,0.37601891,0
AFG,0,2000,6,1,1: Foods & Beverages,0.5220379798785155,6.85072368453438,0.880016038977029,0.08826182,0.031406712,0.24449407,0
AFG,0,2005,6,1,1: Foods & Beverages,0.7028573814933075,6.42858105415514,0.840742266878067,0.085038871,0.029994372,0.22934644,0
AFG,0,2010,6,1,1: Foods & Beverages,1.583339828828168,33.9653893558089,5.25654432717813,0.50984377,0.18739909,1.2108873,0
AFG,0,2015,6,1,1: Foods & Beverages,1.1930447488958806,8.5296757975869,1.03485862793766,0.10705822,0.036853939,0.30376339,0
AFG,0,2018,6,1,1: Foods & Beverages,2.155270775940445,63.3354388359623,11.890148960396,1.0935094,0.42313698,2.2539301,0
ARE,0,1990,6,1,1: Foods & Beverages,0.479962872310408,19.4666914763162,5.00916086266829,0.34187838,0.17769283,0.69055307,0
ARE,0,1995,6,1,1: Foods & Beverages,0.6123788269882959,20.0772815842282,5.2873937648533,0.3634854,0.18729699,0.71120375,0
ARE,0,2000,6,1,1: Foods & Beverages,0.3276840257380218,9.770844389927213,2.46107094539736,0.17292453,0.087148406,0.34599307,0
ARE,0,2005,6,1,1: Foods & Beverages,0.8258547618138823,29.1885528006589,7.46481481639367,0.5223791,0.2640543,1.0324922,0
ARE,0,2010,6,1,1: Foods & Beverages,2.3717181751987155,81.7435303224917,32.170824674366,1.9844685,1.1371801,2.8894849,0
ARE,0,2015,6,1,1: Foods & Beverages,2.4273978192714334,80.1146070151948,31.83958685843,1.954667,1.1258694,2.8329067,0
ARE,0,2018,6,1,1: Foods & Beverages,1.5685006777597283,55.8071307910172,16.8164604150117,1.1494324,0.59443122,1.9726804,0
BHR,0,1990,6,1,1: Foods & Beverages,0.5301716807295942,11.1458038239404,2.75956160738551,0.19221811,0.098030612,0.39594331,0
BHR,0,1995,6,1,1: Foods & Beverages,0.5768796833539438,14.1195329206139,3.60762825043646,0.24430598,0.12797546,0.50087029,0
BHR,0,2000,6,1,1: Foods & Beverages,0.6747578388941788,19.1564823035969,4.87237938751459,0.33978525,0.17290203,0.67979002,0
BHR,0,2005,6,1,1: Foods & Beverages,0.7181195139689268,19.6579245615223,5.05775027256098,0.35276431,0.17922574,0.69659549,0
BHR,0,2010,6,1,1: Foods & Beverages,1.041745465545774,34.0133296499941,9.40886849443006,0.64726764,0.33305728,1.2040117,0
BHR,0,2015,6,1,1: Foods & Beverages,1.1867459573355807,39.7607530831364,11.4447603118901,0.78626621,0.40526772,1.4079587,0
BHR,0,2018,6,1,1: Foods & Beverages,1.1783235385626645,40.1831053223714,11.132891449358,0.77990949,0.39394519,1.4219074,0
DJI,0,1990,6,1,1: Foods & Beverages,0.6788394919663763,0.173758407389214,0.038766746032953,0.0028023419,0.0013820587,0.0061945957,0
DJI,0,1995,6,1,1: Foods & Beverages,0.44721759410355055,0.179598016562861,0.0404552228683942,0.0028622816,0.0014407131,0.0063959407,0
DJI,0,2000,6,1,1: Foods & Beverages,0.5081819226596965,0.181354391411078,0.0405020369708243,0.0029091195,0.0014408409,0.006451597,0
DJI,0,2005,6,1,1: Foods & Beverages,0.6623522614619015,14.7051370538475,3.9065880756664,0.25785527,0.13887623,0.5227564,0
DJI,0,2010,6,1,1: Foods & Beverages,2.3524315878936846,5.2360680954019,1.34485831528669,0.091232724,0.047757752,0.18593992,0
DJI,0,2015,6,1,1: Foods & Beverages,2.407868228293854,23.4029739732643,6.10057878313131,0.41449478,0.21648611,0.83048171,0
DJI,0,2018,6,1,1: Foods & Beverages,1.9736055516894666,0.182515696882076,0.0411607390940495,0.0029380503,0.0014606366,0.0064767813,0
EGY,0,1990,6,1,1: Foods & Beverages,0.18776984220568807,1.20859678706467,0.570588082097208,0.02933187,0.020312855,0.043025874,0
EGY,0,1995,6,1,1: Foods & Beverages,0.2486297907457018,2.46319608482183,1.1868396870504,0.060346685,0.042206246,0.087595873,0
EGY,0,2000,6,1,1: Foods & Beverages,0.3063352592916778,4.34951276760804,2.09124749671896,0.10663133,0.074315831,0.15456691,0
EGY,0,2005,6,1,1: Foods & Beverages,0.3329304736708205,2.88284098690717,1.39165931148309,0.07064952,0.049437277,0.10240998,0
EGY,0,2010,6,1,1: Foods & Beverages,0.30030135989910045,3.80487878283792,1.8229594348688,0.093266666,0.06475877,0.13516444,0
EGY,0,2015,6,1,1: Foods & Beverages,0.18029251103931787,3.60745399425613,1.72757013536943,0.088405259,0.061435636,0.12828784,0
EGY,0,2018,6,1,1: Foods & Beverages,0.16143344875604543,3.02024741213627,1.45143572594386,0.073914111,0.051597431,0.10736749,0
IRN,0,1990,6,1,1: Foods & Beverages,0.24895106941101228,3.82708277720813,2.79885052974089,0.11697671,0.099674165,0.13629211,0
IRN,0,1995,6,1,1: Foods & Beverages,0.2886564921620233,4.64783249390197,3.47822998624774,0.14348325,0.12356057,0.1651095,0
IRN,0,2000,6,1,1: Foods & Beverages,0.2979570492820909,4.73762057904118,3.53607245733445,0.14559612,0.12539263,0.16800073,0
IRN,0,2005,6,1,1: Foods & Beverages,0.3277463536378885,5.61778112488422,4.26967890212306,0.17422169,0.15135339,0.19914149,0
IRN,0,2010,6,1,1: Foods & Beverages,0.40268292600358324,7.90879171678315,6.00149489454062,0.24512519,0.21274354,0.2803542,0
IRN,0,2015,6,1,1: Foods & Beverages,0.40098778419735326,7.92372066011274,6.03247940693019,0.24562217,0.2139177,0.280983,0
IRN,0,2018,6,1,1: Foods & Beverages,0.40681581375961445,8.17061316207129,6.1965157533826,0.2523663,0.21973459,0.28973806,0
IRQ,0,1990,6,1,1: Foods & Beverages,2.028606193952018,66.5999135501326,24.3821225552801,1.5431238,0.86892813,2.3734825,0
IRQ,0,1995,6,1,1: Foods & Beverages,1.2892394184768867,48.2667091053107,15.2450633350803,1.0174674,0.54310876,1.7195122,0
IRQ,0,2000,6,1,1: Foods & Beverages,0.4275406688753641,3.77978089734731,0.894787631812504,0.062587462,0.031877007,0.13465554,0
IRQ,0,2005,6,1,1: Foods & Beverages,0.4827635721429632,4.68170665749205,1.10375658487504,0.077690065,0.039307572,0.16672744,0
IRQ,0,2010,6,1,1: Foods & Beverages,0.3239346425054004,2.96517699306943,0.695357914436269,0.049907524,0.024754643,0.10555988,0
IRQ,0,2015,6,1,1: Foods & Beverages,0.6262311465104102,21.0918611293294,5.38399228592708,0.37888512,0.19160114,0.75060004,0
IRQ,0,2018,6,1,1: Foods & Beverages,0.8229291931496019,24.8922414735566,6.53233700566908,0.45796594,0.2323848,0.88552976,0
JOR,0,1990,6,1,1: Foods & Beverages,0.5151578107076058,9.97162353057478,5.06413805170744,0.25303328,0.18041104,0.3552413,0
JOR,0,1995,6,1,1: Foods & Beverages,0.4707029240516605,9.84383230517216,4.96808981104083,0.24962287,0.17680034,0.35031432,0
JOR,0,2000,6,1,1: Foods & Beverages,0.6278128290792778,14.5753314148577,7.51101769270787,0.37081602,0.26720092,0.51851052,0
JOR,0,2005,6,1,1: Foods & Beverages,0.6274231323369958,12.9565257399608,6.60064195687478,0.3281917,0.23473121,0.46075836,0
JOR,0,2010,6,1,1: Foods & Beverages,0.5995984844254856,13.2733381998634,6.76192468278276,0.33553255,0.24046673,0.47202483,0
JOR,0,2015,6,1,1: Foods & Beverages,0.6632243505336907,14.8003310098646,7.58884314482934,0.37485188,0.26968172,0.52595347,0
JOR,0,2018,6,1,1: Foods & Beverages,0.637628558169034,14.6484691477069,7.50915123714344,0.37047809,0.26666021,0.52018714,0
KWT,0,1990,6,1,1: Foods & Beverages,0.6701686926325108,12.9141524941026,3.10114976912025,0.21776816,0.11008696,0.45843637,0
KWT,0,1995,6,1,1: Foods & Beverages,0.6512318428178085,15.5970462341883,3.82260298147449,0.26414627,0.13560139,0.55328292,0
KWT,0,2000,6,1,1: Foods & Beverages,0.8169705643852969,20.7371672601056,5.21072911584909,0.36695504,0.18484317,0.73562139,0
KWT,0,2005,6,1,1: Foods & Beverages,0.70695219710509,18.3198963243727,4.65136249606292,0.33212498,0.16482504,0.64918131,0
KWT,0,2010,6,1,1: Foods & Beverages,1.0464513568381735,37.3465548610071,10.0868888986766,0.72962767,0.35743761,1.3234074,0
KWT,0,2015,6,1,1: Foods & Beverages,1.2641500783772368,42.7701106884375,12.0953924184482,0.84057349,0.42830709,1.5145223,0
KWT,0,2018,6,1,1: Foods & Beverages,1.3670783636947468,45.4098335712137,13.3826175537688,0.90700829,0.47372097,1.6074277,0
LBN,0,1990,6,1,1: Foods & Beverages,1.1467410990614642,23.1531936700127,15.1526924648209,0.66261107,0.53866667,0.82307833,0
LBN,0,1995,6,1,1: Foods & Beverages,1.798715616515283,47.3085063827243,31.3533694130883,1.3610705,1.1141922,1.6811836,0
LBN,0,2000,6,1,1: Foods & Beverages,2.5994531382382133,76.8343740528977,51.165108541096,2.2157214,1.8169428,2.7284935,0
LBN,0,2005,6,1,1: Foods & Beverages,1.7239273707105531,49.8284807104522,33.2115933182121,1.4370189,1.177716,1.7669673,0
LBN,0,2010,6,1,1: Foods & Beverages,1.9901329671033814,59.3812685988802,39.702381232014,1.7101383,1.4068881,2.1042264,0
LBN,0,2015,6,1,1: Foods & Beverages,1.697964113130471,48.1646799997184,31.9101880926568,1.3831521,1.1319684,1.7085732,0
LBN,0,2018,6,1,1: Foods & Beverages,1.9460957067918079,57.0966035597111,37.9095859107692,1.6410179,1.3443115,2.0247023,0
LBR,0,1990,6,1,1: Foods & Beverages,0.36326200425820115,11.1383332502443,2.95637791848572,0.19779289,0.10539672,0.39708853,0
LBR,0,1995,6,1,1: Foods & Beverages,0.5101759031320483,17.12145895112,4.67750997773791,0.31571847,0.16663733,0.60995579,0
LBR,0,2000,6,1,1: Foods & Beverages,0.3689301180058113,9.50914867422302,2.7336666761764,0.17393428,0.09742219,0.33888626,0
LBR,0,2005,6,1,1: Foods & Beverages,0.379154962670106,12.066716984599,3.35204065549297,0.22098112,0.11945976,0.4300327,0
LBR,0,2010,6,1,1: Foods & Beverages,0.24809197672919,7.05482478240663,1.95884803914387,0.12660696,0.069784395,0.25132972,0
LBR,0,2015,6,1,1: Foods & Beverages,0.22655491861907062,5.48528458376855,1.43680367573661,0.09542872,0.051150005,0.19527535,0
LBR,0,2018,6,1,1: Foods & Beverages,0.18336411295141272,5.0195406685271,1.31732308238947,0.087782077,0.046879824,0.17863134,0
MAR,0,1990,6,1,1: Foods & Beverages,0.8825823435231166,8.69662266270687,2.26218277949183,0.15398823,0.080447465,0.30926824,0
MAR,0,1995,6,1,1: Foods & Beverages,0.3646236049019681,5.55294150131945,1.45775603475555,0.099773921,0.051803697,0.19733268,0
MAR,0,2000,6,1,1: Foods & Beverages,0.48764994263005235,11.1525709525787,2.94316870010065,0.19980302,0.10447883,0.39590243,0
MAR,0,2005,6,1,1: Foods & Beverages,0.6299812938727962,13.4980270166396,3.60134677507531,0.24426176,0.12779796,0.47899315,0
MAR,0,2010,6,1,1: Foods & Beverages,0.8001766561796451,19.9625979101582,5.5798728175746,0.37577891,0.19800825,0.70839596,0
MAR,0,2015,6,1,1: Foods & Beverages,0.6652571223163148,18.6256554246061,5.13842565831009,0.35272485,0.18234299,0.66095299,0
MAR,0,2018,6,1,1: Foods & Beverages,0.9337274454977454,28.3268357719784,8.04545168748121,0.5450896,0.2854009,1.0048541,0
OMN,0,1990,6,1,1: Foods & Beverages,0.3629099982494715,0.409739588666916,0.0964251399312346,0.0069321245,0.0034339437,0.014591866,0
OMN,0,1995,6,1,1: Foods & Beverages,0.38601087670486806,0.404227422722214,0.0926619292946134,0.0068227598,0.0032917205,0.014359767,0
OMN,0,2000,6,1,1: Foods & Beverages,0.7870088421144436,0.55406097037535,0.129077882783294,0.0092887245,0.0045837318,0.019675462,0
OMN,0,2005,6,1,1: Foods & Beverages,0.6058064607846794,10.0636296691014,2.61260666657319,0.17917736,0.092645623,0.3568663,0
OMN,0,2010,6,1,1: Foods & Beverages,0.663001254764723,8.90619533092094,2.30291444293897,0.15830833,0.081634685,0.31571057,0
OMN,0,2015,6,1,1: Foods & Beverages,0.8770739024750094,26.0938645087402,6.49278383289255,0.46177351,0.22999589,0.92433101,0
OMN,0,2018,6,1,1: Foods & Beverages,1.0769548242727944,34.7608149989155,9.293074483015753,0.64112806,0.32919145,1.2313432,0
PAK,0,1990,6,1,1: Foods & Beverages,0.21434844000539427,7.84331597609355,1.05816865437007,0.10525876,0.037697494,0.27941987,0
PAK,0,1995,6,1,1: Foods & Beverages,0.2560813185421237,10.6825538099402,1.39898838733598,0.14406347,0.049821522,0.38043281,0
PAK,0,2000,6,1,1: Foods & Beverages,0.2381651105169182,8.78828612581702,1.16160741880987,0.11884807,0.041353058,0.31286174,0
PAK,0,2005,6,1,1: Foods & Beverages,0.19987249060497347,5.66283244743862,0.752366549794704,0.075517192,0.026765084,0.2014526,0
PAK,0,2010,6,1,1: Foods & Beverages,0.25878936814318837,9.315738939307932,1.25112430330628,0.12415691,0.044476513,0.3311674,0
PAK,0,2015,6,1,1: Foods & Beverages,0.26553430946009987,10.2197932032052,1.36497425156986,0.13459672,0.048523791,0.36330584,0
PAK,0,2018,6,1,1: Foods & Beverages,0.22121572860534514,8.18052519604936,1.08615537619268,0.10920278,0.038611993,0.29081142,0
PSE,0,1990,6,1,1: Foods & Beverages,0.48599368331489123,9.20286311335336,2.39957722056776,0.16764231,0.085638016,0.32843909,0
PSE,0,1995,6,1,1: Foods & Beverages,0.5175750341021184,11.4269468666281,3.05993768879804,0.21133395,0.10920548,0.40781394,0
PSE,0,2000,6,1,1: Foods & Beverages,0.6143820302477747,15.8762020678047,4.32982819932785,0.29635227,0.15436108,0.56599653,0
PSE,0,2005,6,1,1: Foods & Beverages,0.6469890247245618,16.6403233090115,4.47830177403064,0.30798301,0.15948369,0.5926041,0
PSE,0,2010,6,1,1: Foods & Beverages,0.9373355300622882,29.2584582982558,8.42099412686127,0.56531692,0.29978618,1.0415969,0
PSE,0,2015,6,1,1: Foods & Beverages,1.0886614316501615,35.5906528349941,10.5438395813048,0.70503569,0.3752256,1.2665713,0
PSE,0,2018,6,1,1: Foods & Beverages,1.0712834062509045,35.1774477194441,10.2086397436162,0.69115293,0.36316752,1.2514211,0
QAT,0,1990,6,1,1: Foods & Beverages,0.543237428866375,11.6738626981607,2.79280355449156,0.19910017,0.099000484,0.41382003,0
QAT,0,1995,6,1,1: Foods & Beverages,0.588355916838909,14.5266476259182,3.54425649732583,0.24991903,0.12559378,0.51476431,0
QAT,0,2000,6,1,1: Foods & Beverages,0.6915243721546712,19.8508458788357,4.97517712847919,0.34953028,0.17623724,0.70318264,0
QAT,0,2005,6,1,1: Foods & Beverages,0.7273714392555681,20.1575553631131,5.01482302811135,0.36181429,0.17751586,0.71354181,0
QAT,0,2010,6,1,1: Foods & Beverages,1.0048698450088662,34.3536412228962,8.5247863343016,0.62132072,0.30133566,1.2143387,0
QAT,0,2015,6,1,1: Foods & Beverages,1.1444450128685608,40.0319797770368,10.472374496168,0.74967796,0.37017936,1.4150575,0
QAT,0,2018,6,1,1: Foods & Beverages,1.128502768115917,39.7161648367871,10.2826551111335,0.73625112,0.3633447,1.403398,0
SAU,0,1990,6,1,1: Foods & Beverages,0.3827336939984568,4.51555769610136,1.14720371700403,0.079457015,0.040825754,0.160696,0
SAU,0,1995,6,1,1: Foods & Beverages,0.4158651871683925,6.34859541233663,1.6422212707008,0.11188325,0.058379713,0.22568773,0
SAU,0,2000,6,1,1: Foods & Beverages,0.6278939253544666,12.2846067098028,3.17217125365824,0.21647477,0.11268815,0.43639812,0
SAU,0,2005,6,1,1: Foods & Beverages,0.6217684206648908,10.9362216874432,2.84490769127021,0.19646247,0.10095485,0.3880845,0
