iso3,female,year,median,score
AFG,1,1990,7.98249477873406,0
AFG,1,1995,7.88829780117052,0
AFG,1,2000,7.81310167656424,0
AFG,1,2005,7.91355813264457,0
AFG,1,2010,7.98042434465511,0
AFG,1,2015,7.69465562787462,0
AFG,1,2018,7.59825841246897,0
ARE,1,1990,10.0571167360634,0
ARE,1,1995,9.45434277520746,0
ARE,1,2000,8.88602657079518,0
ARE,1,2005,8.59061334039203,0
ARE,1,2010,8.89079235712036,0
ARE,1,2015,9.05111561174088,0
ARE,1,2018,9.058811200057352,0
BHR,1,1990,10.3662667787307,0
BHR,1,1995,10.9500407328625,0
BHR,1,2000,10.8574919412455,0
BHR,1,2005,11.0173729015567,0
BHR,1,2010,11.100905490933,0
BHR,1,2015,11.0074233682257,0
BHR,1,2018,11.0168725948746,0
DJI,1,1990,12.7410810958692,0
DJI,1,1995,12.50783956008,0
DJI,1,2000,12.2482361165342,0
DJI,1,2005,11.119348442557,0
DJI,1,2010,10.4285798859074,0
DJI,1,2015,10.4577346339195,0
DJI,1,2018,10.49205717449,0
EGY,1,1990,7.53572789095942,0
EGY,1,1995,7.74850035434124,0
EGY,1,2000,8.12223934836288,0
EGY,1,2005,8.23205473678387,0
EGY,1,2010,8.35246724883416,0
EGY,1,2015,8.18197648511258,0
EGY,1,2018,8.1872436527215,0
IRN,1,1990,9.23173676216485,0
IRN,1,1995,9.235755701627452,0
IRN,1,2000,9.44930713299067,0
IRN,1,2005,10.2681539341378,0
IRN,1,2010,10.6611170716927,0
IRN,1,2015,10.5234154005771,0
IRN,1,2018,10.5130648165284,0
IRQ,1,1990,10.6091238565503,0
IRQ,1,1995,13.1891938599792,0
IRQ,1,2000,10.2399466612746,0
IRQ,1,2005,10.6658041104075,0
IRQ,1,2010,9.87999876285207,0
IRQ,1,2015,10.0042606061345,0
IRQ,1,2018,9.99399626065742,0
JOR,1,1990,6.79969465012741,0
JOR,1,1995,8.36712961042037,0
JOR,1,2000,8.11789295160232,0
JOR,1,2005,8.09755675275041,0
JOR,1,2010,8.7909531562022,0
JOR,1,2015,8.67076039134537,0
JOR,1,2018,8.6991611655652,0
KWT,1,1990,10.4950262476511,0
KWT,1,1995,11.3950396368764,0
KWT,1,2000,11.763235683265,0
KWT,1,2005,12.8149995023472,0
KWT,1,2010,12.5659271185297,0
KWT,1,2015,11.9044483011717,0
KWT,1,2018,11.8226920722796,0
LBN,1,1990,12.2496906055884,0
LBN,1,1995,12.1347475336989,0
LBN,1,2000,12.8025771716573,0
LBN,1,2005,12.8887340769464,0
LBN,1,2010,12.273210534817,0
LBN,1,2015,12.1983048650016,0
LBN,1,2018,12.1836471316267,0
LBR,1,1990,12.5642935979087,0
LBR,1,1995,12.2219902962158,0
LBR,1,2000,11.9676142505898,0
LBR,1,2005,12.1061957052643,0
LBR,1,2010,12.1418159975847,0
LBR,1,2015,12.0953818938456,0
LBR,1,2018,12.0773895645623,0
MAR,1,1990,7.23340570823654,0
MAR,1,1995,7.43446198343754,0
MAR,1,2000,7.74430806103879,0
MAR,1,2005,7.92943156169851,0
MAR,1,2010,8.3486278052992,0
MAR,1,2015,8.28705227533491,0
MAR,1,2018,8.29347057679244,0
OMN,1,1990,10.0106940825481,0
OMN,1,1995,10.5961906898975,0
OMN,1,2000,10.5719885786713,0
OMN,1,2005,10.8506227085342,0
OMN,1,2010,10.9139313667303,0
OMN,1,2015,10.8169613664446,0
OMN,1,2018,10.7971898506945,0
PAK,1,1990,7.59312167648698,0
PAK,1,1995,8.56693030300828,0
PAK,1,2000,8.40297360943126,0
PAK,1,2005,9.17710501406626,0
PAK,1,2010,9.493187524397268,0
PAK,1,2015,9.3464580609785,0
PAK,1,2018,9.30351342978825,0
PSE,1,1990,12.6254211558702,0
PSE,1,1995,13.5756760557334,0
PSE,1,2000,14.1250422671901,0
PSE,1,2005,13.7566203741129,0
PSE,1,2010,13.2545833410858,0
PSE,1,2015,12.9190731178282,0
PSE,1,2018,12.9511149658632,0
QAT,1,1990,10.3282368478867,0
QAT,1,1995,10.8835480420186,0
QAT,1,2000,10.8285867745166,0
QAT,1,2005,11.0850551010161,0
QAT,1,2010,11.2108990382566,0
QAT,1,2015,11.073822916552,0
QAT,1,2018,11.0285542533001,0
SAU,1,1990,11.9666396501106,0
SAU,1,1995,10.7073621767954,0
SAU,1,2000,11.9529649891268,0
SAU,1,2005,11.4117093839836,0
SAU,1,2010,12.1497115711122,0
SAU,1,2015,11.9877635976639,0
SAU,1,2018,11.9944798551293,0
SDN,1,1990,10.8373785387753,0
SDN,1,1995,11.3140511156578,0
SDN,1,2000,11.5515767490075,0
SDN,1,2005,11.3577388426461,0
SDN,1,2010,10.7114916669703,0
SDN,1,2015,10.6821161476864,0
SDN,1,2018,10.6897026605576,0
SYR,1,1990,13.7667130492327,0
SYR,1,1995,13.7543857805189,0
SYR,1,2000,13.7960477515073,0
SYR,1,2005,14.2889869538112,0
SYR,1,2010,14.5608495255845,0
SYR,1,2015,14.2811182745923,0
SYR,1,2018,14.31845324999,0
TUN,1,1990,9.10014514478076,0
TUN,1,1995,9.586671199007332,0
TUN,1,2000,10.508600409248,0
TUN,1,2005,10.2847747440794,0
TUN,1,2010,10.7152590002107,0
TUN,1,2015,10.5658856464066,0
TUN,1,2018,10.5520502499994,0
YEM,1,1990,8.67447041953634,0
YEM,1,1995,8.54202506208115,0
YEM,1,2000,8.9638110932196,0
YEM,1,2005,9.57081095732898,0
YEM,1,2010,8.7826961687588,0
YEM,1,2015,8.73637976165747,0
YEM,1,2018,8.76045893039858,0
