iso3,female,year,median,score
AFG,0,1990,7.68402881582242,0
AFG,0,1995,7.60593368922846,0
AFG,0,2000,7.51620604220682,0
AFG,0,2005,7.58493788478772,0
AFG,0,2010,7.66330909978072,0
AFG,0,2015,7.36253673656906,0
AFG,0,2018,7.31509303953692,0
ARE,0,1990,9.860028473936207,0
ARE,0,1995,9.25447857243644,0
ARE,0,2000,8.69651581490089,0
ARE,0,2005,8.38890966252975,0
ARE,0,2010,8.68782003942576,0
ARE,0,2015,8.81366710903533,0
ARE,0,2018,8.80581883023832,0
BHR,0,1990,9.87316263251741,0
BHR,0,1995,10.372284430502,0
BHR,0,2000,10.304346681742,0
BHR,0,2005,10.488780100422,0
BHR,0,2010,10.5558561872011,0
BHR,0,2015,10.5050012964504,0
BHR,0,2018,10.5193471664419,0
DJI,0,1990,12.2762007783086,0
DJI,0,1995,12.0350681126256,0
DJI,0,2000,11.7689300497025,0
DJI,0,2005,10.6187517361933,0
DJI,0,2010,10.0375582526879,0
DJI,0,2015,10.0624532107227,0
DJI,0,2018,10.0197355833916,0
EGY,0,1990,7.04687765256107,0
EGY,0,1995,7.23950525485415,0
EGY,0,2000,7.5839297758192,0
EGY,0,2005,7.66325421765119,0
EGY,0,2010,7.8122894865479,0
EGY,0,2015,7.63356901554556,0
EGY,0,2018,7.63784403225031,0
IRN,0,1990,8.79639867395922,0
IRN,0,1995,8.8042524929069,0
IRN,0,2000,9.00470626354949,0
IRN,0,2005,9.80815595634246,0
IRN,0,2010,10.1782934170064,0
IRN,0,2015,10.0387627910356,0
IRN,0,2018,10.0287630132335,0
IRQ,0,1990,9.9536188482679,0
IRQ,0,1995,12.5172466094417,0
IRQ,0,2000,9.634677467158188,0
IRQ,0,2005,10.0120231240521,0
IRQ,0,2010,9.276424155143427,0
IRQ,0,2015,9.384416590967367,0
IRQ,0,2018,9.43303678304355,0
JOR,0,1990,6.32078548450752,0
JOR,0,1995,7.8275807769733,0
JOR,0,2000,7.57894855215839,0
JOR,0,2005,7.5575158109978,0
JOR,0,2010,8.22791775420339,0
JOR,0,2015,8.1082358656081,0
JOR,0,2018,8.13531753986172,0
KWT,0,1990,9.92565021591917,0
KWT,0,1995,10.8320833366888,0
KWT,0,2000,11.1544072704532,0
KWT,0,2005,12.19672060181,0
KWT,0,2010,11.9418569921559,0
KWT,0,2015,11.3090545844153,0
KWT,0,2018,11.2450921100816,0
LBN,0,1990,10.3387243688938,0
LBN,0,1995,10.2441322729063,0
LBN,0,2000,10.8552970109404,0
LBN,0,2005,10.962840631624,0
LBN,0,2010,10.3892121248881,0
LBN,0,2015,10.3010168871643,0
LBN,0,2018,10.2903441977698,0
LBR,0,1990,12.0960087842699,0
LBR,0,1995,11.7899716069012,0
LBR,0,2000,11.4971704301685,0
LBR,0,2005,11.6576210107162,0
LBR,0,2010,11.66009406962,0
LBR,0,2015,11.6403218852204,0
LBR,0,2018,11.6343525961703,0
MAR,0,1990,6.66080234313074,0
MAR,0,1995,6.84765797663177,0
MAR,0,2000,7.13398138440733,0
MAR,0,2005,7.30571358328508,0
MAR,0,2010,7.69390118195541,0
MAR,0,2015,7.64161422565539,0
MAR,0,2018,7.64454401234612,0
OMN,0,1990,9.49845666954762,0
OMN,0,1995,10.1473778536903,0
OMN,0,2000,10.0491442863679,0
OMN,0,2005,10.2815960890274,0
OMN,0,2010,10.395283569596,0
OMN,0,2015,10.3680602750657,0
OMN,0,2018,10.3639195184777,0
PAK,0,1990,7.23791242185386,0
PAK,0,1995,8.24959922540488,0
PAK,0,2000,8.06797638559095,0
PAK,0,2005,8.8601793911361,0
PAK,0,2010,9.153301080089912,0
PAK,0,2015,9.00347863355558,0
PAK,0,2018,8.99863035387216,0
PSE,0,1990,11.8824178513159,0
PSE,0,1995,12.8555329795538,0
PSE,0,2000,13.4053429436568,0
PSE,0,2005,13.0526227050933,0
