iso3,female,year,median,score
AFG,1,1990,266.5684693243028,0
AFG,1,1995,204.9138422882842,0
AFG,1,2000,212.89543622439908,0
AFG,1,2005,242.3476818500044,0
AFG,1,2010,215.58638084736722,0
AFG,1,2015,168.1950917212635,0
AFG,1,2018,165.093118747919,0
ARE,1,1990,437.5009381821514,1
ARE,1,1995,530.2248409129878,1
ARE,1,2000,482.5228053570828,1
ARE,1,2005,220.06959533214854,0
ARE,1,2010,277.76229491172097,0
ARE,1,2015,350.54599708395006,1
ARE,1,2018,367.5474758179912,1
BHR,1,1990,232.7599973927653,0
BHR,1,1995,252.50127835883413,0
BHR,1,2000,256.39752172092903,0
BHR,1,2005,277.4225967032726,0
BHR,1,2010,278.22010813743293,0
BHR,1,2015,282.73364186537924,0
BHR,1,2018,284.67296299208056,0
DJI,1,1990,666.7732671490747,1
DJI,1,1995,144.1962002972012,0
DJI,1,2000,124.2578810504674,0
DJI,1,2005,189.52378017569978,0
DJI,1,2010,791.3753451258772,1
DJI,1,2015,747.1681176596372,1
DJI,1,2018,719.0891316638946,1
EGY,1,1990,211.1363635591872,0
EGY,1,1995,220.0941507620538,0
EGY,1,2000,221.2427318308988,0
EGY,1,2005,280.5921543611915,0
EGY,1,2010,283.7328980010311,0
EGY,1,2015,291.3201286314524,0
EGY,1,2018,287.7057519726729,0
IRN,1,1990,180.57873887587718,0
IRN,1,1995,168.2398333211226,0
IRN,1,2000,206.1695890184454,0
IRN,1,2005,267.22057891509183,0
IRN,1,2010,259.6838142479015,0
IRN,1,2015,272.7887281761242,0
IRN,1,2018,286.56966368103593,0
IRQ,1,1990,224.74121094478113,0
IRQ,1,1995,228.91704251143818,0
IRQ,1,2000,221.5668916933624,0
IRQ,1,2005,262.89729996414746,0
IRQ,1,2010,215.35111382614164,0
IRQ,1,2015,173.0682946290347,0
IRQ,1,2018,201.56968734262728,0
JOR,1,1990,169.1646988128538,0
JOR,1,1995,165.0608746315172,0
JOR,1,2000,171.53728200251348,0
JOR,1,2005,209.2966708529122,0
JOR,1,2010,206.7039522357498,0
JOR,1,2015,171.899070029729,0
JOR,1,2018,162.9612610632775,0
KWT,1,1990,116.5218306955553,0
KWT,1,1995,226.4452834083244,0
