iso3,female,year,median,score
AFG,0,1990,261.264995079661,0
AFG,0,1995,198.834222873419,0
AFG,0,2000,207.9269226449699,0
AFG,0,2005,236.1386222476507,0
AFG,0,2010,208.9987428063989,0
AFG,0,2015,164.357345455346,0
AFG,0,2018,160.17192938127852,0
ARE,0,1990,446.4968055806472,1
ARE,0,1995,538.2653203521454,1
ARE,0,2000,486.0667617120081,1
ARE,0,2005,210.3517658324996,0
ARE,0,2010,267.2222488096224,0
ARE,0,2015,341.51200547086296,1
ARE,0,2018,360.2321510262563,1
BHR,0,1990,224.8674930616413,0
BHR,0,1995,241.8195858166851,0
BHR,0,2000,245.1192201155963,0
BHR,0,2005,268.49968257362957,0
BHR,0,2010,268.3582797781646,0
BHR,0,2015,272.1371672643973,0
BHR,0,2018,276.37913334043105,0
DJI,0,1990,671.5153942393824,1
DJI,0,1995,137.78658927690495,0
DJI,0,2000,118.26361291472273,0
DJI,0,2005,182.79095572429492,0
DJI,0,2010,779.8554373306506,1
DJI,0,2015,741.4488340206267,1
DJI,0,2018,714.2249148670037,1
EGY,0,1990,197.3861590510733,0
EGY,0,1995,205.3407439711279,0
EGY,0,2000,205.1953523065871,0
EGY,0,2005,265.8857415871751,0
EGY,0,2010,270.177332661429,0
EGY,0,2015,281.4935702608825,0
EGY,0,2018,277.1222181791555,0
IRN,0,1990,153.24552158570984,0
IRN,0,1995,143.6326780480839,0
IRN,0,2000,176.27022003721737,0
IRN,0,2005,229.3112034835855,0
IRN,0,2010,218.876655058801,0
IRN,0,2015,230.9399124646225,0
IRN,0,2018,242.92295515154814,0
IRQ,0,1990,201.619829644879,0
IRQ,0,1995,209.1367673739726,0
IRQ,0,2000,203.1766359488172,0
IRQ,0,2005,246.12945800698702,0
IRQ,0,2010,193.78115558329208,0
IRQ,0,2015,160.98502864503018,0
IRQ,0,2018,186.8712127716746,0
JOR,0,1990,172.4711544788135,0
JOR,0,1995,167.0340500388328,0
JOR,0,2000,173.0845623839443,0
JOR,0,2005,212.94439535686578,0
JOR,0,2010,209.7046866342351,0
JOR,0,2015,172.77448302630972,0
JOR,0,2018,163.3278006200219,0
KWT,0,1990,113.6630827673233,0
KWT,0,1995,226.550684257186,0
KWT,0,2000,310.82201597983106,0
KWT,0,2005,165.1829158739614,0
KWT,0,2010,283.0821240117692,0
KWT,0,2015,501.67698993191954,1
KWT,0,2018,490.9561253538385,1
LBN,0,1990,420.9902137789143,1
LBN,0,1995,457.1750753274581,1
LBN,0,2000,439.002436989104,1
LBN,0,2005,554.7181021871422,1
LBN,0,2010,470.4450683133642,1
LBN,0,2015,416.8171483623208,1
LBN,0,2018,436.8969991076612,1
LBR,0,1990,180.20630772629715,0
LBR,0,1995,157.76402672466622,0
LBR,0,2000,164.8900014362013,0
LBR,0,2005,176.9103386839139,0
LBR,0,2010,167.14961319927357,0
LBR,0,2015,162.1004268127011,0
LBR,0,2018,161.72364137437955,0
MAR,0,1990,215.1635360465794,0
MAR,0,1995,177.26787083360838,0
MAR,0,2000,206.62518259002132,0
MAR,0,2005,248.3925385846942,0
MAR,0,2010,256.9739160135021,0
MAR,0,2015,267.5602852726384,0
MAR,0,2018,247.71071910217458,0
OMN,0,1990,193.40638504049102,0
OMN,0,1995,161.86407049250934,0
OMN,0,2000,198.8486945545975,0
OMN,0,2005,247.7134244906489,0
OMN,0,2010,241.015118596153,0
OMN,0,2015,263.58292535892093,0
OMN,0,2018,264.5432171726083,0
PAK,0,1990,112.23246693749559,0
PAK,0,1995,119.3542628946993,0
PAK,0,2000,134.6162456869617,0
PAK,0,2005,138.9828630593353,0
PAK,0,2010,158.6855795659375,0
PAK,0,2015,161.71124024839978,0
PAK,0,2018,157.9486631135485,0
PSE,0,1990,190.9739384694597,0
PSE,0,1995,198.81312941968622,0
PSE,0,2000,207.7123819000338,0
PSE,0,2005,231.26856476157928,0
PSE,0,2010,236.0638457026408,0
PSE,0,2015,242.3465945289525,0
PSE,0,2018,245.9320119182892,0
QAT,0,1990,213.2155351336086,0
QAT,0,1995,225.92724090747652,0
QAT,0,2000,232.3686229959465,0
QAT,0,2005,252.5478891950089,0
QAT,0,2010,253.3072859144016,0
QAT,0,2015,254.4376969480947,0
QAT,0,2018,255.73153799187978,0
SAU,0,1990,239.73219424298279,0
SAU,0,1995,279.5565065864649,0
SAU,0,2000,221.73406703560778,0
SAU,0,2005,227.7976363736897,0
SAU,0,2010,190.4986930209713,0
SAU,0,2015,255.8437947242811,0
SAU,0,2018,279.49227727314127,0
SDN,0,1990,187.0403672396792,0
SDN,0,1995,186.2090938198455,0
SDN,0,2000,204.960213942233,0
SDN,0,2005,216.7899684588288,0
SDN,0,2010,219.383474197808,0
SDN,0,2015,203.8419690772751,0
SDN,0,2018,207.5153420232406,0
SYR,0,1990,183.68985418970033,0
SYR,0,1995,201.9450281060834,0
SYR,0,2000,209.28898767425932,0
SYR,0,2005,233.7328935750009,0
SYR,0,2010,227.1384356653286,0
SYR,0,2015,239.9580025053515,0
SYR,0,2018,242.8347535363011,0
TUN,0,1990,195.4978461761669,0
TUN,0,1995,208.8086913569573,0
TUN,0,2000,230.6713503765732,0
TUN,0,2005,251.39849774608112,0
TUN,0,2010,314.50258927704385,0
TUN,0,2015,341.83442262358443,1
TUN,0,2018,315.0227717084462,0
YEM,0,1990,193.577776700223,0
YEM,0,1995,180.3069160544951,0
YEM,0,2000,179.1977026833231,0
YEM,0,2005,166.647259698786,0
YEM,0,2010,194.10928996407412,0
YEM,0,2015,149.44829363099439,0
YEM,0,2018,174.95850839170578,0
