iso3,female,year,v08_type,v08_type_desc,median,score
AFG,1,1990,1,1: Foods & Beverages,166.4996391296,1
AFG,1,1995,1,1: Foods & Beverages,144.79949874907,1
AFG,1,2000,1,1: Foods & Beverages,70.4185911010369,0
AFG,1,2005,1,1: Foods & Beverages,48.161572025586,0
AFG,1,2010,1,1: Foods & Beverages,51.6300061308785,0
AFG,1,2015,1,1: Foods & Beverages,43.9682589479303,0
AFG,1,2018,1,1: Foods & Beverages,41.436390617458,0
ARE,1,1990,1,1: Foods & Beverages,46.8121035985277,0
ARE,1,1995,1,1: Foods & Beverages,26.7885376848173,0
ARE,1,2000,1,1: Foods & Beverages,6.65570266814462,0
ARE,1,2005,1,1: Foods & Beverages,16.3312449700076,0
ARE,1,2010,1,1: Foods & Beverages,14.7842927847678,0
ARE,1,2015,1,1: Foods & Beverages,37.3324666400733,0
ARE,1,2018,1,1: Foods & Beverages,35.1912594326275,0
BHR,1,1990,1,1: Foods & Beverages,13.4830136979012,0
BHR,1,1995,1,1: Foods & Beverages,13.990242575771,0
BHR,1,2000,1,1: Foods & Beverages,14.24023114504,0
BHR,1,2005,1,1: Foods & Beverages,14.5693607600844,0
BHR,1,2010,1,1: Foods & Beverages,15.1676705507727,0
BHR,1,2015,1,1: Foods & Beverages,15.2376783307457,0
BHR,1,2018,1,1: Foods & Beverages,15.3617687893637,0
DJI,1,1990,1,1: Foods & Beverages,136.724947295671,1
DJI,1,1995,1,1: Foods & Beverages,117.486346282684,0
DJI,1,2000,1,1: Foods & Beverages,127.034430376385,1
DJI,1,2005,1,1: Foods & Beverages,47.8810532884685,0
DJI,1,2010,1,1: Foods & Beverages,30.3596079567619,0
DJI,1,2015,1,1: Foods & Beverages,56.1839769789588,0
DJI,1,2018,1,1: Foods & Beverages,79.0222024177858,0
EGY,1,1990,1,1: Foods & Beverages,20.2559330696882,0
EGY,1,1995,1,1: Foods & Beverages,20.1713006815928,0
EGY,1,2000,1,1: Foods & Beverages,22.539224266441,0
EGY,1,2005,1,1: Foods & Beverages,22.0745621623407,0
EGY,1,2010,1,1: Foods & Beverages,24.1165555589231,0
EGY,1,2015,1,1: Foods & Beverages,22.7223008782844,0
EGY,1,2018,1,1: Foods & Beverages,22.4751185506007,0
IRN,1,1990,1,1: Foods & Beverages,4.31348260470393,0
IRN,1,1995,1,1: Foods & Beverages,5.32981211374021,0
IRN,1,2000,1,1: Foods & Beverages,6.4575715307842,0
IRN,1,2005,1,1: Foods & Beverages,21.1425268088411,0
IRN,1,2010,1,1: Foods & Beverages,46.3126033022193,0
IRN,1,2015,1,1: Foods & Beverages,23.0171726813499,0
IRN,1,2018,1,1: Foods & Beverages,52.0101888581364,0
