iso3,1990,1995,2000,2005,2010,2015,2018
AFG,4.0,2.0,1.0,1.0,3.0,1.0,4.0
ARE,4.0,4.0,2.0,4.0,4.0,4.0,4.0
BHR,3.0,3.0,4.0,4.0,4.0,4.0,3.0
DJI,1.0,1.0,1.0,3.0,1.0,3.0,1.0
EGY,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IRN,2.0,2.0,2.0,1.0,2.0,1.0,2.0
IRQ,4.0,4.0,1.0,1.0,1.0,2.0,2.0
JOR,4.0,3.0,4.0,3.0,2.0,2.0,2.0
KWT,3.0,4.0,4.0,4.0,4.0,4.0,4.0
LBN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
LBR,3.0,4.0,2.0,2.0,1.0,1.0,1.0
MAR,2.0,1.0,3.0,3.0,3.0,2.0,2.0
OMN,1.0,1.0,1.0,2.0,2.0,3.0,3.0
PAK,2.0,2.0,1.0,1.0,1.0,1.0,1.0
PSE,2.0,3.0,3.0,3.0,3.0,3.0,3.0
QAT,3.0,3.0,4.0,4.0,4.0,3.0,3.0
SAU,1.0,2.0,3.0,2.0,3.0,4.0,4.0
SDN,1.0,1.0,2.0,2.0,2.0,2.0,2.0
SYR,2.0,3.0,3.0,3.0,3.0,3.0,3.0
TUN,3.0,2.0,3.0,2.0,2.0,2.0,1.0
YEM,1.0,1.0,2.0,1.0,1.0,1.0,1.0
