iso3,1990,1995,2000,2005,2010,2015,2018
AFG,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ARE,1.0,1.0,1.0,1.0,2.0,2.0,2.0
BHR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DJI,4.0,4.0,4.0,4.0,4.0,4.0,4.0
EGY,3.0,3.0,3.0,2.0,2.0,3.0,3.0
IRN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
IRQ,3.0,3.0,3.0,3.0,3.0,3.0,3.0
JOR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KWT,3.0,2.0,2.0,2.0,3.0,3.0,3.0
LBN,3.0,3.0,2.0,3.0,3.0,3.0,3.0
LBR,4.0,4.0,4.0,4.0,4.0,4.0,4.0
MAR,4.0,4.0,4.0,4.0,4.0,4.0,4.0
OMN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PAK,2.0,2.0,3.0,3.0,3.0,2.0,2.0
PSE,1.0,3.0,3.0,3.0,1.0,1.0,1.0
QAT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAU,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SDN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SYR,2.0,1.0,1.0,1.0,1.0,1.0,1.0
TUN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
YEM,4.0,4.0,4.0,4.0,4.0,4.0,4.0
