iso3,1990,1995,2000,2005,2010,2015,2018,2020
AFG,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ARE,2.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0
BHR,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0
DJI,2.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0
EGY,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0
IRN,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
IRQ,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
JOR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KWT,4.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0
LBN,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0
LBR,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
MAR,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
OMN,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0
PAK,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0
PSE,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
QAT,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
SAU,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
SDN,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SYR,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
TUN,3.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0
YEM,4.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0
