iso3,1990,1995,2000,2005,2010,2015,2018
AFG,32.0,29.0,27.0,27.0,30.0,25.0,27.0
ARE,25.0,24.0,22.0,22.0,27.0,31.0,32.0
BHR,25.0,28.0,27.0,25.0,25.0,26.0,25.0
DJI,22.0,21.0,22.0,27.0,22.0,25.0,23.0
EGY,22.0,24.0,23.0,25.0,24.0,23.0,24.0
IRN,24.0,22.0,24.0,31.0,30.0,28.0,27.0
IRQ,30.0,31.0,29.0,29.0,25.0,19.0,23.0
JOR,20.0,21.0,19.0,20.0,21.0,20.0,19.0
KWT,27.0,20.0,23.0,21.0,25.0,23.0,24.0
LBN,26.0,28.0,27.0,30.0,22.0,29.0,29.0
LBR,25.0,28.0,26.0,23.0,18.0,20.0,20.0
MAR,26.0,24.0,26.0,28.0,30.0,26.0,27.0
OMN,26.0,26.0,29.0,27.0,28.0,29.0,31.0
PAK,16.0,18.0,20.0,18.0,18.0,22.0,19.0
PSE,26.0,26.0,26.0,25.0,24.0,25.0,23.0
QAT,27.0,27.0,26.0,26.0,27.0,28.0,24.0
SAU,25.0,26.0,24.0,26.0,25.0,26.0,29.0
SDN,28.0,26.0,29.0,24.0,30.0,26.0,25.0
SYR,24.0,28.0,24.0,24.0,25.0,26.0,26.0
TUN,24.0,24.0,26.0,22.0,26.0,24.0,23.0
YEM,22.0,21.0,23.0,22.0,20.0,21.0,22.0
