iso3,1990,1995,2000,2005,2010,2015,2018
AFG,33.0,26.0,27.0,27.0,29.0,24.0,26.0
ARE,25.0,24.0,22.0,19.0,25.0,33.0,31.0
BHR,28.0,28.0,30.0,27.0,27.0,27.0,26.0
DJI,21.0,22.0,23.0,28.0,22.0,25.0,22.0
EGY,23.0,21.0,24.0,25.0,24.0,23.0,24.0
IRN,25.0,23.0,24.0,32.0,31.0,28.0,27.0
IRQ,30.0,32.0,28.0,25.0,24.0,19.0,24.0
JOR,20.0,22.0,20.0,21.0,20.0,21.0,19.0
KWT,26.0,20.0,23.0,21.0,24.0,24.0,25.0
LBN,27.0,30.0,28.0,31.0,26.0,32.0,32.0
LBR,25.0,29.0,25.0,24.0,18.0,20.0,19.0
MAR,26.0,24.0,26.0,27.0,31.0,26.0,29.0
OMN,27.0,26.0,27.0,26.0,28.0,28.0,29.0
PAK,16.0,17.0,20.0,18.0,17.0,21.0,18.0
PSE,23.0,27.0,26.0,25.0,24.0,23.0,23.0
QAT,25.0,28.0,25.0,26.0,27.0,26.0,25.0
SAU,24.0,27.0,25.0,26.0,24.0,26.0,27.0
SDN,28.0,25.0,26.0,24.0,31.0,26.0,26.0
SYR,24.0,27.0,24.0,24.0,25.0,25.0,25.0
TUN,24.0,23.0,26.0,23.0,25.0,24.0,23.0
YEM,22.0,21.0,23.0,23.0,20.0,21.0,22.0
