iso3,1990,1995,2000,2005,2010,2015,2018
AFG,32.0,28.0,31.0,29.0,31.0,26.0,28.0
ARE,27.0,26.0,21.0,22.0,29.0,33.0,33.0
BHR,26.0,27.0,29.0,27.0,26.0,28.0,25.0
DJI,22.0,21.0,23.0,27.0,23.0,26.0,23.0
EGY,23.0,23.0,21.0,23.0,22.0,21.0,19.0
IRN,26.0,23.0,25.0,31.0,29.0,28.0,30.0
IRQ,29.0,31.0,29.0,27.0,26.0,19.0,22.0
JOR,20.0,24.0,19.0,20.0,19.0,18.0,20.0
KWT,25.0,20.0,23.0,20.0,24.0,23.0,24.0
LBN,28.0,28.0,28.0,31.0,26.0,28.0,28.0
LBR,26.0,30.0,28.0,25.0,18.0,20.0,18.0
MAR,27.0,22.0,25.0,26.0,26.0,24.0,26.0
OMN,27.0,26.0,26.0,27.0,28.0,29.0,32.0
PAK,16.0,18.0,21.0,20.0,18.0,23.0,19.0
PSE,21.0,26.0,25.0,26.0,25.0,24.0,25.0
QAT,26.0,28.0,26.0,25.0,29.0,27.0,28.0
SAU,25.0,27.0,24.0,26.0,24.0,26.0,28.0
SDN,28.0,25.0,27.0,26.0,29.0,27.0,24.0
SYR,24.0,26.0,24.0,23.0,24.0,26.0,26.0
TUN,22.0,22.0,24.0,19.0,26.0,25.0,23.0
YEM,22.0,21.0,23.0,22.0,20.0,21.0,21.0
