iso3,1990,1995,2000,2005,2010,2015,2018
AFG,4.0,4.0,4.0,4.0,3.0,4.0,4.0
ARE,2.0,1.0,2.0,1.0,2.0,2.0,3.0
BHR,2.0,2.0,2.0,1.0,1.0,2.0,2.0
DJI,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EGY,2.0,2.0,2.0,3.0,3.0,3.0,3.0
IRN,2.0,2.0,3.0,3.0,3.0,3.0,3.0
IRQ,1.0,2.0,2.0,2.0,2.0,2.0,2.0
JOR,1.0,2.0,1.0,1.0,1.0,1.0,1.0
KWT,2.0,1.0,1.0,1.0,1.0,1.0,1.0
LBN,1.0,1.0,1.0,2.0,1.0,2.0,2.0
LBR,3.0,3.0,4.0,3.0,2.0,3.0,1.0
MAR,2.0,1.0,2.0,2.0,2.0,2.0,2.0
OMN,3.0,3.0,3.0,2.0,2.0,2.0,2.0
PAK,2.0,1.0,2.0,1.0,2.0,2.0,2.0
PSE,2.0,2.0,2.0,2.0,2.0,2.0,2.0
QAT,1.0,1.0,1.0,1.0,1.0,1.0,2.0
SAU,2.0,2.0,2.0,1.0,1.0,2.0,2.0
SDN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SYR,2.0,3.0,2.0,2.0,2.0,2.0,3.0
TUN,2.0,2.0,2.0,1.0,1.0,1.0,1.0
YEM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
