iso3,1990,1995,2000,2005,2010,2015,2018,2020
AFG,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
ARE,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0
BHR,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
DJI,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0
EGY,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
IRN,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRQ,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0
JOR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KWT,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
LBN,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0
LBR,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
MAR,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
OMN,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
PAK,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0
PSE,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
QAT,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
SAU,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
SDN,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
SYR,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
TUN,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
YEM,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0
