iso3,1990,1995,2000,2005,2010,2015,2018
AFG,32.0,27.0,27.0,25.0,26.0,25.0,27.0
ARE,25.0,24.0,23.0,20.0,24.0,30.0,28.0
BHR,26.0,26.0,28.0,25.0,25.0,26.0,25.0
DJI,24.0,23.0,22.0,25.0,21.0,27.0,23.0
EGY,21.0,20.0,21.0,22.0,22.0,20.0,21.0
IRN,24.0,22.0,25.0,28.0,28.0,28.0,26.0
IRQ,27.0,31.0,27.0,23.0,24.0,21.0,27.0
JOR,22.0,21.0,22.0,22.0,22.0,22.0,21.0
KWT,24.0,19.0,21.0,19.0,19.0,21.0,21.0
LBN,26.0,27.0,26.0,26.0,26.0,29.0,29.0
LBR,26.0,27.0,27.0,23.0,19.0,18.0,16.0
MAR,25.0,25.0,25.0,25.0,29.0,27.0,29.0
OMN,24.0,22.0,22.0,23.0,24.0,27.0,26.0
PAK,16.0,17.0,18.0,16.0,18.0,20.0,18.0
PSE,22.0,22.0,24.0,24.0,25.0,25.0,25.0
QAT,23.0,23.0,22.0,26.0,25.0,25.0,27.0
SAU,24.0,25.0,23.0,22.0,21.0,24.0,26.0
SDN,28.0,25.0,26.0,24.0,28.0,28.0,29.0
SYR,24.0,26.0,25.0,25.0,26.0,25.0,27.0
TUN,23.0,23.0,24.0,22.0,23.0,25.0,24.0
YEM,22.0,21.0,23.0,21.0,20.0,20.0,21.0
