Country,1990,1995,2000,2005,2010,2015,2018
AFG,2.0,4.0,3.0,4.0,3.0,2.0,3.0
ARE,4.0,4.0,4.0,3.0,5.0,4.0,4.0
BHR,3.0,4.0,3.0,4.0,5.0,4.0,4.0
DJI,3.0,3.0,4.0,3.0,2.0,5.0,4.0
EGY,4.0,4.0,4.0,2.0,2.0,2.0,2.0
IRN,2.0,3.0,3.0,3.0,4.0,4.0,5.0
IRQ,3.0,3.0,2.0,2.0,2.0,2.0,2.0
JOR,4.0,4.0,4.0,4.0,4.0,5.0,4.0
KWT,1.0,3.0,3.0,3.0,2.0,3.0,5.0
LBN,3.0,3.0,3.0,3.0,4.0,6.0,6.0
LBR,4.0,3.0,3.0,4.0,3.0,3.0,3.0
MAR,5.0,4.0,3.0,4.0,4.0,3.0,4.0
OMN,5.0,3.0,5.0,4.0,5.0,3.0,3.0
PAK,2.0,1.0,2.0,3.0,3.0,3.0,3.0
PSE,3.0,3.0,3.0,2.0,3.0,3.0,2.0
QAT,4.0,4.0,3.0,4.0,5.0,4.0,4.0
SAU,2.0,2.0,2.0,4.0,5.0,4.0,5.0
SDN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SYR,3.0,3.0,3.0,3.0,3.0,2.0,2.0
TUN,1.0,1.0,2.0,2.0,2.0,3.0,2.0
YEM,3.0,2.0,2.0,2.0,3.0,3.0,2.0
