iso3,1990,1995,2000,2005,2010,2015,2018
AFG,4.0,4.0,3.0,3.0,3.0,3.0,3.0
ARE,3.0,3.0,3.0,3.0,4.0,4.0,4.0
BHR,4.0,4.0,3.0,5.0,4.0,4.0,4.0
DJI,5.0,5.0,5.0,3.0,4.0,4.0,5.0
EGY,3.0,3.0,3.0,3.0,3.0,3.0,3.0
IRN,3.0,2.0,3.0,2.0,2.0,2.0,2.0
IRQ,3.0,4.0,3.0,4.0,3.0,3.0,4.0
JOR,3.0,3.0,3.0,4.0,3.0,3.0,3.0
KWT,3.0,3.0,3.0,3.0,3.0,3.0,3.0
LBN,5.0,5.0,4.0,3.0,3.0,5.0,3.0
LBR,3.0,4.0,4.0,3.0,3.0,3.0,3.0
MAR,4.0,3.0,3.0,4.0,4.0,5.0,5.0
OMN,5.0,4.0,4.0,4.0,3.0,4.0,4.0
PAK,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PSE,3.0,3.0,2.0,2.0,3.0,3.0,3.0
QAT,4.0,4.0,3.0,5.0,5.0,4.0,4.0
SAU,3.0,4.0,4.0,3.0,5.0,5.0,5.0
SDN,4.0,4.0,4.0,4.0,5.0,4.0,4.0
SYR,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TUN,3.0,3.0,4.0,4.0,3.0,3.0,3.0
YEM,5.0,5.0,5.0,5.0,5.0,4.0,4.0
