iso3,1990,1995,2000,2005,2010,2015,2018
AFG,6.0,5.0,4.0,4.0,6.0,3.0,5.0
ARE,4.0,5.0,3.0,3.0,4.0,6.0,6.0
BHR,7.0,6.0,6.0,6.0,6.0,6.0,6.0
DJI,4.0,3.0,3.0,4.0,5.0,6.0,5.0
EGY,6.0,5.0,5.0,5.0,6.0,4.0,4.0
IRN,2.0,1.0,3.0,4.0,4.0,5.0,4.0
IRQ,6.0,7.0,5.0,6.0,3.0,3.0,3.0
JOR,4.0,4.0,4.0,4.0,5.0,5.0,4.0
KWT,3.0,3.0,4.0,3.0,3.0,4.0,3.0
LBN,6.0,7.0,7.0,5.0,6.0,6.0,6.0
LBR,5.0,4.0,5.0,4.0,2.0,2.0,3.0
MAR,5.0,5.0,6.0,7.0,5.0,4.0,6.0
OMN,5.0,5.0,6.0,6.0,5.0,6.0,7.0
PAK,2.0,3.0,3.0,3.0,2.0,3.0,3.0
PSE,3.0,3.0,3.0,4.0,5.0,5.0,4.0
QAT,7.0,6.0,6.0,7.0,6.0,7.0,6.0
SAU,1.0,5.0,3.0,5.0,5.0,6.0,7.0
SDN,6.0,5.0,6.0,3.0,6.0,5.0,5.0
SYR,5.0,5.0,5.0,4.0,4.0,3.0,3.0
TUN,5.0,5.0,5.0,5.0,4.0,4.0,4.0
YEM,5.0,5.0,5.0,5.0,5.0,4.0,3.0
