iso3,1990,1995,2000,2005,2010,2015,2018
AFG,6.0,4.0,5.0,5.0,6.0,3.0,5.0
ARE,5.0,5.0,4.0,4.0,4.0,8.0,7.0
BHR,7.0,6.0,7.0,7.0,6.0,7.0,6.0
DJI,4.0,3.0,3.0,4.0,5.0,6.0,5.0
EGY,5.0,5.0,5.0,5.0,6.0,4.0,3.0
IRN,2.0,1.0,1.0,4.0,4.0,5.0,5.0
IRQ,6.0,7.0,6.0,5.0,3.0,2.0,3.0
JOR,4.0,4.0,4.0,4.0,5.0,3.0,3.0
KWT,3.0,3.0,4.0,3.0,3.0,4.0,3.0
LBN,6.0,7.0,7.0,5.0,6.0,5.0,6.0
LBR,5.0,6.0,5.0,4.0,2.0,2.0,2.0
MAR,5.0,4.0,5.0,6.0,5.0,4.0,6.0
OMN,6.0,5.0,5.0,6.0,5.0,7.0,7.0
PAK,2.0,3.0,3.0,3.0,2.0,3.0,3.0
PSE,3.0,3.0,3.0,3.0,5.0,4.0,5.0
QAT,7.0,6.0,6.0,6.0,6.0,6.0,7.0
SAU,2.0,5.0,5.0,6.0,5.0,7.0,8.0
SDN,6.0,5.0,5.0,4.0,6.0,5.0,3.0
SYR,3.0,5.0,4.0,4.0,4.0,4.0,3.0
TUN,5.0,5.0,5.0,4.0,4.0,4.0,4.0
YEM,5.0,5.0,5.0,5.0,5.0,4.0,3.0
