iso3,1990,1995,2000,2005,2010,2015,2018
AFG,6.0,6.0,4.0,4.0,6.0,3.0,5.0
ARE,6.0,6.0,4.0,5.0,6.0,7.0,7.0
BHR,5.0,6.0,5.0,6.0,7.0,6.0,6.0
DJI,5.0,4.0,4.0,5.0,5.0,7.0,6.0
EGY,5.0,5.0,4.0,5.0,5.0,4.0,4.0
IRN,3.0,3.0,4.0,4.0,5.0,5.0,4.0
IRQ,6.0,6.0,5.0,5.0,4.0,3.0,4.0
JOR,5.0,3.0,5.0,5.0,5.0,5.0,4.0
KWT,3.0,3.0,3.0,3.0,4.0,3.0,3.0
LBN,5.0,6.0,6.0,5.0,4.0,6.0,6.0
LBR,5.0,4.0,5.0,4.0,2.0,2.0,3.0
MAR,4.0,5.0,5.0,4.0,5.0,5.0,6.0
OMN,5.0,4.0,6.0,5.0,5.0,6.0,5.0
PAK,3.0,4.0,4.0,3.0,2.0,3.0,3.0
PSE,4.0,3.0,4.0,4.0,6.0,6.0,5.0
QAT,5.0,6.0,5.0,7.0,6.0,7.0,6.0
SAU,4.0,6.0,5.0,5.0,4.0,6.0,6.0
SDN,7.0,6.0,7.0,6.0,7.0,7.0,6.0
SYR,4.0,4.0,4.0,4.0,5.0,5.0,5.0
TUN,4.0,4.0,4.0,5.0,4.0,5.0,4.0
YEM,5.0,5.0,6.0,5.0,4.0,4.0,4.0
