iso3,1990,1995,2000,2005,2010,2015,2018
AFG,3.0,3.0,3.0,3.0,3.0,3.0,3.0
ARE,3.0,3.0,3.0,3.0,4.0,4.0,3.0
BHR,3.0,3.0,3.0,4.0,4.0,4.0,5.0
DJI,3.0,3.0,3.0,2.0,3.0,4.0,4.0
EGY,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRQ,3.0,2.0,3.0,3.0,2.0,2.0,3.0
JOR,3.0,3.0,3.0,4.0,3.0,3.0,3.0
KWT,3.0,3.0,4.0,4.0,4.0,3.0,5.0
LBN,4.0,4.0,4.0,3.0,2.0,3.0,3.0
LBR,3.0,2.0,3.0,3.0,3.0,2.0,2.0
MAR,3.0,2.0,3.0,3.0,3.0,4.0,5.0
OMN,4.0,3.0,4.0,3.0,3.0,5.0,5.0
PAK,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PSE,3.0,3.0,3.0,3.0,4.0,4.0,4.0
QAT,3.0,3.0,3.0,3.0,4.0,4.0,4.0
SAU,2.0,2.0,2.0,2.0,3.0,4.0,4.0
SDN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SYR,2.0,2.0,2.0,2.0,3.0,3.0,3.0
TUN,1.0,1.0,3.0,3.0,3.0,3.0,3.0
YEM,3.0,3.0,3.0,3.0,2.0,2.0,2.0
