Country,1990,1995,2000,2005,2010,2015,2018,2020
AFG,10.0,10.0,10.0,10.0,6.0,7.0,5.0,6.0
ARE,6.0,5.0,6.0,5.0,6.0,7.0,8.0,8.0
BHR,7.0,8.0,7.0,6.0,6.0,6.0,7.0,7.0
DJI,6.0,6.0,8.0,8.0,6.0,4.0,2.0,2.0
EGY,4.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0
IRN,8.0,8.0,8.0,7.0,6.0,7.0,6.0,6.0
IRQ,6.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0
JOR,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
KWT,9.0,4.0,5.0,5.0,7.0,5.0,6.0,6.0
LBN,6.0,5.0,5.0,8.0,2.0,7.0,7.0,7.0
LBR,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0
MAR,8.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0
OMN,10.0,10.0,9.0,6.0,5.0,6.0,6.0,6.0
PAK,4.0,3.0,5.0,4.0,4.0,6.0,4.0,4.0
PSE,7.0,7.0,6.0,5.0,5.0,5.0,6.0,6.0
QAT,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0
SAU,8.0,8.0,7.0,6.0,6.0,7.0,6.0,6.0
SDN,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
SYR,7.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0
TUN,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0
YEM,9.0,10.0,8.0,7.0,5.0,7.0,7.0,7.0
