Country,1990,1995,2000,2005,2010,2015,2018,2020
AFG,10.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0
ARE,7.0,6.0,7.0,6.0,7.0,7.0,8.0,9.0
BHR,8.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0
DJI,6.0,7.0,8.0,8.0,6.0,4.0,2.0,3.0
EGY,4.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0
IRN,8.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0
IRQ,6.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0
JOR,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
KWT,9.0,5.0,5.0,5.0,7.0,5.0,7.0,7.0
LBN,6.0,5.0,4.0,8.0,3.0,7.0,6.0,7.0
LBR,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0
MAR,8.0,7.0,5.0,6.0,5.0,5.0,6.0,6.0
OMN,10.0,10.0,9.0,6.0,6.0,7.0,7.0,7.0
PAK,5.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0
PSE,7.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0
QAT,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0
SAU,9.0,8.0,7.0,6.0,6.0,7.0,7.0,7.0
SDN,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
SYR,7.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0
TUN,9.0,8.0,9.0,6.0,6.0,6.0,6.0,6.0
YEM,9.0,10.0,8.0,7.0,5.0,8.0,8.0,7.0
