Country,1990,1995,2000,2005,2010,2015,2018
AFG,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ARE,7.0,7.0,7.0,8.0,9.0,8.0,8.0
BHR,9.0,9.0,8.0,8.0,9.0,8.0,8.0
DJI,10.0,10.0,10.0,10.0,10.0,9.0,8.0
EGY,9.0,9.0,9.0,9.0,9.0,9.0,9.0
IRN,10.0,9.0,9.0,9.0,9.0,9.0,9.0
IRQ,7.0,10.0,10.0,9.0,2.0,3.0,2.0
JOR,8.0,8.0,8.0,8.0,8.0,9.0,9.0
KWT,10.0,8.0,8.0,8.0,8.0,8.0,7.0
LBN,5.0,8.0,6.0,7.0,8.0,9.0,9.0
LBR,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MAR,9.0,9.0,8.0,9.0,9.0,8.0,8.0
OMN,9.0,9.0,9.0,8.0,8.0,8.0,8.0
PAK,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PSE,9.0,9.0,9.0,9.0,9.0,8.0,8.0
QAT,9.0,9.0,8.0,8.0,9.0,8.0,8.0
SAU,9.0,9.0,9.0,9.0,9.0,8.0,7.0
SDN,10.0,10.0,10.0,10.0,10.0,10.0,10.0
SYR,9.0,9.0,9.0,9.0,9.0,8.0,8.0
TUN,8.0,8.0,8.0,8.0,8.0,8.0,8.0
YEM,10.0,10.0,10.0,10.0,10.0,10.0,10.0
