Country,1990,1995,2000,2005,2010,2015,2018
AFG,3.0,3.0,2.0,2.0,3.0,4.0,3.0
ARE,6.0,6.0,6.0,4.0,4.0,6.0,5.0
BHR,5.0,5.0,5.0,5.0,5.0,6.0,6.0
DJI,1.0,1.0,2.0,4.0,4.0,10.0,7.0
EGY,4.0,4.0,4.0,4.0,5.0,4.0,4.0
IRN,7.0,8.0,9.0,9.0,9.0,9.0,9.0
IRQ,5.0,5.0,5.0,5.0,5.0,5.0,5.0
JOR,8.0,8.0,8.0,8.0,9.0,8.0,8.0
KWT,2.0,2.0,2.0,2.0,2.0,2.0,2.0
LBN,10.0,10.0,10.0,10.0,9.0,10.0,10.0
LBR,2.0,3.0,3.0,2.0,2.0,2.0,2.0
MAR,3.0,3.0,4.0,4.0,4.0,4.0,5.0
OMN,4.0,4.0,5.0,6.0,6.0,6.0,6.0
PAK,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSE,4.0,4.0,4.0,4.0,5.0,5.0,5.0
QAT,5.0,5.0,5.0,5.0,6.0,6.0,6.0
SAU,4.0,4.0,4.0,5.0,4.0,6.0,7.0
SDN,3.0,4.0,3.0,3.0,3.0,4.0,4.0
SYR,4.0,4.0,4.0,4.0,5.0,5.0,5.0
TUN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
YEM,0.0,0.0,1.0,1.0,2.0,2.0,2.0
