Country,1990,1995,2000,2005,2010,2015,2018
AFG,3.0,2.0,2.0,2.0,2.0,4.0,3.0
ARE,5.0,5.0,5.0,4.0,4.0,5.0,5.0
BHR,4.0,5.0,5.0,5.0,5.0,5.0,5.0
DJI,1.0,1.0,1.0,4.0,4.0,10.0,7.0
EGY,3.0,4.0,4.0,4.0,4.0,4.0,4.0
IRN,6.0,7.0,7.0,8.0,8.0,7.0,7.0
IRQ,4.0,4.0,4.0,4.0,5.0,4.0,4.0
JOR,7.0,7.0,7.0,8.0,8.0,8.0,8.0
KWT,2.0,2.0,2.0,2.0,2.0,2.0,2.0
LBN,10.0,10.0,10.0,10.0,9.0,10.0,10.0
LBR,2.0,3.0,3.0,3.0,2.0,2.0,2.0
MAR,2.0,2.0,3.0,3.0,3.0,3.0,4.0
OMN,4.0,4.0,4.0,5.0,6.0,5.0,5.0
PAK,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSE,3.0,4.0,4.0,4.0,4.0,5.0,4.0
QAT,5.0,5.0,5.0,5.0,5.0,6.0,6.0
SAU,3.0,4.0,4.0,4.0,3.0,5.0,6.0
SDN,3.0,3.0,3.0,3.0,3.0,4.0,4.0
SYR,3.0,4.0,4.0,4.0,4.0,4.0,4.0
TUN,2.0,2.0,2.0,2.0,3.0,2.0,2.0
YEM,0.0,0.0,0.0,1.0,2.0,2.0,1.0
