Country,1990,1995,2000,2005,2010,2015,2018,2020
AFG,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0
ARE,0.0,0.0,4.0,6.0,8.0,8.0,8.0,8.0
BHR,7.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0
DJI,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0
EGY,9.0,9.0,8.0,8.0,7.0,6.0,8.0,8.0
IRN,8.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0
IRQ,0.0,7.0,7.0,7.0,5.0,4.0,5.0,5.0
JOR,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0
KWT,10.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0
LBN,9.0,8.0,4.0,3.0,3.0,7.0,8.0,8.0
LBR,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
MAR,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0
OMN,8.0,8.0,7.0,6.0,4.0,6.0,6.0,6.0
PAK,9.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0
PSE,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0
QAT,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0
SAU,6.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0
SDN,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
SYR,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
TUN,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
YEM,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0
