Country,1990,1995,2000,2005,2010,2015,2018
AFG,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARE,10.0,10.0,10.0,10.0,10.0,10.0,10.0
BHR,5.0,8.0,8.0,10.0,10.0,10.0,10.0
DJI,1.0,2.0,7.0,8.0,8.0,10.0,10.0
EGY,3.0,3.0,4.0,4.0,5.0,5.0,5.0
IRN,1.0,2.0,2.0,2.0,2.0,3.0,3.0
IRQ,2.0,3.0,1.0,5.0,8.0,5.0,9.0
JOR,10.0,10.0,10.0,10.0,10.0,10.0,10.0
KWT,3.0,10.0,10.0,10.0,10.0,10.0,10.0
LBN,0.0,1.0,2.0,2.0,5.0,3.0,3.0
LBR,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MAR,3.0,3.0,3.0,6.0,8.0,10.0,10.0
OMN,9.0,10.0,10.0,10.0,10.0,10.0,10.0
PAK,2.0,2.0,2.0,1.0,2.0,1.0,1.0
PSE,4.0,7.0,7.0,10.0,10.0,10.0,10.0
QAT,5.0,7.0,8.0,10.0,10.0,10.0,10.0
SAU,3.0,5.0,6.0,9.0,10.0,10.0,10.0
SDN,10.0,10.0,10.0,10.0,10.0,10.0,10.0
SYR,4.0,7.0,8.0,10.0,10.0,10.0,10.0
TUN,8.0,9.0,10.0,10.0,10.0,10.0,10.0
YEM,10.0,10.0,10.0,10.0,10.0,6.0,3.0
