Country,1990,1995,2000,2005,2010,2015,2018,2020
AFG,74.0,72.0,69.0,69.0,71.0,71.0,73.0,
ARE,53.0,51.0,54.0,66.0,74.0,76.0,70.0,
BHR,66.0,70.0,69.0,70.0,74.0,75.0,76.0,
DJI,61.0,68.0,76.0,76.0,69.0,80.0,75.0,
EGY,67.0,69.0,70.0,66.0,67.0,64.0,67.0,
IRN,66.0,65.0,69.0,71.0,75.0,74.0,77.0,
IRQ,70.0,82.0,66.0,66.0,68.0,58.0,67.0,
JOR,62.0,65.0,63.0,60.0,62.0,64.0,65.0,
KWT,63.0,56.0,56.0,64.0,61.0,60.0,57.0,
LBN,76.0,80.0,82.0,75.0,79.0,87.0,88.0,
LBR,69.0,81.0,80.0,74.0,68.0,69.0,68.0,
MAR,70.0,67.0,66.0,72.0,74.0,73.0,76.0,
OMN,72.0,74.0,77.0,68.0,69.0,70.0,73.0,
PAK,58.0,55.0,57.0,57.0,58.0,59.0,57.0,
PSE,60.0,63.0,63.0,63.0,66.0,65.0,66.0,
QAT,65.0,69.0,70.0,68.0,74.0,74.0,73.0,
SAU,64.0,65.0,66.0,70.0,73.0,74.0,73.0,
SDN,76.0,78.0,76.0,75.0,76.0,79.0,79.0,
SYR,61.0,64.0,64.0,65.0,67.0,67.0,66.0,
TUN,61.0,61.0,62.0,61.0,65.0,66.0,64.0,
YEM,64.0,66.0,68.0,66.0,66.0,65.0,61.0,
