Country,1990,1995,2000,2005,2010,2015,2018,2020
AFG,74.0,72.0,68.0,70.0,73.0,73.0,77.0,
ARE,55.0,54.0,55.0,67.0,76.0,77.0,73.0,
BHR,69.0,70.0,70.0,70.0,73.0,73.0,75.0,
DJI,62.0,69.0,73.0,75.0,68.0,79.0,73.0,
EGY,66.0,68.0,70.0,67.0,66.0,64.0,66.0,
IRN,65.0,64.0,66.0,69.0,71.0,70.0,73.0,
IRQ,70.0,81.0,66.0,64.0,66.0,58.0,66.0,
JOR,63.0,66.0,63.0,60.0,61.0,65.0,66.0,
KWT,66.0,57.0,58.0,64.0,63.0,60.0,62.0,
LBN,74.0,78.0,76.0,72.0,78.0,86.0,86.0,
LBR,70.0,82.0,81.0,75.0,69.0,71.0,70.0,
MAR,69.0,66.0,65.0,71.0,72.0,70.0,75.0,
OMN,75.0,75.0,75.0,68.0,69.0,72.0,73.0,
PAK,58.0,57.0,58.0,58.0,56.0,59.0,59.0,
PSE,59.0,65.0,63.0,63.0,65.0,64.0,65.0,
QAT,70.0,70.0,71.0,71.0,75.0,75.0,76.0,
SAU,67.0,65.0,64.0,68.0,72.0,75.0,73.0,
SDN,75.0,76.0,76.0,75.0,77.0,78.0,79.0,
SYR,59.0,63.0,63.0,63.0,65.0,65.0,65.0,
TUN,64.0,62.0,64.0,62.0,65.0,66.0,65.0,
YEM,64.0,67.0,67.0,68.0,64.0,66.0,59.0,
