Country,1990,1995,2000,2005,2010,2015,2018
AFG,6.0,7.0,7.0,7.0,8.0,9.0,8.0
ARE,0.0,0.0,0.0,8.0,4.0,0.0,0.0
BHR,9.0,8.0,8.0,7.0,7.0,7.0,7.0
DJI,0.0,8.0,9.0,9.0,0.0,0.0,0.0
EGY,9.0,8.0,9.0,5.0,5.0,4.0,5.0
IRN,10.0,10.0,10.0,10.0,10.0,10.0,10.0
IRQ,9.0,8.0,8.0,6.0,10.0,8.0,8.0
JOR,9.0,9.0,9.0,7.0,7.0,9.0,10.0
KWT,10.0,5.0,1.0,8.0,1.0,0.0,0.0
LBN,7.0,6.0,7.0,2.0,7.0,9.0,8.0
LBR,9.0,10.0,10.0,9.0,10.0,10.0,10.0
MAR,7.0,9.0,8.0,7.0,7.0,6.0,7.0
OMN,9.0,10.0,9.0,6.0,7.0,6.0,6.0
PAK,10.0,10.0,9.0,9.0,8.0,8.0,8.0
PSE,8.0,8.0,8.0,6.0,6.0,6.0,6.0
QAT,9.0,8.0,8.0,7.0,8.0,7.0,7.0
SAU,10.0,6.0,6.0,7.0,9.0,6.0,4.0
SDN,9.0,9.0,8.0,7.0,7.0,8.0,8.0
SYR,8.0,7.0,7.0,6.0,6.0,6.0,5.0
TUN,6.0,5.0,5.0,5.0,5.0,5.0,5.0
YEM,4.0,5.0,5.0,6.0,4.0,7.0,6.0
