Country,1990,1995,2000,2005,2010,2015,2018
AFG,5.0,3.0,4.0,5.0,4.0,3.0,3.0
ARE,4.0,4.0,5.0,4.0,4.0,4.0,4.0
BHR,5.0,5.0,5.0,5.0,6.0,6.0,6.0
DJI,3.0,2.0,1.0,4.0,4.0,4.0,3.0
EGY,4.0,4.0,4.0,5.0,5.0,4.0,4.0
IRN,4.0,4.0,5.0,6.0,6.0,7.0,7.0
IRQ,5.0,4.0,4.0,5.0,5.0,3.0,3.0
JOR,3.0,3.0,3.0,3.0,3.0,3.0,3.0
KWT,2.0,3.0,3.0,3.0,2.0,3.0,3.0
LBN,10.0,10.0,10.0,10.0,10.0,10.0,10.0
LBR,3.0,3.0,4.0,3.0,4.0,4.0,4.0
MAR,4.0,4.0,4.0,5.0,5.0,5.0,5.0
OMN,4.0,4.0,4.0,5.0,5.0,5.0,5.0
PAK,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PSE,4.0,4.0,4.0,4.0,4.0,4.0,4.0
QAT,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SAU,6.0,5.0,4.0,4.0,4.0,5.0,4.0
SDN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SYR,3.0,3.0,3.0,4.0,4.0,4.0,4.0
TUN,3.0,3.0,3.0,4.0,6.0,7.0,6.0
YEM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
