iso3,1990,1995,2000,2005,2010,2015,2018
AFG,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARE,3.0,4.0,3.0,4.0,2.0,2.0,1.0
BHR,4.0,3.0,4.0,4.0,4.0,4.0,3.0
DJI,5.0,5.0,4.0,3.0,5.0,5.0,5.0
EGY,2.0,2.0,1.0,1.0,1.0,1.0,1.0
IRN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IRQ,4.0,3.0,3.0,3.0,2.0,3.0,3.0
JOR,5.0,2.0,5.0,5.0,5.0,5.0,5.0
KWT,2.0,5.0,5.0,5.0,4.0,5.0,5.0
LBN,5.0,5.0,5.0,2.0,5.0,4.0,4.0
LBR,1.0,1.0,1.0,1.0,3.0,1.0,4.0
MAR,3.0,4.0,3.0,2.0,2.0,3.0,3.0
OMN,1.0,1.0,1.0,3.0,3.0,2.0,2.0
PAK,4.0,4.0,3.0,3.0,3.0,2.0,2.0
PSE,2.0,2.0,2.0,2.0,2.0,3.0,2.0
QAT,4.0,4.0,4.0,5.0,4.0,4.0,3.0
SAU,2.0,3.0,4.0,4.0,3.0,3.0,4.0
SDN,3.0,2.0,2.0,2.0,1.0,2.0,2.0
SYR,1.0,1.0,2.0,1.0,1.0,1.0,1.0
TUN,3.0,3.0,2.0,4.0,4.0,4.0,4.0
YEM,5.0,5.0,5.0,5.0,5.0,5.0,5.0
