iso3,1990,1995,2000,2005,2010,2015,2018
AFG,3.0,4.0,3.0,4.0,2.0,1.0,1.0
ARE,2.0,3.0,2.0,3.0,3.0,2.0,3.0
BHR,4.0,5.0,5.0,5.0,5.0,5.0,4.0
DJI,1.0,2.0,1.0,1.0,1.0,1.0,1.0
EGY,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IRN,5.0,5.0,5.0,5.0,5.0,4.0,5.0
IRQ,3.0,2.0,3.0,2.0,2.0,3.0,3.0
JOR,3.0,3.0,3.0,3.0,1.0,2.0,2.0
KWT,2.0,3.0,2.0,3.0,4.0,2.0,2.0
LBN,5.0,5.0,5.0,5.0,5.0,4.0,5.0
LBR,5.0,1.0,1.0,2.0,2.0,3.0,3.0
MAR,3.0,1.0,2.0,1.0,2.0,5.0,5.0
OMN,2.0,2.0,3.0,4.0,3.0,4.0,2.0
PAK,5.0,4.0,4.0,3.0,4.0,3.0,4.0
PSE,4.0,4.0,4.0,4.0,4.0,5.0,5.0
QAT,4.0,5.0,5.0,5.0,5.0,4.0,4.0
SAU,1.0,2.0,4.0,2.0,3.0,3.0,3.0
SDN,2.0,3.0,2.0,2.0,3.0,2.0,2.0
SYR,4.0,4.0,4.0,4.0,4.0,5.0,4.0
TUN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YEM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
