iso3,1990,1995,2000,2005,2010,2015,2018
AFG,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ARE,2.0,2.0,1.0,2.0,2.0,2.0,2.0
BHR,3.0,3.0,3.0,3.0,2.0,3.0,2.0
DJI,5.0,5.0,4.0,4.0,4.0,1.0,3.0
EGY,4.0,4.0,4.0,5.0,5.0,5.0,4.0
IRN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
IRQ,4.0,4.0,5.0,4.0,4.0,4.0,4.0
JOR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KWT,4.0,1.0,2.0,1.0,1.0,1.0,1.0
LBN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LBR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAR,4.0,4.0,4.0,4.0,4.0,3.0,3.0
OMN,2.0,2.0,2.0,2.0,1.0,4.0,4.0
PAK,5.0,5.0,5.0,5.0,5.0,5.0,5.0
PSE,3.0,3.0,3.0,3.0,3.0,4.0,4.0
QAT,2.0,3.0,3.0,2.0,3.0,3.0,3.0
SAU,3.0,4.0,4.0,4.0,2.0,2.0,2.0
SDN,1.0,2.0,2.0,3.0,3.0,2.0,1.0
SYR,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TUN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
YEM,1.0,1.0,1.0,1.0,4.0,4.0,5.0
