iso3,1990,1995,2000,2005,2010,2015,2018
AFG,5.0,4.0,5.0,2.0,4.0,5.0,5.0
ARE,4.0,5.0,5.0,5.0,1.0,4.0,5.0
BHR,3.0,3.0,4.0,4.0,4.0,4.0,3.0
DJI,1.0,1.0,1.0,1.0,5.0,1.0,3.0
EGY,5.0,5.0,4.0,1.0,5.0,5.0,4.0
IRN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
IRQ,5.0,1.0,1.0,1.0,1.0,1.0,1.0
JOR,4.0,2.0,3.0,3.0,3.0,2.0,4.0
KWT,2.0,5.0,5.0,5.0,5.0,4.0,5.0
LBN,3.0,4.0,2.0,2.0,2.0,3.0,2.0
LBR,1.0,2.0,1.0,1.0,1.0,1.0,1.0
MAR,2.0,3.0,3.0,3.0,2.0,3.0,3.0
OMN,1.0,1.0,2.0,4.0,2.0,2.0,1.0
PAK,4.0,4.0,3.0,4.0,1.0,1.0,2.0
PSE,1.0,2.0,2.0,2.0,2.0,2.0,2.0
QAT,3.0,4.0,4.0,5.0,4.0,3.0,3.0
SAU,2.0,1.0,3.0,3.0,3.0,4.0,4.0
SDN,1.0,1.0,1.0,1.0,1.0,5.0,4.0
SYR,2.0,3.0,2.0,3.0,3.0,3.0,2.0
TUN,4.0,3.0,4.0,4.0,4.0,2.0,1.0
YEM,3.0,2.0,1.0,2.0,3.0,1.0,1.0
