iso3,1990,1995,2000,2005,2010,2015,2018
AFG,63.0,57.0,49.0,50.0,55.0,47.0,57.0
ARE,51.0,54.0,45.0,49.0,47.0,57.0,52.0
BHR,49.0,52.0,49.0,52.0,52.0,53.0,47.0
DJI,51.0,44.0,38.0,44.0,56.0,53.0,52.0
EGY,47.0,47.0,46.0,43.0,46.0,46.0,42.0
IRN,46.0,46.0,45.0,52.0,55.0,56.0,56.0
IRQ,50.0,50.0,42.0,44.0,31.0,31.0,34.0
JOR,49.0,44.0,50.0,54.0,51.0,50.0,51.0
KWT,45.0,47.0,53.0,47.0,46.0,51.0,47.0
LBN,62.0,64.0,62.0,51.0,60.0,57.0,60.0
LBR,42.0,41.0,40.0,34.0,33.0,31.0,37.0
MAR,43.0,43.0,49.0,49.0,48.0,48.0,48.0
OMN,38.0,34.0,42.0,49.0,44.0,49.0,43.0
PAK,52.0,54.0,51.0,50.0,46.0,47.0,49.0
PSE,50.0,49.0,51.0,52.0,50.0,50.0,49.0
QAT,49.0,53.0,52.0,55.0,48.0,49.0,44.0
SAU,36.0,45.0,50.0,46.0,41.0,46.0,53.0
SDN,40.0,39.0,42.0,38.0,43.0,42.0,42.0
SYR,48.0,50.0,53.0,52.0,51.0,52.0,50.0
TUN,42.0,41.0,43.0,45.0,43.0,40.0,41.0
YEM,43.0,42.0,44.0,40.0,50.0,41.0,42.0
